Surah 10:1 ,    A.L.R. These are the ayats of the Book of Wisdom.,Alif Lam Ra. Wuncinzhi aya yan litafi (Alkuranu) ayio na yi be hikimae na.
Surah 10:2       ,                  Is it a matter of wonderment to men that We have sent Our inspiration to a man from among themselves- that he should warn mankind (of their danger) and give the good news to the Believers that they have before their Lord the lofty rank of truth. (But) say the Unbelievers: "This is indeed an evident sorcerer!",Kashi wun'afe eyan mamaki fe ya zawangizhi na Yi ya'a wahayi jin ya eza bagi miniabo na kede "jin zawangizhi gangba wyo mao ya zanazhia imani jin na labari yangbanfa kede: ade kinigiba wanciko yan dzoshi dan eba Tsociabo na. Kafirizhi cigan: "hakika za na na eyan-maci na'a tu la na uyio.
Surah 10:3      ,                      Verily your Lord is Allah who created the heavens and the earth in six days and is firmly established on the throne (of authority) regulating and governing all things. No intercessor (can plead with Him) except after His leave (hath been obtained). This is Allah your Lord; Him therefore serve ye: will ye not receive admonition,Hakika Tsoci ye uga yi Soko'o Etsu najin alita sanmazhi to kin dan mini eka yan fo gutsun'ayin'o na gancin ucia jin daidai ta eti Alarashio Ucie jin shiri alamarizhi (kendoe ga ba una). Zandondo danbo na'a tangwa wo na'a saide be iziniUyin. Soko wuncin ga dan'onao Wyun ga yi Tsoci ye-yeo. Ebo acin'o efe jin bauta yau. Kashi ye ewo sinsantu woa
Surah 10:4   ,                        To Him will be your return- of all of you. The promise of Allah is true and sure. It is He Who beginneth the process of creation and repeateth it that He may reward with justice those who believe and work righteousness; but those who reject Him will have draughts of boiling fluids and a penalty grievous because they did reject Him.,Eba'u gabo ezhe keba ye dan ba'eni bo alkawali Soko ma gaskiya uyio; Hakika Wyun ga yi Etsu nae ca jin jin alitta nao gancin Ucia kezhe u la'azheban zhin Efo Alkiyami ebo u la egagba'u ya zanazhia imani jin aci lo tun wan gi zhi na be adalinci; zanazhi maajin kafirinci na yi be eyan finci na wona sarauyin na be azaba na tan nae ebo kafirinci nazhi afe jin na.
Surah 10:5  ,                    It is He Who made the sun to be a shining glory and the moon to be a light (of beauty) and measured out stages for her; that ye might know the number of years and the count (of time). Nowise did Allah create this but in truth and righteousness. (Thus) doth He explain His Signs in detail for those who understand.,Wyun' ga la igidi cie ban-nao to etswa nae ya haske na ucia jin be ecin ba zhi ebo yede bae de kpikpe yan lisafi (yandondo). Soko jin wuncin zhi jin'a sai de eti gaskiyao. Umae kpe ayazhi ye kpe ya zanazhi ga yi eza kpikpe zhi na.
Surah 10:6       ,      Verily in the alternation of the night and the day and in all that Allah hath created in the heavens and the earth are signs for those who fear Him.,Hakika mini cice le ba yan yeshi to igidi to yannazhi Soko jin fi sanmazhio to kin bo na ayazhi danbo ya jama'a nazhi gae sundan Soko acie tswa'u na.
Surah 10:7    ,          Those who rest not their hope on their meeting with Us but are pleased and satisfied with the life of the present and those who heed not Our Signs-,Hakika zanazhie sundan yan gun-gun be yi yin'a na acia yeda jin be emawo izhe na yangban'azhi ma'ashi be uyin na to to zanazhia ya ye ke aya Yizhi lugwa na.
Surah 10:8   ,  Their abode is the Fire because of the (evil) they earned.,Za wuncinzhi (kpata) ezhe ke ba'a uga yi enao ebo iri etun (dede) nazhi afe lo na.
Surah 10:9   ,           Those who believe and work righteousness- their Lord will guide them because of their faith: beneath them will flow rivers in gardens of bliss.,Hakika zanazhia imani jin na aci lo tun wangizhi na Tsocia wyun'a bea bawu be imania yin nuwan jijecizhi'afe je fi takoabo fi mini Aljannazhio nazhi yi emi ni'ima na.
Surah 10:10,             (This will be) their cry therein: "Glory to Thee O Allah!" And "Peace" will be their greeting therein! and the close of their cry will be: "Praise be to Allah the Cherisher and Sustainer of the worlds!",Aduwa na afe ba fi miniubo na "Lili kpata ajin tabbata ya wyoe Soko" emi sa'ama miniubo uga yi "SALAMUO". Aduwa yan zobaama uga yi "yebo kpata'a jin tabbata ya Soko Etsu nae kpa alittazhi kpata na.
Surah 10:11,                 If Allah were to hasten for men the ill (they have earned) as they would fain hasten on the good- then would their respite be settled at once. But We leave those who rest not their hope on their meeting with Us in their trespasses wandering in distraction to and fro.,Da aci gan Sokoe din ye din be gwigwo aduwa dede zazhi'i kendoe wyun'e dinye be alheri'i yaana hakika da aga hukunci ba eti ajaliazhi boa ni ebo acin'o Yi ela zanazhie jin kauna yan gun-gun wangi be Yi yin'a na ya fi ragbanzhiazhio aci ga'azhi fi bo.
Surah 10:12    ,                      When trouble toucheth a man He crieth unto Us (in all postures)- lying down on his side or sitting or standing. But when We have solved his trouble he passeth on his way as if he had never cried to Us for a trouble that touched him! thus do the deeds of transgressors seem fair in their eyes!,Kamina egun ga'a to za na wyu'a fe yi Yi ye ci elelebaubo koma edun feubo koma gbaroo. Gancin kamina Yi bea egun'u la'ake yabo yau na ufe jin bojin ke wyoa gangan uyi Yi le lo eba egun na to'ugwa na'a na. Acinga ga Sokoe la nin pa dan etun nazhi eyan nyincizhi elo nao.
Surah 10:13  ,              Generations before you We destroyed when they did wrong: their messengers came to them with clear-signs but they would not believe! thus do We requite those who sin!,Hakika Yi jin al'umma nazhi shiyedzo na hallaka lokacina afe jin zwalunci na Tuci'a zhi ma br ya'a be bayanizhi nazhia tu la na amaade ajin imania. Acinga ga Yie la egagba ya jama'a nazhi yi le fi jinci zhi nao.
Surah 10:14 ,        Then We made you heirs in the land after them to see how ye would behave,Gancin Yicia ye la'afe (khalifazhi) kinigici yan alamari Soko (zhi) dan kin bo zunma yan zanazhi shidzo nao ebo Yi'i cin ye yele be kendoe ye ga'ajin jin nae.
Surah 10:15,                                      But when Our Clear Signs are rehearsed unto them those who rest not their hope on their meeting with Us Say: "Bring us a reading other than this or change this" Say: "It is not for me of my own accord to change it: I follow naught but what is revealed unto me: if I were to disobey my Lord I should myself fear the penalty of a Great Day (to come).",Ama gae gba aya Yi nazhia tula na ya'a za nazhie jin kauna gungun wangi be Yi yin'ana ajin agangan: "La kuranu ndoci beyn najin nana'ana koma u'sangwa "Gangan: U-- yin ya mi yin'a umajin kagbo mi yin'a na mia san'ugwa wo be ti mi yin na'a. Mi mae la mi tu yandondoa sai de natso aga jin wahayiu be yami na. Hakika mie sundan miga'alr Tsoci mi ba na yan azaba Efo na gbota na.
