Surah 103:1 ,By (the Token of) Time (through the ages),Sokoe zhi kuti be lokaci-i.
Surah 103:2 ,  Verily Man is in loss,Akika zawangi ta eti hasara'o ganni be robonkpe tiy.
Surah 103:3  ,      Except such as have Faith and do righteous deeds and (join together) in the mutual teaching of Truth and of Patience and Constancy.,Sai dai zanazhi ga imani jin nan acie lotun wangi wangizhi nan acie jin dozhi gangba ganni be gaskiyae nan acie jin dozhi gangba ganni be hakuri' nan.
Surah 104:1,    Woe to every (kind of) scandal-monger and-backbiter,Azaba yan zunyesun (Gushe yan ena) wun'a jin tabbata ya zanazhie nyinza be misun'yna to zanazhie nyinza be eye ko tikpa ko be alama ndoci'ina.
Surah 104:2  , Who pileth up wealth and layeth it by,(Azaba yan zunyesun) wun'ajin tabbata ya zanae ku dukiyazhi yekan cia jin u fe jin'u lisafi kandondo nan.
Surah 104:3 ,  Thinking that his wealth would make him last for ever!,Ucie kpaye gan dukiya wuncin ugayi kagbo edunfe izheo na.
Surah 104:4   ,By no means! He will be sure to be thrown into That which Breaks to Pieces,Akika al'amari Soko ujin kendoe zawangie kpaye na'a wallahi aga zawuncin cegun enan yan hutammao.( Enan nae ban tsukun za ruku na).
Surah 104:5,   And what will explain to thee That which Breaks to Pieces,Ki'ima'a ya wye kpikpe yan ena nae ye hutamma nan'o
Surah 104:6,  (It is) the Fire of (the Wrath of) Allah kindled (to a blaze),Enan uyio nan Soko jin shiri ka egi azaba zhi nan.
Surah 104:7  , The which doth mount (Right) to the Hearts:,Enan wuncin wun'e lodan nin yan yangban zawangio.
Surah 104:8  ,It shall be made into a vault over them,Enan wuncin ga'a makezhe bandoro'o.Surah 104:9  In columns outstretched.Ama'afi bo lokaci na lokpa sarauyin nan.
Surah 105:1    ,   Seest thou not how thy Lord dealt with the Companions of the Elephant,Annabi wyo de labari kendoe Soko jin be zaba dagbazhi'inaa
Surah 105:2 ,   Did He not make their treacherous plan go astray,Asha ula tanadiazhi kpaata zo fi egbin boa
Surah 105:3 ,  And He sent against them Flights of Birds,Soko ci tun jamma'a yan elugi nazhi dokun' nan fia (ganni be aza'abae).
Surah 105:4 ,  Striking them with stones of baked clay.,Elugi wuncinzhi cie cea takun be enan nan'a jin be ezun pipoci' nan.
Surah 105:5,  Then did He make them like an empty field of stalks and straw (of which the corn) has been eaten up.,Kpa'ata' acia jin hallaka acia fe ke kotonkoci yandzo na'agi acia kparau ceya nan.
Surah 106:1  ,For the covenants (of security and safeguard enjoyed) by the Quraish,Ebo yeda yan quraishawa zhio.
Surah 106:2   ,Their covenants (covering) journeys by winter and summer-,Ebo yeda'a nan ada be ezandae dan lokaci zunzunkae be gban fere nan.
Surah 106:3  , Let them adore the Lord of this House,Ebo acin'O wun'agoyin nan quaraishawazhi-a jin bawta nyan Tsoci kata ka'aba nan-nan nan (wato quraishawazhi afede tswitswa lazhin to lozun bandondo'O ebo albarkaci kata ka'ab nagi kinyin'abo na).
