Surah 20:1, Ta-Ha.,TWA HA
Surah 20:2,    We have not sent down the Qur´an to thee to be (an occasion) for thy distress,Yi cin Alkuranu cin be ya wyoe ebo wyo debao jin wahala boa.
Surah 20:3 ,  But only as an admonition to those who fear (Allah)-,Sai de ebo ula'ufe sinsantu'u ya zandndo nagae sundan Soko na.
Surah 20:4 ,    A revelation from Him Who created the earth and the heavens on high.,Acin'u cin be dagan weba Etsu najin alitta yan kin be sanma nazhi yi elatucizhi nae.
Surah 20:5  , (Allah) Most Gracious is firmly established on the throne (of authority).,Soko Etsu yegun wyun'ajin dai dai ta eti Al-arashio.
Surah 20:6     ,      To Him belongs what is in the heavens and on earth and all between them and all beneath the soil.,Wyun ga wun yannazhi fi sanmazhio to kin to yannazhi dan tacin'abo nao. To yannazhi fi tako yan kinbo na.
Surah 20:7   ,   If thou pronounce the word aloud (it is no matter): for verily He knoweth what is secret and what is yet more hidden.,Wyo ma ga la bere tu be egan'e to hakika Soko yibe kpikpe asiri zhi to yannazhi swo-gan wuncinzhi kpata na.
Surah 20:8    ,   Allah! there is no god but He! To Him belong the most Beautiful Names.,Soko ade Tsoci ndocia sai wyun'y Uma yibe sunna wangi-wagizhi.
Surah 20:9 ,  Has the story of Moses reached thee,Ngba labari (Annabi) Musa be ya wyo yaani
Surah 20:10,                 Behold he saw a fire: So he said to his family "Tarry ye; I perceive a fire; perhaps I can bring you some burning brand therefrom or find some guidance at the fire.",Kamina u taye le ena ya na ucia gan ya iyaliuzhi gan: "E fedun zhi'abo hakika mi taye le ena ye mia tunbo ujin-wo mia be yaye be enacikarae koma miade bawu ndoci dagan eba ena wuncin'o.
Surah 20:11,   But when he came to the fire a voice was heard: ",O Moses!Gancin kamina u tun bauna aci yiu ye gan: Ya wyoe Musa.
Surah 20:12   ,     "Verily I am thy Lord! therefore (in My presence) put off thy shoes: thou art in the sacred valley Tuwa.,Hakika Miga yi Tsoci wyo-yo ebo acin'o a eda wyo wa hakika wyodan danna lilici yan kpanko Duwao.
Surah 20:13  ,  "I have chosen thee: listen then to the inspiration (sent to thee).Mi ma wyo la'afe eza tsitsaci (Tuci Soko) ebo acin'o shi tukpa ya yanna Yiga'ajin wahayiu ya wyoe na.
