Surah 28:1 ,Ta. Sin. Mim.,TA SIN MIM
Surah 28:2,   These are Verses of the Book that makes (things) clear.,Wuncinzhi ayazhi ayio yan Litafi na yi gbangba na.
Surah 28:3 ,       We rehearse to thee some of the story of Moses and Pharaoh in Truth for people who believe.,Yie gba ya wyoe dagan mini labari Musa be Fir'aunae be gaskiyae ebo (ualufe bibe imani'uya) muminizhi.
Surah 28:4  ,Truly Pharaoh elated himself in the land and broke up its people into sections depressing a small group among them: their sons he slew but he kept alive their females: for he was indeed a maker of mischief.,Akika Fir'auna'a gbintu ta eti kinbo ucia jamaazhi safi kpere-kpere ucie yibaba zandocizhi miniabo ufe zun egi bagiazhi ucie la egi yinzagizhi lugwa. Akika wyun'afe dan mini zanazhie nyin-yan nae.
Surah 28:5,           And We wished to be Gracious to those who were being depressed in the land to make them leaders (in Faith) and make them heirs,Yimaa kpa gan Yia twarya ya zanazhi e yiba baa dan kinbo na Yima-y-la'ae la-y-fe dzoshicizhi Yi ma-y-la'ae la'y-fe egungicizhi. (yan mulki na Fir'aunae jin na).
Surah 28:6,To establish a firm place for them in the land and to show Pharaoh Haman and their hosts at their hands the very things against which they were taking precautions,Yima ga'aya kagbo dan kinbo Yi ma gaa la wu Fir'auna to Hamana to ekunguciazhi zagu baaba iri yannazhi agae sundan beayin na.
Surah 28:7 ,So We sent this inspiration to the mother of Moses: "Suckle (thy child) but when thou hast fears about him cast him into the river but fear not nor grieve: for We shall restore him to thee and We shall make him one of Our messengers.",Yima ci jin wahyi ya Nna yan Musa gan: "U'u ya be ye kamina wyo gae be sundan yau na to u'u ce ta eduo wyo mao ga sundan ma wyo mao ga nyin yangban ma akika Yi gau lazhin bea ya wyoe Yi ma ga'u laafe dan mini Tucizhio.
Surah 28:8 ,Then the people of Pharaoh picked him up (from the river): (It was intended) that (Moses) should be to them an adversary and a cause of sorrow: for Pharaoh and Haman and (all) their hosts were men of sin.,Za mi Fir'auna zhi ci'u de la ebo (zunma-- ) ubea zhe makiri be yangban nyin'y yaa ma. Akika Fir'auna to Hamana to ekungunciazhi aafe bicicincizhi.
Surah 28:9    ,             The wife of Pharaoh said: "(Here is) joy of the eye for me and for thee: slay him not. It may be that he will be use to us or we may adopt him as a son." And they perceived not (what they were doing)!,Yinmi Fir'auna ci gan: "Egi nna yangban tacin uyio ya mi to wyoe ye mae ga wu'u ma kengi'i uyio na wyun'a jin yi anfani na ko ma yi'i la wyun'ila egi" Ama kpe yanna Sokoa jin yan'u naa.
Surah 28:10  ,              But there came to be a void in the heart of the mother of Moses: She was going almost to disclose his (case) had We not strengthened her heart (with faith) so that she might remain a (firm) believer.,Yangban yan Nna yan Musa cia fe foko-yin (yandondo fibo sai yekpa eti Musao) De gi keo kacan'a ugaa yanna dan beuyin na tula kagan ujin ebo yangban wu na Yi la dan'u yangban'o naa ebo ma ulaufeo dan mini muminizhio.
Surah 28:11 ,        And she said to the sister of (Moses) "Follow him" so she (the sister) watched him in the character of a stranger. And they knew not.,Ucia gan ya yegiu yinzagi gan: "A mitu ekpau" Uci taye leuye dagan ba kpaako ama kpegan (yegiu uyia).
Surah 28:12           ,    And we ordained that he refused suck at first until (His sister came up and) said: "Shall I point out to you the people of a house that will nourish and bring him up for you and be sincerely attached to him"...,Tun shidzo batsozhio ma Yia ebe nuwan yan yinzagi nazhie yaabe ye na laajin haramu yau (yegiu) ci gan: Ngba min wuyeba lo zaba emi ndocizhi nazhia yau be ye amaajin bolobolo beuyin na
Surah 28:13 ,               Thus did We restore him to his mother that her eye might be comforted that she might not grieve and that she might know that the promise of Allah is true: but most of them do not understand.Yiciu la dazhin eba Nna'u be ebo yangban wyun'u cin'u ta umau ga nyin yangban ma umau kpe'u wo ke akika alkawali Soko gaskiya uyio-na amaade ekundondoazhi a kpea.
Surah 28:14   ,      When he reached full age and was firmly established (in life) We bestowed on him wisdom and knowledge: for thus do We reward those who do good.,Kamina ubea jin baligi na ucia gun za na Yi twaurya be hukunci ganni be ilimiy (kpikpe) acinga gama Yie la egagba ya zanazhi gae jin bolobolo nao
Surah 28:15 ,                                    And he entered the city at a time when its people were not watching: and he found there two men fighting- one of his own religion and the other of his foes. Now the man of his own religion appealed to him against his foe and Moses struck him with his fist and made an end of him. He said: "This is a work of Evil (Satan): for he is an enemy that manifestly misleads!",Uci daa gandan zhinin bo kanga ma zawangizhi kpea uci da tsun eza bagi guba ndocizhi nazhie sun-wun na; zaeni dagan mini kabilau bo udan'o zabaci nana ma mini nazhie sunwun beuyin na bo udan'o. Gancin natso yi kabila nini beuyin na ciwa wuce'u ta eti natso yi ewunsuncia na. Musa ci dau gwa: "Nanade mini etun shetan bo uyio akika (shetan) makiri uyio zana mae gbinza na uyio yan gbangba.
Surah 28:16    ,        He prayed: "O my Lord! I have indeed wronged my soul! Do Thou then forgive me!" So (Allah) forgave him: for He is the Oft-Forgiving Most Merciful.,Ugan: "Tsoci mi! Akika mia eti tacin mi jin zwalunci wyode fa be mi yin" Soko ma ci fa beuyin; akika Soko Etsu gafara uyio Etsu yegun Uyio.
Surah 28:17  ,      He said: "O my Lord! For that Thou hast bestowed Thy Grace on me never shall I be a help to those who sin!",Ugan: "Tsoci mi! Be iri ni'ima nazhi wyola ya mi nae mia fe zanaejin lefi jincizhi taimako naa.
Surah 28:18    ,           So he saw the morning in the city looking about in a state of fear when behold the man who had the day before sought his help called aloud for his help (again). Moses said to him: "Thou art truly it is clear a quarrelsome fellow!",Ucia tinba gun zhininbo ufe sundan yangban mae yan-yan (ko kia be jin'o) gancin nda na wa taimako beuyin tsuwo na wyun'e ke ye'uyi be Musa cia gan'u gan: "Wyode eza egbin wyo yio naa tula na.
