Surah 3:1, A. L. M., Alif lam meem.
Surah 3:2     , Allah! There is no god but He-the Living the Self-Subsisting Eternal.,Soko! Ade yandoci na'ajin bawta ya (be gaskiyae) na sai de Wyun'y Etsu rayi Etsu na'akunke be yandondoe na.
Surah 3:3 ,         It is He Who sent down to thee (step by step) in truth the Book confirming what went before it; and He sent down the Law (of Moses) and the Gospel (of Jesus) before this as a guide to mankind and He sent down the criterion (of judgment between right and wrong).,Wyun'a Litafi cin be'a ya wyoe ganni be gaskiyae umae la gaskiya-bo yan (litafi) nazhi shiu dzo na wu Uma cin Attaura be to Injeela.
Surah 3:4   ,              Then those who reject Faith in the Signs of Allah will suffer the severest penalty and Allah is Exalted in Might Lord of Retribution.,Shidzo batsozhio bawu a yio ya zawangizhi u ma cin (Funruqanu) Litafi na la erikpe dan tsakani gaskiya be ganmanae na Akika zanazhia jin kafirinci be aya Soko zhiy na azaba na gbota na ga'ajin tabbata ya'a. Soko ma Etsu zankpe uyio Etsu na yi be azaba na tsanni uyio.
Surah 3:5,  From Allah verily nothing is hidden on earth or in the heavens.,Shidzo bats`ozhio bawu a yio ya zawangizhi u ma cin (Furuqanu) Litafi na la erikpe dan tsakani gaskiya be ganmanae na. Akika zanazhia jin kafirnci be `aya Soko zhiy na azaba na gbota na ga'ajin tabbata ya'a. Soko ma Etsu zankpe uyio Etsu na yi be azaba na tsanni na uyio
Surah 3:6 ,           He it is Who shapes you in the wombs as He pleases. There is no god but He the Exalted in Might the Wise.,Wyun ga yi Etsu nae tswa ye dan mini ewanzhio kendoe ga ba U nao. Ade yandoci na'awun (be gaskiyae) na'a saide Wyun'y na yi Etsu zankpe uma yi Etsu hikima na.
Surah 3:7   ,                                          He it is Who has sent down to thee the Book: In it are verses basic or fundamental (of established meaning); they are the foundation of the Book: others are allegorical. But those in whose hearts is perversity follow the part thereof that is allegorical seeking discord and searching for its hidden meanings but no one knows its hidden meanings except Allah. And those who are firmly grounded in knowledge say: "We believe in the Book; the whole of it is from our Lord:" and none will grasp the Message except men of understanding.,Wyun ga cin litafi be ya wyo yo miniu bo ayazhi danbo nazhi bayani hukunciazhi yi bibaci na a ga dokun gan fi litafi bo ndocizhi madanbo bayani hukuncizhi be dozhi. Ammaa za nazhi yangba'azhi a pan ke gaskiya lugwa na elami-la-tu nazhi ga bedozhi miniubo na ebo wiwa yan fitinao be wiwa fasara eti etun yangba'o zandondo ma kpe fasarau yan gaskiya yea saide Soko. Za nazhi ma'a shidu dan ilimio na ajin afe gan: "Yi yia imani jin be uyin kpatau daga eba Tsuci yi bo ufe beo". Amade za nazhie kpaye na'a saide eza ankalizhi.
Surah 3:8,              "Our Lord!" (they say) "Let not our hearts deviate now after Thou hast guided us but grant us mercy from Thine own Presence; for Thou art the Grantor of bounties without measure.,Tsoci yi! Ga pan yangban yi ke gaskiiya lugwa ma baci na Wyo'a yi wu ba'ni na ma Wyo ma'o twarya yegun'o yayi dagan nko wyo bo akika wyoe Etsu ryatwa wyo yio.
Surah 3:9  ,          "Our Lord! Thou art He that will gather mankind Together against a day about which there is no doubt; for Allah never fails in His promise.",Ya wyo Tsuci yi! Akika wyo ga yi za na'aku zawangizhi yekan dan mini efo na kelo kezhin ndondo dan boa nao. Akika  Sokoe le lokaci alkawali ba'a.
Surah 3:10  ,            Those who reject Faith- neither their possessions nor their (numerous) progeny will avail them aught against Allah: They are themselves but fuel for the Fire.,Akika za na zhia jin kafirinci na dukiya'azhi to egiazhi a kunke ya'a wo be yandondoe eba Soko boa a wuncinzhima agayi emi (be cigbantun) yan ena zhio.
Surah 3:11 ,            (Their plight will be) no better than that of the people of Pharaoh and their predecessors: They denied our Signs and Allah called them to account for their sins. For Allah is strict in punishment.,Tabiazhi yi ke yan za ba Fir'auna zhi na to za nazhi shia dzo na a aya yizhi yi ganmana Soko ma cia wan be zunubiazhi Soko ma Etsu uyio na gbata azabao na.
Surah 3:12 ,       Say to those who reject Faith: "Soon will ye be vanquished and gathered together to Hell-an evil bed indeed (to lie on)!,Gan ya za nazhia jin kafirinci na gan: Bele-yin agae zankpe ama gae ku yekan da jahannama be bibi ma'ajin tabbata ya yantaci wuncin.
Surah 3:13,                            "There has already been for you a Sign in the two armies that met (in combat): One was fighting in the cause of Allah the other resisting Allah; these saw with their own eyes Twice their number. But Allah doth support with His aid whom He pleaseth. In this is a warning for such as have eyes to see.",Akika aya (wanciko) wun'afe yaye dan mini jama'a guba nazhi gun be dozhi ekundao na jama'a kasan nini e'gun'kun ta eti eko Soko kasan baci ma yan Kafirizhi'u yio aci e leye gan'ajin (Musulumizhi) guba lile ye yan. Soko mae la kagbo a ya za na ga Una be mae la kagbo a ya za na ga ba Una be Nasara Uyin.Akika mini wuncin'o eyan yekpa danbo ya zanazhi gayi eza baseera zhi na
.Surah 3:14,                       Fair in the eyes of men is the love of things they covet: Women and sons; Heaped-up hoards of gold and silver; horses branded (for blood and excellence); and (wealth of) cattle and well-tilled land. Such are the possessions of this world´s life; but in nearness to Allah is the best of the goals (To return to).,A wiwa yan eyan shahawazhi pa nini fi zawangizhi yan yinzagizhi egizhi to dukiya nazhi yi epa epazhi yan zinariya be azarfae na to doko nazhia pa nin na to dabbazhi to yangici sunsunzhi. Wuncinzhi kpata eyan emawo izhe ayio. Soko ma ebaugabo ezhe keba wangi dan'o.
Surah 3:15  ,                     Say: Shall I give you glad tidings of things Far better than those For the righteous are Gardens in nearness to their Lord with rivers flowing beneath; therein is their eternal home; with companions pure (and holy); and the good pleasure of Allah. For in Allah´s sight are (all) His servants,Gan gan kashi min yaye labari yan natsozhi de alheri gan wuncinzhina Ya zanazhi ga sundan Soko na Aljanna nazhi nuwan zhieje fi tako'abo na danbo ya'a eba yan Tsociabo bagabo ma'afi tutunyin'o To yinmizhi nazhi yi lilicizhina ganni be yeda jin dagan eba Soko. Soko mae le wuzhizhi ye (be iri yan nazhi e'jin na.)
Surah 3:15  ,                     Say: Shall I give you glad tidings of things Far better than those For the righteous are Gardens in nearness to their Lord with rivers flowing beneath; therein is their eternal home; with companions pure (and holy); and the good pleasure of Allah. For in Allah´s sight are (all) His servants,Gan gan kashi min yaye labari yan natsozhi de alheri gan wuncinzhina Ya zanazhi ga sundan Soko na Aljanna nazhi nuwan zhieje fi tako'abo na danbo ya'a eba yan Tsociabo bagabo ma'afi tutunyin'o To yinmizhi nazhi yi lilicizhina ganni be yeda jin dagan eba Soko. Soko mae le wuzhizhi ye (be iri yan nazhi e'jin na.)
Surah 3:17,     Those who show patience Firmness and self-control; who are true (in word and deed); who worship devoutly; who spend (in the way of Allah); and who pray for forgiveness in the early hours of the morning.,Zanazhi jin hakuri na to za nazhi  yi 'za gaskiya zhi na to za nazhie dakpya na To za nazhie wu dukiya fi eko wangio na to za nazhie ba gafara dan lokaci Asuba'abo na.
Surah 3:18 ,                There is no god but He: That is the witness of Allah His angels and those endued with knowledge standing firm on justice. There is no god but He the Exalted in Power the Wise.,Soko jin ri kede ade Tsoci ndocia saide Wyun na to Malaikazhi to eza kpikpezhi nazhie la'kugikini be gaskiyae na ade Tsoci ndocia saide Wyun'y Etsu nayi Etsu zankpe na Etsu nayi Etsu hikima na.
Surah 3:19  ,                       The Religion before Allah is Islam (submission to His Will): Nor did the People of the Book dissent therefrom except through envy of each other after knowledge had come to them. But if any deny the Signs of Allah Allah is swift in calling to account.,Akika adini (eko izhe le) natso Soko jin yeda be yin na U'gayi Musuluncio Za nazhi ma ala litafi ya na ace leba'a saibaci na ilimi da be ya na ebo yangban dede na dan tsakani'abo naZandondo na gae jin kafirinci be aya Soko zhi-na to akika Soko faneba hisabi jin'o.
Surah 3:20  ,                       So if they dispute with thee say: "I have submitted My whole self to Allah and so have those who follow me." And say to the People of the Book and to those who are unlearned: "Do ye (also) submit yourselves" If they do they are in right guidance but if they turn back Thy duty is to convey the Message; and in Allah´s sight are (all) His servants.,A ma ga gbomi be wyo yin wyo gan gan: Mia alamari mi la'aya Soko to za na maga gba mi na (acinga uyio). Wyo mao gan'o ya za nazhi ala litafi ya na to zanazhi ma gba'a ama maka'a na: Ngba ye yea kpatsun ta ya Soko. To akika aga Kpatsun ta ajin shiri dan'o na amma'a aga bea zuma zheta akika yanna ta eti wyobo na ugayi yanwuo. Soko mae cin wuzhizhi le.
Surah 3:21,                 As to those who deny the Signs of Allah and in defiance of right slay the prophets and slay those who teach just dealing with mankind announce to them a grievous penalty.,Akika za nazhie jin kafirinci be aya Soko (zhiy)na acie wu Annabizhi umayi be hakki ndondo yin'a na acie wu za nazhie jin zazhi foro gan'ajin adalinci mini zawangizhio na wyo ga'ajin'oya bushara be azaba na tan sarauyin na.
Surah 3:22,          They are those whose works will bear no fruit in this world and in the Hereafter nor will they have anyone to help.,Za wuncinzhi gayi zanazhi etun'azhi a nyin ya izheo to ekuo nao ama'ade za nazhia jin'a taimako na'a. 
Surah 3:23  ,               Hast thou not turned Thy vision to those who have been given a portion of the Book They are invited to the Book of Allah to settle their dispute but a party of them Turn back and decline (The arbitration).,Ngba wyo cin le lo eba zanazhi ala robo ya mini litafi na'aE'yia gan'abea tsun litafi Soko Ebo'Udeba'ujin hukunci tsakani'abo gancin jama'a ndocizhi miniabo cia zuma zheta zheta acie la 'pan ya ke gaskiya lugwa.
Surah 3:24 ,             This because they say: "The Fire shall not touch us but for a few numbered days": For their forgeries deceive them as to their own religion.,Wuncin ma yi ebo na akika agan: Ena'adin yi yia saide yan efo nazhi yi bibacizhi na gancin ganmana nazhie tswa na cia ta ke adini jin wangi lugwa.
Surah 3:25 ,            But how (will they fare) when we gather them together against a day about which there is no doubt and each soul will be paid out just what it has earned without (favour or) injustice,To ke wun'a yiyi nao Yi ga be'a kuye kan ya efo natso kelokezhin dan'a naayin'o Acia gbata wo ya rayi ndondo yan woce na u ce na ama'jin'a zwalunci (ekondondo boa).
Surah 3:26  ,                     Say: "O Allah! Lord of Power (And Rule) Thou givest power to whom Thou pleasest and Thou strippest off power from whom Thou pleasest: Thou enduest with honour whom Thou pleasest and Thou bringest low whom Thou pleasest: In Thy hand is all good. Verily over all things Thou hast power.,Gan gan: Ya wyoe Soko na wun mulki kpata na wyoe la mulki aya za na ga ba wyo na wyo mae gwo mulki be za na ga ba'o nae wyo mae la zankpe a ya za na ga ba'o na wyo mae gba zana ga ba'o na alheri kpata egwa wyi bo'u fio. Akika wyode i-ko ta eti yandondo.
Surah 3:27 ,                   "Thou causest the night to gain on the day and thou causest the day to gain on the night; Thou bringest the Living out of the dead and Thou bringest the dead out of the Living; and Thou givest sustenance to whom Thou pleasest without measure.",Wyoe la yeshi a lo dan mini batin'o (igidio) wyo mae la batin a lo dan mini yeshio wyo mae wa eyan be rayi a tinya dagan mini eyan tsutsucio wyo mae wa eyan tsutsuci tinya dagan mini yanna yi be rayi-na wyo mae la arziki a ya za na ga ba'o na umayi be lisafi yin'a.
Surah 3:28 ,                         Let not the believers Take for friends or helpers Unbelievers rather than believers: if any do that in nothing will there be help from Allah: except by way of precaution that ye may Guard yourselves from them. But Allah cautions you (To remember) Himself; for the final goal is to Allah.,Muminizhi'a ga kara la kafirizhi masoyizhi ma zandondo na ma ga da jin' acin na za wuncin'ade kinigiba ndondo ke dan eba Soko boa saide uga'fe ebo yede bae tswa mini yezhi be yekan ndociy. Soko mae li ye dasun be eti tacin'u yin ezhekeba kpata ma be'uyin udan'o.
Surah 3:29   ,                  Say: "Whether ye hide what is in your hearts or reveal it Allah knows it all: He knows what is in the heavens and what is on earth. And Allah has power over all things.,Gan gan: Ye ga yannazhi fi yangban yezhio na swo koma ye'u tula soko kpe'u ye uma kpe yanna fi samazhio to na fi kinbo kpata na ye Soko ma ude i-ko ta eti yandondo.
