Surah 42:1 ,Ha-Mim,HEU MIM
Surah 42:2,´Ain. Sin. ,Qaf.AIN SIN KAF (Bayanizhi shidzo eti iri aya nanzhiy boa ni. Egwa wu ma' ayio yan zankpe yan kpikpe Soko nan'ude ta eti alittazhio nan).
Surah 42:3   ,      Thus doth (He) send inspiration to thee as (He did) to those before thee- Allah Exalted in Power Full of Wisdom.,Acinga ga Soko Etsu zankpe Etsu hikima wun'e jin wahayi be ya wyo yao to zanazhiy shi wyo dzo nao.
Surah 42:4 ,        To Him belongs all that is in the heavens and on earth: and He is Most High Most Great.,Wyun ga wun yannanzhiy fi sanmazhio to nanzhiy fi kin bo nao wun ga ma yi Etsu elatuo Etsu cinwan'o
.Surah 42:5    ,              The heavens are almost rent asunder from above them (by Him Glory): and the angels celebrate the Praises of their Lord and pray for forgiveness for (all) beings on earth: Behold! Verily Allah is He the Oft-Forgiving Most Merciful.,Sanmazhi atsotso ke a ga banfi dagan fitio nan (ebo edo yan cinwan Soko) Malaikazhi mae li Soko be ekundo yan yebo jin'y ya Tsocia yin amae kezhe ba gaafara ya za nanzhiy fi kinbo nan. Akika Soko ga yi Etsu gaafarao U ga ma yi Etsu yegun'o.
Surah 42:6   ,        And those who take as protectors others besides Him- Allah doth watch over them; and thou art not the disposer of their affairs.,Za nanzhiy ma a zandocizhi la ndakata ke Soko lugwa nan kpikpe yan Soko ta etiabo wyo ma jin za na'a fe tswa etun'azhi za na'a.
Surah 42:7   ,                  Thus have We sent by inspiration to thee an Arabic Qur´an: that thou mayest warn the Mother of Cities and all around her- and warn (them) of the Day of Assembly of which there is no doubt: (when) some will be in the Garden and some in the Blazing Fire.,Acinga ga Yi jin wahayi Alkuranu be ya wye yo u ma yi be ezhimi Larubawae ebo wyo yo jin jama'a yan Makacizhi gangba to za nanzhiy ma'u kezhe nan (izhe kpata). Wyo mao jin'a gangba eti efo gun-gun yekan wanciko kelo kezhin ndondo dan boa jama'a sashizhi a fi Aljannao jamaa sashizhi maa fi enan yan sa'iruo.
Surah 42:8        ,          If Allah had so willed He could have made them a single people; but He admits whom He will to His Mercy; and the Wrong-doers will have no protector nor helper.,Wun'a ba Soko ba da uga zawangizhi laazhe al'umma nini (eti adini ninio) amma'de wun'e la za nan ga bau nan a gandan mini yegun'u bo. Azwalumizhi ma a de eya'a a ma de za na'ajin'a taimako naa.
Surah 42:9  ,             What! Have they taken (for worship) protectors besides Him But it is Allah- He is the Protector and it is He Who gives life to the dead: It is He Who has power over all things,Kashi a zandocizhi la la ndakatazhi zunma Soko Ngan Soko ga yi Ndakata yan gaskiyao wun ga ma'edan eyan tsutsu cizhi rayio U ma de kagbo ta eti yandondo
Surah 42:10   ,           Whatever it be wherein ye differ the decision thereof is with Allah: such is Allah my Lord: In Him I trust and to Him I turn.,Yandondo nan ma ye ga cedozhi leba etiubo nan Ye'a hukunci la aya Soko (ebo nan wun ga wun hukunci kpatao). Soko wuncin ga yi Tsoci mi yin'o wun ga mi ya kpeo eba'u ga ma mia zheban loo.
Surah 42:11      ,            (He is) the Creator of the heavens and the earth: He has made for you pairs from among yourselves and pairs among cattle: by this means does He multiply you: there is nothing whatever like unto Him and He is the One that hears and sees (all things).,Soko ga yi Etsu nan jin alitta sanmazhi to kin nao. Wun'a yinzagizhi jin ya ye dagan mini nankan yetso to dabbazhiotso wun'ajin eba be yiwozhiy. Wun'ejin alitta yezhi dokun fi mini eba be yiwo zhiy. Akika ade yandoci dozhin Sokoa Etsu u ma yio nae wo gan nan Etsu nae le bandondo ye nan.
