Surah 50:1,   Qaf: By the Glorious Qur´an (Thou art Allah´s Messenger).,QAF mi zhi kuti be alkuranuy nan yi cinwanci nan.
Surah 50:2   ,       But they wonder that there has come to them a Warner from among themselves. So the Unbelievers say: "This is a wonderful thing!,A'aa dea jin mamaki na za na ajin gangba.nan miniabo ufe beo nan kafirizhi ci gan; nan nan de eyan mamaki u yio.
Surah 50:3 ,     "What! When we die and become dust (shall we live again) That is a (sort of) return far (from our understanding).",Ngba Yi ga' tsu yicia zhe jikannan (a kezhea yi dan rayi be) Ezhe ke wuncin ma'akpe ya be gashiyae.
Surah 50:4  ,      We already know how much of them the earth takes away: With Us is a record guarding (the full account).,Akika Yi kpe yan nan kin yin'e gi ya miniabo nan Yima kezhe ye be Litafi nae tswa yandondo nan.
Surah 50:4   ,     We already know how much of them the earth takes away: With Us is a record guarding (the full account).,Akika Yi kpe yan nan kin yin'e gi ya miniabo nan Yima kezhe ye be Litafi nae tswa yandondo nan.
Surah 50:5  ,      But they deny the Truth when it comes to them: so they are in a confused state.,U jin'acin'a a dea gaskiya yi ganmanan kamina u be yaa nan amaafe fi mini alamarizhio nazhi yi be rikiciy na.
Surah 50:5    ,    But they deny the Truth when it comes to them: so they are in a confused state.,U jin'acin'a a dea gaskiya yi ganmanan kamina u be yaa nan amaafe fi mini alamarizhio nazhi yi be rikiciy na.
Surah 50:6,           Do they not look at the sky above them- How We have made it and adorned it and there are no flaws in it,Kashiy acin Sanma cin le ta fitia boa kendoe Yi tu'u tu naa Yi ciu panin na'a U ma san ban dondo boa naa
Surah 50:7   ,       And the earth- We have spread it out and set thereon mountains standing firm and produced therein every kind of beautiful growth (in pairs)-,To kin nan Yi ta cici naa Yicia patizhi ce ta'u Yi cia yangici sun-sunzhi iri ndondo la'a tin ya bo nanzhiy ma yi wangi nan.
Surah 50:7  ,        And the earth- We have spread it out and set thereon mountains standing firm and produced therein every kind of beautiful growth (in pairs)-,To kin nan Yi ta cici naa Yicia patizhi ce ta'u Yi cia yangici sun-sunzhi iri ndondo la'a tin ya bo nanzhiy ma yi wangi nan.
Surah 50:8  ,  To be observed and commemorated by every devotee turning (to Allah).,Ebo ula'a fe eyan yekpa be wa'aziy ya wuzhi ndondo nae zheban da ba Soko nan.
Surah 50:9       ,  And We send down from the sky rain charted with blessing and We produce therewith gardens and Grain for harvests;,Yima du ele albarka beyn dagan sanmao Yicia yangici lambuzhi laatin ya to yangici sun zhi nan zhie da ku (lati o)nan.
Surah 50:10 ,   And tall (and stately) palm-trees with shoots of fruit-stalks piled one over another;-,To dobinazhi nanzhi wunkpa nan a ma yi be egizhi nazhi ta'ti dozhio nan.
Surah 50:11       ,As sustenance for (Allah´s) Servants;- and We give (new) life therewith to land that is dead: Thus will be the Resurrection.,Ebo ula'ufe arziki u ya wuzhizhi Yi maa ezhi nan yi tsutsuci na dan rayi be u yin. Acinga ga ma dzun dzun tinya dagan kabari'a yio.
Surah 50:12    ,  Before them was denied (the Hereafter) by the People of Noah the Companions of the Rass the Thamud,Jamaa yan (Annabi) Nuhu zhi a (egan Soko) yi ganmanan shidzo be dzo to jama'a yan -- ga Rassizhi to Samuduzhi.
Surah 50:13  , The ´Ad Pharaoh the brethren of LutTo Aduzhi to Fir'auna to yegi yan Lutuzhi (atso a egan Soko yi ganmanan).
Surah 50:14,        The Companions of the Wood and the People of Tubba´; each one (of them) rejected the messengers and My warning was duly fulfilled (in them).,To jama'a yan Annabi shuaibuzhi to Tuba'uzhi kpata a Tucizhi yi ganmanan azaba cia jin tabbata ta eti a bo.
Surah 50:15   ,      Were We then weary with the first Creation that they should be in confused doubt about a new Creation,Kashi Yi yia gbakpan gba be jin jin yan za mafari zhiy A'a ade jin kelo kezhin jin dan yi ye jin yan alittazhio.
Surah 50:16      ,       It was We Who created man and We know what dark suggestions his soul makes to him: for We are nearer to him than (his) jugular vein.,Akika Yi gajin Alitta zawangio Yi ma kpe yan nanzhie je lo-zhin fi yangban'u bo nan Yi ma tso bau gan to edin nanzhi fi koro'u bo nan.
Surah 50:17,       Behold two (guardian angels) appointed to learn (his doings) learn (and noted them) one sitting on the right and one on the left.,(E pa) kamina (Malaika) guba (na'aka ya zandondo na) gun dozhi nini ashi gwaalo nini ma'ashi gwaapin'o aci gaa fedun nan.
Surah 50:17  ,     Behold two (guardian angels) appointed to learn (his doings) learn (and noted them) one sitting on the right and one on the left.,(E pa) kamina (Malaika) guba (na'aka ya zandondo na) gun dozhi nini ashi gwaalo nini ma'ashi gwaapin'o aci gaa fedun nan.
Surah 50:18 ,      Not a word does he utter but there is a sentinel by him ready (to note it).,Ade egan naa tin ya misun'u bo na'a sai de (Malaika) Rakibu to Atidu a zhi baubo fe kau.
Surah 50:18    ,   Not a word does he utter but there is a sentinel by him ready (to note it).,Ade egan naa tin ya misun'u bo na'a sai de (Malaika) Rakibu to Atidu a zhi baubo fe kau.
Surah 50:19  ,      And the stupor of death will bring Truth (before his eyes): "This was the thing which thou wast trying to escape!",Gancin pipe yan ajali cia be be gaskiyae wuncin ga yi yan nan wyo'e bici yaba ya nao.
Surah 50:20,     And the Trumpet shall be blown: that will be the Day whereof Warning (had been given).,Aciga efe be fi kafo fo wuncin ga yi efo alkawali o.
Surah 50:21,     And there will come forth every soul: with each will be an (angel) to drive and an (angel) to bear witness.,Rayi ndondo ma'abe be (foga) ganni be za nae pa'u nan be za nae jin 'ri nae.
Surah 50:22    ,       (It will be said:) "Thou wast heedless of this; now have We removed thy veil and sharp is thy sight this Day!",Akika eti alamari na nao wyo a fe dan mini eye yao yi ma ga yekan wyo zhi kpe ya ya wye bacin le wye yin nan wun'ayi nu nuci.
Surah 50:23  ,   And his Companion will say: "Here is (his Record) ready with me!",Malaika nae la'mi tu'u nan cia gan gan: Nan nan ga yi yan nan be be mi yin nao.
Surah 50:24,     (The sentence will be:) "Throw throw into Hell every contumacious Rejecter (of Allah)!-,Yea kafiri ndondo nan ga'a gbo tika nan ye'u ce gun enao.
Surah 50:25   ,"Who forbade what was good transgressed all bounds cast doubts and suspicions;,Za nae la alheri kan zazhi nan za nae gwo iyaka Soko gan nan. U mayi za nae jin kelo kezhin nan.Surah 50:26         "Who set up another god beside Allah: Throw him into a severe penalty."Za naa tsoci ndoci laapa Soko baci nan e ce'u da gun azabao nan yi tsun tsun nu na.
