Surah 68:1   , Nun. By the Pen and the (Record) which (men) write-,Nun'Soko ezhi kuti be alkalan yin. Be yan nazhie ka nae.
Surah 68:2    ,Thou art not by the Grace of thy Lord mad or possessed.,Akika Wyo'e (Annabi) Wyo jin ilanducia gan ni be ni'ima wanciko (yan Annabci) nan Tsoci wyo'e la'a ya wyo'e na'a.
Surah 68:3   , Nay verily for thee is a Reward unfailing:,Akika ma la'da nan tso a ba-tu'a nan wun'a jin tabbata ya wyo'e.Surah 68:4   And thou (standest) on an exalted standard of character.Akika ma Wyo ta eti hali wan gi wan-gi zhio nan zhima gbo ta sarau yin nan.
Surah 68:5 ,Soon wilt thou see and they will see,Be le yin Wo'a be le akika alamari zhi ye. To a tso kafirizhi ma a be le ye.
Surah 68:6, Which of you is afflicted with madness.,Zhi mini ye bo yi ilanduci be eza fitina yin'o
Surah 68:7   ,       Verily it is thy Lord that knoweth best which (among men) hath strayed from His Path: and He knoweth best those who receive (true) Guidance.,Akika Tsoci yan wyo'e u ga de kpikpe gan'o yan za nan zhi ga'ya ke eko gboro lu gwa nan-o Wun ga ma de kpikpe gan-o yan za nan zhi ta eti eko gboro eti shiri Soko nan-o.
Surah 68:8  ,So hearken not to those who deny (the Truth).,(Annabi) Ga jin yarda a mi. tu gan-ma-nan zun ci zhi ma.
Surah 68:9 ,  Their desire is that thou shouldst be pliant: so would they be pliant.,Kafirizhi e wa gan wo'ola o da o ci'o ya'a ebo etso a da'a ciaya Wo'e.
Surah 68:10   , Heed not the type of despicable men- ready with oaths,(Annabi) Ga jin yarda la mi tu zae ni ndondo nan ga gan kuti-zhi na ma. Wyo ma o ga la mi tu za banza zhi ma.
Surah 68:11, A slanderer going about with calumnies,Za nan zhie gan za wangi zhi yin'nan Za nan zhi e ku za wan gi zhi gun wun nan.
Surah 68:12 ,  (Habitually) hindering (all) good transgressing beyond bounds deep in sin,Za nan zhi e la alheri kan do-zhi nan za nan zhi e gbin iyaka Soko tu nan za nan zhi a cin dan jin jin le fi Soko nan. (Kpata za nan nan zhi'I Annabi ga jin yarda be a yin ma)
Surah 68:13   ,Violent (and cruel)- with all that base-born-,Eza eti kagbo ci zhi ba'aci siffa dede nan nan zhi'I u ke zhe yi egi nan'a ma yan cin'o nan.
Surah 68:14   , Because he possesses wealth and (numerous) sons.,Wun'a jin u fe pe ta eti kin bo ebo nan u yi ewo de ci nan u ma kezhe yi be egi zhi'I nan.
Surah 68:15   ,   When to him are rehearsed Our Signs "Tales of the ancients" he cries!,Ka ndondo nan a ga aya Mi zhi gba ya'u nan wun'a jin u gan: ecin zhi a yio yan za pa yin zhi.Surah 68:16  Soon shall We brand (the beast) on the snout!Yi ga alama dede la a ta u eti eye'u bo. (Wato a ga eye yan Walidu bn Magira din U ci ga jin duru I ke yan dagba nan).
Surah 68:17    ,     Verily We have tried them as We tried the People of the Garden when they resolved to gather the fruits of the (garden) in the morning.,Akika Yi (Mi Soko) yi a maka-ci-zhi ma cin le (be azaba iri iri zhi) ken do'e Yi ma za ba lati ndoci zhi cin le nan. Lokaci nan a zhi kuti gan: a yaa sa-ka-sa da ku yangi-ci lati a zhi be asuba-yinnan'e.Surah 68:18 But made no reservation ("If it be Allah´s Will").Lokaci nan a zhi kuti nan a gan gan: (IN SHAALLAHU'A) U ga be a ba Soko'a.
Surah 68:19  ,    Then there came on the (garden) a visitation from thy Lord (which swept away) all around while they were asleep.,Azaba yan Soko ci'a lati'a zhi ma ke-zhe alhali ma a fi nbo e le le.Surah 68:20 So the (garden) became by the morning like a dark and desolate spot (whose fruit had been gathered).Lati a zhi cia shi zhiko kpiri'I ke ba zhiko yeshi nan.
Surah 68:21, As the morning broke they called out one to another-,A ci a do zhi san lokaci nan asuba wun'a jin nan. (ebo a da la yangici lati a ku talakazhi'a ga de rabo ndondo bo ma).
Surah 68:22   ,   "Go ye to your tilth (betimes) in the morning if ye would gather the fruits.",E' sa ka ye da e la yangici lati zhi e ku Niyan ye ga gbo-ka eti ku ku'u bo nan.
Surah 68:23 , So they departed conversing in secret low tones (saying)-,A ci a ezan la a ci fe gan gan be do-zhi eti shawar'ao swiswo ci.
Surah 68:24  ,   "Let not a single indigent person break in upon you into the (garden) this day.",(A fe' gan gan:) Yin nan e ga lu gwa talaka ko nini gan-dan lati o ma.
Surah 68:25  , And they opened the morning strong in an (unjust) resolve.,A ci a tin ya be kagbo yangban'e ke yan nan a zhi kuti gan a ya jin nan sai a ga'u jin.
Surah 68:25 ,  And they opened the morning strong in an (unjust) resolve.,A ci a tin ya be kagbo yangban'e ke yan nan a zhi kuti gan a ya jin nan sai a ga'u jin.
Surah 68:26 ,   But when they saw the (garden) they said: "We have surely lost our way:,Lokaci nan' a tun lati nan a gan: Akika yi'a gbin ka.
