Surah 73:1,  O thou folded in garments!,Ya wyoe Annabi na' a ede lakpe ba nan.
Surah 73:2 ,  Stand (to prayer) by night but not all night-,A' nan kin dan jin jin ibadao be yeshi kpaata sai dai lokaci degi ga wo'a fa'o.
Surah 73:3 ,   Half of it- or a little less,A gan-fi yeshi jin sallah kpaata. Ko ma u la'u gba gan fi yeshi de'gi.
Surah 73:4  ,   Or a little more; and recite the Qur´an in slow measured rhythmic tones.,koma wo fe'o jin sallah'o dan lokaci nan a be ta eti gan-fi yeshio nan. Wo mao feo gba Alkur'anu gbi gba nan yi wangi nan.
Surah 73:5 ,   Soon shall We send down to thee a weighty Message.,Akika yi (Soko)'a la kara yan  egan nan lukpin sarauyin nan ta wyoe.(kara adini).
Surah 73:6   ,    Truly the rising by night is most potent for governing (the soul) and most suitable for (framing) the Word (of Prayer and Praise).,Akika ekin nan dan jin jin ibadao be yeshi'i Wun'e ya za yangban cin ta nan wancin. Uma jin dai dai gan eba eza nan eza'aba be Tsoci'u yin nae.
Surah 73:7    , True there is for thee by day prolonged occupation with ordinary duties:,Akika wo yi be etun nanzhi'i dokun nan (eti eko lili yan Soko'); be yigidi'i.
Surah 73:8  ,   But keep in remembrance the name of thy Lord and devote thyself to Him whole-heartedly.,Wyo mao dokun be yetun yan Tsoci'o yin Wyo mao la tacin'o tu baenio. Dan jin jin ibadao ya Soko.
Surah 73:9 ,       (He is) Lord of the East and the West: there is no god but He: take Him therefore for (thy) Disposer of Affairs.,Tsoci nan wun mulki eyi lazhin nan to eyi lozun nan akika a de za ndoci ko yandoci nan kun'a cin a jin bauta ya na'a sai dai Soko. Ebo acin'o a gwa sun Soko gban yin.
Surah 73:10 ,     And have patience with what they say and leave them with noble (dignity).,Wyo mao la hakuri'o jin be egan (banza) nanzhie gan nan wyo mao kpeo ya be'ayin kpikpeya nan yi wangi nan. (Ga jin'a zwalunci ma Wyo mao ga gia toko ma).
Surah 73:11  ,   And leave Me (alone to deal with) those in possession of the good things of life who (yet) deny the Truth; and bear with them for a little while.,(Annabi) a Mi (Soko) ya ganni be za nanzhi'e yi alamari adini ganmanan nan ebo nan a yi be ni'ima izhe' nan wo mao pata'o ya'a de'gi (wo'a le yan nan Soko ajin bea yin nan ye).
Surah 73:12  , With Us are Fetters (to bind them) and a Fire (to burn them),Akika  Yia shiri yan kuruzhi (nan lukpin sarauyin nan) jin ka'a kiyamao to enan nan tan sarauyin nan.
Surah 73:13   , And a Food that chokes and a Penalty Grievous.,To yangici dede nan'e yi gan (zakumu nan) ganna be azaba nan tan sarauyin nan.
Surah 73:13   , And a Food that chokes and a Penalty Grievous.,To yangici dede nan'e yi gan (zakumu nan) ganna be azaba nan tan sarauyin nan.
Surah 73:14  ,     One Day the earth and the mountains will be in violent commotion. And the mountains will be as a heap of sand poured out and flowing down.,(Efo kiyama) Efo u yio nan kin to patizhi a' fe du dudu yan iyaka nan. Patizhi ci ga zhe ke jikanna nan'a ku ye kan zhi-zhi nan. (wun'a de kagbo ndondo bea).
