Surah 89:1 ,By the break of Day,Sokoe zhi kuti be lokaci yan alfijiri-i.
Surah 89:2, By the Nights twice five;,Sokoe zhi kuti be yeshi guwo (yan mafari yan etswa zulhijja nan).
Surah 89:3 ,By the even and odd (contrasted);,Sokoe zhi kuti be yanazhi yibe tsudoe na be yanayi nini ude tsudoa nan.
Surah 89:3 ,By the even and odd (contrasted);,Sokoe zhi kuti be yanazhi yibe tsudoe na be yanayi nini ude tsudoa nan.
Surah 89:4  ,And by the Night when it passeth away;-,Sokoe zhi kuti be yeshi'i lokacina ugae dazan'da zobau nan.
Surah 89:5  ,   Is there (not) in these an adjuration (or evidence) for those who understand,Asa kutizhi kedan bawuncin'o ya zae zhi de ankali na
Surah 89:6,     Seest thou not how thy Lord dealt with the ´Ad (people)-,Wyo le kendoe Tsoci wye jinjin be za kin yan Aduzhi-I na yea (Adu nanazhi aga Soko tun Annabi Hudu fio).
Surah 89:7,  Of the (city of) Iram with lofty pillars,To Irama nazhi etu kata nazhi yibe ekpo wancikozhi-I nan. (za' ezhimi yan Aduzhi gabo atso dan'o eza kin yan Irama nanzhi-I ayi be katazhi nazhi latu sarauyin na Soko ma jin kpawun be kagboe ya'a sarauyin).
Surah 89:8 ,    The like of which were not produced in (all) the land,Nama ajin halitta ndoci dozhin yan Irama zhi dan kin ndondo bea na.
Surah 89:9 ,   And with the Thamud (people) who cut out (huge) rocks in the valley-,Be kendoe Soko jin jin be Samuduzhi-ina zanazhi gboka tun ekpona a' jin afe ban takun to pati wancikozhi be egwa'azhi'ina acie laujin kata lilecizhina.
Surah 89:10 , And with Pharaoh lord of stakes,Be kendoe Soko jin be Fir'auna na yibe kangari (nawun'e la jin zawangizhi azaba na).Surah 89:10  And with Pharaoh lord of stakesBe kendoe Soko jin be Fir'auna na yibe kangari (nawun'e la jin zawangizhi azaba na).
Surah 89:11   ,(All) these transgressed beyond bounds in the lands,Kp'ata zanazhi'a tunye da'ana agbin iyaka Soko tu dan kinmiazhio.
Surah 89:12  ,And heaped therein mischief (on mischief).,Ama fe nyi yanzhi sarauyin fi kinbo.
Surah 89:13  ,  Therefore did thy Lord pour on them a scourge of diverse chastisements:,Soko' ci cin azaba yan hallaka na tan sarauyin na be yaa kpa'ata.
Surah 89:14 , For thy Lord is (as a Guardian) on a watch-tower.,Akika Sokoe cin yana zandondo'e jin na le.
Surah 89:15   ,       Now as for man when his Lord trieth him giving him honour and gifts then saith he (puffed up) "My Lord hath honoured me.",Udan mini tabia dede yan zawangio kami ndondo na Soko gau macinle be eryatwa yan cinwan ko be arziki yan emawo yizhe na wun'a fe pe' u fe leye gan kagbo'u tsayi yana din arziki wuncin be ya wun'o nan.
Surah 89:16   ,      But when He trieth him restricting his subsistence for him then saith he (in despair) "My Lord hath humiliated me!",Soko ma gau ma cinle ucia eko yan arziki'uzhi ke tukun wun'a fe kpo gun za gan: Soko'a wun gba wun'a wun sunzunye.
Surah 89:17  ,  Nay nay! but ye honour not the orphans!,(Akika ma Soko sunza zunyea sai dai zana ga shi zunyesun na. Nimi etun dede yan ye zawangizhio) yeye-ya ekungizhi cinwan'a.
Surah 89:18   , Nor do ye encourage one another to feed the poor!-,Ye mae jin dozhi kwadaria eti yangici na yea la twarya ya talakazhi to eza gwagbagizhi na'a.
Surah 89:19  , And ye devour inheritance - all with greed,Ye ma'ajin yefe gi dukiya yan ekungizhi kendoe ga man fi ye nan.
Surah 89:20,   And ye love wealth with inordinate love!,Ye mae wa dukiya yizhe wa eko ndond wiwa yan baeni.
Surah 89:21   ,  Nay! When the earth is pounded to powder,Amaa'de Sokoe pa ye tukpa yan lokaci na kin nana agau -- ruku kpata na.
Surah 89:22 ,   And thy Lord cometh and His angels rank upon rank,Kanga mala'ikazhi ci gaa dzunzhin be foro Sokoe aciga' ta safu-safu.
Surah 89:23    ,    And Hell that Day is brought (face to face)- on that Day will man remember but how will that remembrance profit him,Ama gaa enan yan jahannama la' dzunzhin zaeni ndondo'a fe pa iri etun nazhi ulo yizheo nan ammaa pipa wuncin wun'ajin amfani fo gaa.
Surah 89:24  , He will say: "Ah! Would that I had sent forth (good deeds) for (this) my (Future) Life!",Zawangi cia fe gangan kaasa're ngan miga kpekpe gan aninga efo kiyama yio mia to tun guruzhi na mia de amfaniu yinnan nan.
Surah 89:25 ,   For that Day His Chastisement will be such as none (else) can inflict,Efo wuncin a'jin zawangi azaba iri na a laa jin alitta ndondo lea nan.
Surah 89:26 ,  And His bonds will be such as none (other) can bind.,Amaga zawangi pa fo gaa pipa iri naa laa pa alitta ndondo lea na.
Surah 89:27  ,(To the righteous soul will be said:) "O (thou) soul in (complete) rest and satisfaction!,Ya ye rayi yan muminizhi nazhi'a funin be (pipa) Sokoe nan.
Surah 89:28   , "Come back thou to thy Lord- well pleased (thyself) and well-pleasing unto Him!,Ekezhe dazhin eba Tsoci ye nae kpa ye na efe fa yangban be ni'ima Sokoe kendoe Soko otso'e fa yangban be etun yezhi'i. na
Surah 89:29 , "Enter thou then among My devotees!,Ebo acin'o a gandan taacin wuzhi Mi zhio.
Surah 89:30, "Yea enter thou My Heaven!,Wyo mao lao gan'o dan Aljanna Mi bo.
