"Accounting insolvency, n., Wósạnnà","Accrual, n., Gbwásági.",,
èdǔdạn.,"Accrual basis, n., Kînshì gbwásági.",,
"Accounting profit, n., Èlè èdǔdạn.","Accrual bond, n., Rǐgbà gbwásági.",,
"Accounting rate of return, n., Milò","Accrual method, n., Kpatuṇ",,
èzhǐn nyạ èdǔdạn.,gbwásági.,,
"Accounting ratio, n., Tòntòrí","Accrual of discount, n., Gbwásági",,
èdǔdạn.,nya wódíṇ.,,
"Accounting year, n., Eya èdǔdạn.","Accrue, v., Ságbwá.",,
"Account of sales, n., Èdǔdạn nya","Accrued expense, n., Wómán",,
nyạkúnzhi.,gbwásáci.,,
"Accounts payable, n., Èdǔdạnzhi","Accrued income, n., Wèzhǐṇ",,
yiyàwǒci.,gbwásáci.,,
"Accounts receivable, n., Èdǔdạnzhi","Accrued interest, n., Shiàshià",,
gbwàgòwǒci.,gbwásáci.,,
"Accounts receivable aging, n.,","Accrued market discount, n., Wódíṇ",,
Ekùku gbwàgòwǒci èdǔdạnzhi.,dzukó gbwásáci.,,
"Accounts receivable factoring, n.,","Acculturate, v., Gindidạn.",,
Gbàtàshi gbwàgòwǒci,"Acculturation, Didạngin.",,
èdǔdạnzhi.,"Accumulate, v., Dànyekan.",,
"Accounts receivable financing, n.,","Accumulated dividend, n., Gigáṇri",,
Gigewó gbwàgòwǒci,didànyekàṇci.,,
èdǔdạnzhi.,"Accumulated earning, n., Wógbe",,
"Accounts receivable turnover, n.,",didànyekàṇci.,,
Zhizhèkpe gbwàgòwǒci,"Accumulation, n., Didànyekàṇ.",,
èdǔdạnzhi.,"Accumulation period, n., Roro",,
"Accouter, v., Gunwifạn; Gun àwifạn.",didànyekàṇ.,,
"Accouterment, n., Àwifạn.","Accumulation unit, n., Nníkạn",,
"Accra, n., Akárá.",didànyekàṇ.,,
"Accredited land consultant, n.,","Accumulative, adj., Didànyekàṇgi.",,
Dạndàci kîn Jìbàgíci.,"Accumulator, n., Ndadànyekàṇgi;",,
"Accrete, v., Sábàn.",Ndadidànyekàṇgi.,,
"Accreted, adj., Bànsáci.","Accuracy, n., Èkíari.",,
"Accreted value, n., Kuṇkuṇdạn","Accuracy jumping, n., Jijamfùrù",,
bànsáci.,èkíari.,,
"Accretion, n., Bànsá; Ebànsá.","Accurate, adj., Kíanyí.",,
"Accretion disk, n., Fefe bànsá.","Accurately, adv., Kíankíanyí.",,
"Knock (on the head), v., Mukò.",,,
"Knock down, v., Gun; Gunya.",,,
"Knock-knee, n., Egbakan.",,,
"Knock-kneed person, n., Egbakanci.",,,
"Knoll, n., Kpekùn.",,,
"Knot, n.,Èkpìn.",,,
"Knot, v., Kpin.",,,
"Knot (square knot), n.,Kpankòrò.",,,
"Knotted, adj., Tsukutsukunyi.",,,
"Know, v., Kpe; Kpeye.",,,
"Know how, n., Dede.",,,
"Know how, have the, v., De dede.",,,
"Knowledge, n., Kpikpe.",,,
"Knowlegeable, adj., Kpikpedeci.",,,
"Knuckle, n., Egwa Kpankoro.",,,
"Kohl, n., Tanzali",,,
"Kola (bitter), n., Ewogici.",,,
"Kola nut, n., Ebì.",,,
"Kola nut (segmented), n., Afata.",,,
"Kola nut (water kola), n., Woba.",,,
"Koro (a tribe), n., Kórò.",,,
"Kow tow, v., Keya.",,,
"Kyadya (Nupe subtribe), n., Kyadya.",,,
,,"Landfill, n., Eba vovo.",
,,"Language, n., Edi.",
"Label, n., Yeci.",,,
,,"Lanky, adj., Gagara.",
"Labium, n., Esun.",,,
,,"Lantern, n., Fitilako.",
"Labour (childbirth), Êbó.",,,
,,"Lanthanide, n., Lesókàngi.",
"Labour (work), n., Amagia.",,,
,,"Lanthanum, n., Lesókàn.",
"Labour room, n., Egimaba.",,,
,,"Lap, n., Gboko.",
"Lack, adj., v., Gugwa.",,,
,,"Lard, n., Woro.",
"Lacking, n., Gwagu; Egwagu.",,,
,,"Large, adj., Wanciko.",
"Lack-luster, adj., Tsumunu.",,,
,,"Large (round), adj., Dambo.",
"Lace, v., Fide; Fi de.",,,
,,"Large intestine, n., Edzungi",
"Lack, v., Tǎṇ.",,,
,,wanciko.,
"Lad, n., Gbarufu.",,,
,,"Largess, n., Tawuga.",
"Ladder, n., Ekpa; Kalakpa.",,,
,,"Lariat, n., Kirigi",
"Lading, n., Dòkpo.",,,
,,"Larva, n., Didigun.",
"Ladle, n., Kantara.",,,
,,"Lash, n.,.Ṇásadìṇ",
"Ladle, v., Ko.",,,
,,"Lash, v., Dìṇása.",
"Lady, n., Nyiko.",,,
,,"Lasing, n., Fojiṇ.",
"Ladybird, n., Sokoyawogi.",,,
,,"Lasso, n., Kíri.",
"Ladybug, n., Woriwori.",,,
,,"Lascivious, adj., Bavun.",
"Lag, v., Kpan.",,,
,,"Last, n., Zunmago.",
"Lag, adj., Ganka.",,,
,,"Last, adj., Zunmagoci.",
"Laggard, n., Kúlú.",,,
,,"Last, be the, v., Gozunma.",
"Lagos, n., Ekó; Légòsì.",,,
,,"Last (last long), v., Màsa.",
"Lake, n., Gbidu.",,,
,,"Last, n., Kpạn.",
"Lamb, n., Kingbagba gigi.",,,
,,"Last (shoe), n., Cigban Kubuta.",
"Lameness, n., Dukùṇ.",,,
,,"Last born, n., Kpanmagi; Egi",
"Lamp, n., Fitila",,,
,,kpanmagi.,
"Lamp-stand, n., Egun fitila.",,,
,,"Late (dead), adj., Kuci.",
"Lamp-wick, n., Egban fitila.",,,
,,"Late (delayed), adv., Leka.",
"Lance, n., Pere.",,,
,,"Late hour, adj., Dusa.",
"Land, n., Kîṇ.",,,
,,"Lately, adv., Toshi.",
"Land (soil), n., Kpaki.",,,
,,"Lateral, adj., n., Kạnsuṇ.",
"Landlord, n., Ndǎpin.",,,
,,"Latex, n., Giye.",
"Landmass, n., Gutó.",,,
,,"Lather, n., Efuge.",
"Landowner, n., Ndǎlè.",,,
,,"Laud, v., Do.",
"Lane, n., Keremì.",,,
,101,,
"Laugh, v., Matsan.","Lean (against), v., Kpétsò.",,
"Laugh, cause to, v., Batsan.","Leap, v., Yifuru.",,
"Laughter, n., Etsaṇ; Etsaṇmáṇ.","Learn, v., Kpin.",,
"Launderer, n., Edefoci.","Learning, n., Kpinkpin.",,
"Laundry, n., Fota; Kaya fota.","Leash, n., Ebama.",,
"Lavish, adj., Gbialia.","Least, adj., Yiringi.",,
"Lavishly, adv., Bobogi.","Lest, conj., Akpeshia.",,
"Law, n., Èwâ.","Leather, n., Epà; Pànạ; Epà enạ.",,
"Lawful, adj., Wâkun.","Leather-worker, n., Kimpà.",,
"Lawgiver, n., Èwâyaci.","Leave, v., Fè.",,
"Lawyer, n., Èwâci.","Leave (command), v., Kpekpe.",,
