"Accounting insolvency, n., Wósạnnà","Accrual, n., Gbwásági."
"èdǔdạn.","Accrual basis, n., Kînshì gbwásági."
"Accounting profit, n., Èlè èdǔdạn.","Accrual bond, n., Rǐgbà gbwásági."
"Accounting rate of return, n., Milò","Accrual method, n., Kpatuṇ"
"èzhǐn nyạ èdǔdạn.","gbwásági."
"Accounting ratio, n., Tòntòrí","Accrual of discount, n., Gbwásági"
"èdǔdạn.","nya wódíṇ."
"Accounting year, n., Eya èdǔdạn.","Accrue, v., Ságbwá."
"Account of sales, n., Èdǔdạn nya","Accrued expense, n., Wómán"
"nyạkúnzhi.","gbwásáci."
"Accounts payable, n., Èdǔdạnzhi","Accrued income, n., Wèzhǐṇ"
"yiyàwǒci.","gbwásáci."
"Accounts receivable, n., Èdǔdạnzhi","Accrued interest, n., Shiàshià"
"gbwàgòwǒci.","gbwásáci."
"Accounts receivable aging, n.,","Accrued market discount, n., Wódíṇ"
"Ekùku gbwàgòwǒci èdǔdạnzhi.","dzukó gbwásáci."
"Accounts receivable factoring, n.,","Acculturate, v., Gindidạn."
"Gbàtàshi gbwàgòwǒci","Acculturation, Didạngin."
"èdǔdạnzhi.","Accumulate, v., Dànyekan."
"Accounts receivable financing, n.,","Accumulated dividend, n., Gigáṇri"
"Gigewó gbwàgòwǒci","didànyekàṇci."
"èdǔdạnzhi.","Accumulated earning, n., Wógbe"
"Accounts receivable turnover, n.,","didànyekàṇci."
"Zhizhèkpe gbwàgòwǒci","Accumulation, n., Didànyekàṇ."
"èdǔdạnzhi.","Accumulation period, n., Roro"
"Accouter, v., Gunwifạn; Gun àwifạn.","didànyekàṇ."
"Accouterment, n., Àwifạn.","Accumulation unit, n., Nníkạn"
"Accra, n., Akárá.","didànyekàṇ."
"Accredited land consultant, n.,","Accumulative, adj., Didànyekàṇgi."
"Dạndàci kîn Jìbàgíci.","Accumulator, n., Ndadànyekàṇgi;"
"Accrete, v., Sábàn.","Ndadidànyekàṇgi."
"Accreted, adj., Bànsáci.","Accuracy, n., Èkíari."
"Accreted value, n., Kuṇkuṇdạn","Accuracy jumping, n., Jijamfùrù"
"bànsáci.","èkíari."
"Accretion, n., Bànsá; Ebànsá.","Accurate, adj., Kíanyí."
"Accretion disk, n., Fefe bànsá.","Accurately, adv., Kíankíanyí."
