"Knock (on the head), v., Mukò."
"Knock down, v., Gun; Gunya."
"Knock-knee, n., Egbakan."
"Knock-kneed person, n., Egbakanci."
"Knoll, n., Kpekùn."
"Knot, n.,Èkpìn."
"Knot, v., Kpin."
"Knot (square knot), n.,Kpankòrò."
"Knotted, adj., Tsukutsukunyi."
"Know, v., Kpe; Kpeye."
"Know how, n., Dede."
"Know how, have the, v., De dede."
"Knowledge, n., Kpikpe."
"Knowlegeable, adj., Kpikpedeci."
"Knuckle, n., Egwa Kpankoro."
"Kohl, n., Tanzali"
"Kola (bitter), n., Ewogici."
"Kola nut, n., Ebì."
"Kola nut (segmented), n., Afata."
"Kola nut (water kola), n., Woba."
"Koro (a tribe), n., Kórò."
"Kow tow, v., Keya."
"Kyadya (Nupe subtribe), n., Kyadya."
