"Laugh, v., Matsan.","Lean (against), v., Kpétsò."
"Laugh, cause to, v., Batsan.","Leap, v., Yifuru."
"Laughter, n., Etsaṇ; Etsaṇmáṇ.","Learn, v., Kpin."
"Launderer, n., Edefoci.","Learning, n., Kpinkpin."
"Laundry, n., Fota; Kaya fota.","Leash, n., Ebama."
"Lavish, adj., Gbialia.","Least, adj., Yiringi."
"Lavishly, adv., Bobogi.","Lest, conj., Akpeshia."
"Law, n., Èwâ.","Leather, n., Epà; Pànạ; Epà enạ."
"Lawful, adj., Wâkun.","Leather-worker, n., Kimpà."
"Lawgiver, n., Èwâyaci.","Leave, v., Fè."
"Lawyer, n., Èwâci.","Leave (command), v., Kpekpe."
"Lawn, n., Kpèsa.","Leave alone, v., Kégǎṇ."
"Lay, v., La cici.","Leave off, v., Ya."
"Lay about, n., Langbafati.","Leave moorings, v., Wadan."
"Lay egg, v., Wa zhi.","Leech, n., Tuturu."
"Layer, n., Kókpegi.","Leech-tub, n., Gbòdo."
"Layering, n., Kukókpe.","Leek, n., Lowokpa."
"Layman, n., Zàṇà.","Leery, adj.,Santi"
"Laxative, n., Cigbe forofo.","Lees, n., Rìrǐ."
"Lazybones, n., Eza gbwarwa.","Left, adj., n., Gwapin."
"Lazy person, n., Komara.","Leftover, n., Jekun."
"Lea, n., Kato.","Leg, n., Bici."
"Leach, v., Pa.","Legion, n., Kamako."
"Leach, n., Dodo.","Leisurely, adv., Gadagbo."
"Leach, n., Sásáṇto.","Lemon, n., Lèmǔkuṇ."
"Leach pot, n., Gbodo.","Lemon grass, n., Etó lèmǔ."
"Lead, n., Èvǎ.","Lend, v., Jin Aro."
"Lead (rope), n., Ègbiaṇ.","Lending, n., Arojin."
"Lead, v., Shìdzò.","Length (height), n., Kpama."
"Leader, n., Edzòshìci.","Length (measure), n., Kpere."
"Lead singer, n., Madiwu.","Lengthy, adj., Màkpa."
"Leaf, n., Fiṇni.","Legislation, n., Èlògá."
"Leaf (maize), n., Fere.","Lens, n., Lówòci."
"Leaf (paper), n., Kpege.","Lentil, n., Sungbárági."
"Leak, v., Lù.","Leopard, n., Ṇàmpà."
"Lean (emaciate), v., adj., Wa.","Leper, n., Sokogunci."
