"Likeness, n., Sisàṇtátuṇ.","Litter, n.,Nyasan"
"Liking, n., Bǒyé; Ebóyé.","Little, n., Tetengi"
"Lily, n., Yàbàgi.","Little finger, n., Egwakatigi."
"Lily (red), n., Tàsàbi yàbàgi.","Live, v., Yéyé."
"Lily (White), n., Dinkoro.","Live charcoal, n., Ena cikara."
"Lima bean, n., Gbambara.","Liver, n., Eye."
"Limb, n., Gába.","Livestock, n., Nankpa."
"Lime, n., Lèmǔgá.","Living, n., Nagici; Enagici."
"Limestone, n., Bulia.","Living thing, n., Nyanagi; Enya"
"Limit, n., Nugun.","enagi."
"Limit, v., Kpan Nugun.","Lizard, n., Nyakuṇ; Nyạkuṇgbárá."
"Limp, v., Da dukun.","Load, n., Kàrà."
"Limp, n., Dukunda.","Load (Arrange), v., Tá Kàrà."
"Limper, n., Dukundaci.","Load (Upload), v., Dinkara."
"Limpet, n., Kolú.","Loafer, n., Fàngbalú."
"Limping, n., Dukunda.","Loam, n., Ledu."
"Line, n., Esùṇ.","Loan, v., La aro."
"Lineage, n.,Tanmi; Etanmi","Loan, n., Aro."
"Linen, n., Ceyigi.","Loathe, v., Cáfià"
"Lineup, n., Ekpa.","Loather, n., Efiàcáci."
"Linger, v., Tuntilo.","Loathing, n., Efiàcá."
"Lingual, adj., Kadi.","Lobby, n., Katamba."
"Lintel, n., Cigwazun; Cigban","Lobster, n., Kapin."
"gwazun.","Locality, n., Naruba."
"Lion, n., Gábá.","Locate, v., Nyako."
"Lip, n., Gbemi.","Location, n., Konya."
"Liquid, n., Ròro.","Lock, v., Fidạn."
"Liquid, adj., Ròrogi.","Lock, n., Fifidạn."
"List, v., Bàyé; Bà eyé.","Lock (hair), n., Nyìkáṇ; Enyì èkáṇ."
"List, n., Yèbà.","Locust, n., Ebò; Bòrò."
"Listen, v.. Shitukpa.","Locust bean, n., Elo kosun."
"Listening, n., Tukpashi.","Locust bean tree, n., Lonci."
"Lit, v., Ke; Kena.","Locust bean fruit, n., Elo."
"Lit, n., Nake.","Locust bean fruit (unripe), n.,"
"Lithe, adj.,Dzwagwa","Nyangudu."
"Lithely, adv., Dzwagwagi.","Locust bean pulp, n., Elé."
