"Luggage, n., Pokun."
"Lull, v., Vo."
"Lukewarm, adj., Wàgiwàgǐ."
"Lump, adj., n., Kporo."
"Lump (gruel), n., Gbwàlwàgi."
"Lunch, n., Yidu."
"Lunch, v., Gi yidu."
"Lung, n., Yefuka; Eye fuka."
"Lungfish, n., Edan; Edangi."
"Lure, v., Nyamu."
"Lure, n., Munya; Emunya."
"Lust, n., Vunba."
"Lust, v., Bavùṇ."
"Lustrous, adj., Daragi."
"Lute (hunter’s), n., Dùngùrù."
"Lye, n., Gbodo."
"Lye (for dye pit), n., Zanta."
"Lye (wood), n., Swaka."
"Lymph node, n., Kutagi."
"Lymph node (swelling), n., Kodagi."
"Lynx, n., Gaba dzurugi."
