"Match, n., Mima.","Measured, adv., Miṃàci."
"Matchless, adj., Tu.","Measurement, n., Èmàṇ."
"Mate, n., Yézùṇ.","Measuring, n., Miṃà."
"Mate, v., Tú.","Meat, n., Nạkàṇ."
"Material, n., Kpánkpán.","Meat (cooked), n., Eni."
"Materialize, v., Jin kpánkpán.","Meat (edible), n., Elu."
"Materialism, n., Kpánkpáncijin.","Meat (flesh), n., Èduṇ; Dunu."
"Materialistic, adj.,Kpánkpánci.","Meat (raw), n., Edìṇ."
"Matron of honour, n., Yàwǒ sàci.","Meat (white meat), n., Nyavun."
"Matter, n., Ekpà.","Mecca, n., Mákàṇ."
"Mattress, n., Katifa.","Mechanic, n., Kpantugici."
"Mature (puberty), v., Gbáṇ.","Mechanical, adj., Kpantutugi."
"Mature (fruit, ripe), adj., v., Ko.","Mechanize, v., Tu kpantugi."
"Maturity (puberty), n., Gbáṇgbǎṇ.","Mechanism, v., Èkparò."
"Maturity (ripeness), n., Kuko.","Medal, n., Kpàndzànà; Nyạnkpa"
"Maul, n., Etsupata; Etsu tipatagi","dzànà."
"Maximum, adj.,Kuye","Meddle, v., Cemidan."
"May, mv., Ko.","Mediate, v., Liṇà."
"Maybe, adv., Bando.","Mediator, n., Lǐṇà."
"Mayor, n., Zhìtsu.","Medical, adj., Gunka."
"Me, n., Mi; Èmi.","Medicine, n., Egùṇ. Cf: Herb ="
"Meager, adj.,Gobogodan.","Cigbe."
"Meal, n., Jeko.","Medicine man, n., Egùṇjinci."
"Mean (stingy), adj., Kpǎkpǎ.","Medina, n., Madina."
"Meander, v., Labà.","Meditate, v, Shidan."
"Mean person, n., Egwabaci.","Meditation, n., Edanshi."
"Meaning, n., Mana.","Meek, adj., Gbàmi."
"Meanwhile, adv., Kanga gancin.","Meekness, n., Emigbà."
"Measles, n., Fulu.","Meet (run into), v., Gun."
"Measles (informal), n., Dusagi.","Meet (find), v., Tsun."
"Measure, n., Èṃà.","Meet (come across), v., Kefi."
"Measure, v., Ṃà.","Meet, v., Kebá."
"Measure (foodstuff), v., Dá.","Meeting, n., Bǎke; Ebáke."
"Measure (clothing), v., Dà.","Meeting (gathering), n., Ekanye."
"Measure (weighing machine), n.,","Mellow, adv., Bibi."
"Mànya.","Melody, n., Ètò."
