"Moisten, v., Da.","Morn, n., Asuba."
"Mohair, n., Ranta.","Morning, n., Lazhin."
"Moisture, n., Yètò.","Morning glory, n., Edzògi."
"Molar, n., Kokoroko.","Morning glory (swamp), n., Daman."
"Mold, v., Mi.","Morning glory vine, n., Lakankpo."
"Mole, n., Eshiáṇkó.","Moron, n., Tatanawungi."
"Moment, n., Kákùn.","Morphology, n., Kpikpemiyé."
"Momentarily, adv., Kákùnyi.","Morrow, n., Yeli."
"Momentous, adj., Kpiàṇkùṇ.","Morrow, v., Liye."
"Mommy, n., Mámá.","Morsel, n., Loma"
"Mona (monkey), n., Dǎkò.","Mortar, n., Donci."
"Monarch, n., Kuti.","Mortar (cannon), n., Bindigako."
"Monday, n., Fonbà; Efo bàci.","Mortar (cement), n., Longoro."
"Money, n., Ewó.","Mosque, n., Salaba; Saraba."
"Money (coin), n., Akpa.","Mosquito, n., Emagi."
"Moneybag, n., Gurawo.","Mosquito net, n., Èdě magi."
"Mongoose, n., Nyakan; Nyankangi.","Moss, n., Ègiṇ."
"Mongrel, n., Gikatamba; Egi","Most, adj., Dokundo."
"katamba.","Motel, n., Ecindan."
"Monitor, v., Danye.","Mother, n., Ǹmá."
"Monitor lizard, n., Ebo.","Mother-in-law, n., Bayiwo."
"Monkey, n., Ebe.","Motherless child, n., Céyagi."
"Monkey (black), n., Dako.","Motion, n., Tiántiá."
"Monkey (small), n., Kánạ.","Motion, vt., Tiá."
"Monster, n., Wáká.","Motive, n., Tiárí."
"Month, n., Etswafo; Etswa efo.","Motor, n., Tiági; Tiántiági."
"Monument, n., Kutiba.","Motorcycle, n., Kurugbàtiági."
"Mood, n., Bugba.","Motorcycle (informal), n., Pupugi."
"Moon, n., Etswa.","Mould, v., Mi."
"Moon, v., Ce.","Mouldy, adj., v., Rufugi."
"Moonlight, n., Efiá.","Mould, n., Rufu."
"Mooring-pole, n., Enyangudu.","Moult, v., Sannyi."
"Mop, n., Mamaka.","Mound, n., Dankun"
"Morass, n., Gbodonji.","Mountain, n., Pati."
"More, adj., Jesun.","Mountain beaver, n.,Gbaragi"
"Moreover, prep., Be acinga e be.","Mount Sinai, n., Pátí Siṇa."
