"Mouse, n., Kòshiangi.","Mumbling, n., Kanajikanaji; kanaji."
"Mouse (field), n., Ndǎkó dagbagi.","Mumps, n., Gboringbori."
"Mouse (striped, field), n., Gbárági.","Municipality, n., Zhigwala;"
"Moustache, n., Gbenyi.","Ezhigwala."
"Mouth, n., Misun; Emi.","Murder, n., Kpònu."
"Mouth (biology), n., Egbê.","Murder, v., Wu kpònu."
"Mouth organ, n., Binakun.","Murderer, n., Kpònugi."
"Move (general term), v., Kiá.","Murky, adj.,Tsuna"
"Move (biological), v., Ma.","Muscle, n., Nyavun."
"Movement, n., Èkiá.","Muse, v., Lolo."
"Movie, n., Kiánkiági.","Mushroom, n., Munu."
"Mow, v., Gbě.","Mushroom (edible), n., Baci."
"Mown, v., Gbě","Mushily, adv., Nyamanyamanyi."
"Mr., n., Àmà.","Mushy, adj., Dubú."
"Mrs., n., Àmá.","Music, n., Ètò."
"Much, adj., adv., Kùngba.","Musician, n., Torokoci."
"Mucky, adj., Shiakia.","Musk, n., Zúda."
"Mucus, n., Ecin.","Musket, n., Agba."
"Mucus (dried), n., Ecin kankanigi.","Musketeer, n., Agbaci."
"Mucus (running), n., Ecin worogi.","Muskrat, n., Eshinuwan; Eshigi"
"Mud, n., Edò.","nuwan."
"Muddle, v., Ta yeteyete.","Muslim, n., Mùsùlìmi."
"Muddle, n., Yeteyete.","Muslin, n., Sata."
"Mudy, adj., Ciankian.","Mussel, n., Àkàngu."
"Mud house, n., Kodondo.","Mussy, adj., Taratara."
"Mudu (Cereal Measure), n., Gwayì.","Must, aux, Tile."
"Muezzin, n., Ladan.","Muster, v., Dankun."
"Mug, n., Lema.","Muster, n., Kundan; Ekundan."
"Mug (fool), n., Nyazhé.","Mutant, n., Kpambasogi"
"Muggy, adj., Tsaman.","Mute, adj., Sagi."
"Mule, n., Dzǎka.","Muted, adj., Sagisagi."
"Muller, n., Gintun.","Mutiny, v., Jin tawaye."
"Multiply, v., Bekpan.","Mutiny, n., Tawaye."
"Multitude, n., Eji.","Mutual, adj., Kunsun."
"Mum, adj., Wanfugi.","Muzzle, n., Gunmika."
"Mumble, v., Ta kanaji.","-mycete, n., Kuru-"
