"Profanity, n., Toke; Tokóke.","Proprietor, n., Botso."
"Professional, n.,","Proscribe, v., Kanyi; Ka nyi."
"Profile, n., Furusàngi.","Prose, n., Kagada; Ka gada."
"Profile, v., Sànfuru; Sàn furu.","Prosper, v., Jin kpara."
"Profit, n., Èlè.","Prosperity, n., Kpára."
"Profit, v., Gilè.","Prosperous, adj., Jin kpára."
"Profligate, adj., Nusha.","Prostrate, v., Dákpià."
"Profound, adj., Lolo.","Prostrate (thank), v., Dájiṇ."
"Profundity, n., Lolo.","Prostitute, n., Bamvogi."
"Profuse, adj., Dangusalia.","Protease, n., Dzòngikòci."
"Profusely, adv., Gbialianyi.","Protect, v., Tswa."
"Progenitor, n., Kaṃá.","Protection, n., Tsutswa."
"Progress, n., Eyelo.","Protection (divine), n., Kiwo."
"Proliferate, v., Kpangbara.","Protein, n., Dzòngi."
"Prolong, v., Gban.","Protest, v., Gimikpaka."
"Prominence, n., Kúkúngi.","Protest, n., Mikpakagi."
"Prominent, adj., Jin kúkún.","Protracted, adj., Kogba."
"Prominent, vt., Kúkún.","Protuberance, n., Rondogi."
"Promise, v., Zhìgbê.","Protuberant, adj.,Rondonyi"
"Promise, n., Gbêzhì.","Protuberantly, adv., Rondorondonyi."
"Prompt, v., Konyi.","Provision, n., Mugungi."
"Promptly, adv., Konkonyi.","Proud, adj., v., Wogi."
"Promulgate, v., Kpégàṇmi.","Proverb, n., Gàṇmǎṇgáṇ."
"Promulgation, n., Gàṇmikpé.","Provocation, n., Sunkana."
"Prone (tendency), adv., Bambó.","Provoke, v., Jin sunkana."
"Prone (spreadeagle), adj., Kpe para.","Prudent, adj., Keso."
"Prong, n., Laci.","Pruner, n., Ele."
"Proof, n., Wujia; Wuja.","Pruning hook, n., Ègbàṇ."
"Prop, n., Dogba.","Pruning stick, n., Elè."
"Propaganda, n., Sákpálákàn.","Pry, v., Tudan"
"Propagate, v., Sákpálá.","Prying, n., Edantu."
"Property, n., Dandan.","Psalm, n., Zàbura."
"Prophecy, n., Gigàṇshishì","Pubertal, adj., Balaga."
"Prophesy, v., Gàṇshishì.","Puberty, n., Baligi."
"Prophesy, v., Ganshishi.","Puberty, reach, v., Jin baligi."
"Prophet, n., Anabi.","Pubes, n., Yita."
