"Residue, n., Shaka.","Retort, v., Zheganpan."
"Resin, n., Cìṇbuṇnú.","Retort, n., Eganpanzhe."
"Resident, n., Egba.","Retreat, v., Jezhe."
"Resolve (conclude), v., Wagwa.","Retreat, n., Zheje."
"Resolvent, n., Ashiamu.","Retrieve, v., Shìṇ."
"Resort, n., Efaba.","Return, v., Zhíṇ."
"Respect, v., Ya cinwon.","Return, n., Ezhǐṇ."
"Respect, n., Cinwonya.","Returning, n., Zhínzhín."
"Respite, n., Kafa.","Returns, n., Ezhǐnzhí."
"Respond, v., Yé.","Reveal, v., Túlǎ."
"Responsibility, n., Èfècě.","Revelation, n., Èlǎtú."
"Responsible, adj., Cěfè.","Revenge, v., Jinga"
"Responsibly, adv., Cěfè.","Revenge, n., Jinjinga."
"Rest, v., Fá.","Revenue, n., Wofito; Ewo fito."
"Rest, n., Èfá.","Revenue collector, n., Fitogoci."
"Rest (on), v., Kpetso.","Revenuer, n., Fitoci."
"Rest (remainder), pron., Na ke na.","Revere, v., Jiba."
"Restaurant, n., Nakandanba.","Reverence, n., Ebaji."
"Restore, v., Zhini.","Reverse, v., Zhebòdì."
"Restive, adj., Garagara.","Reverse, n., Bòdìzhe."
"Restrain, v., Kangwa.","Review, v., Jin tushi."
"Restrain, v., Dan kangi.","Review, n., Takara."
"Restraint, n., Kangi.","Revile, v., Gitoba."
"Result, n., Èṇyà.","Revilement, n., Tobagi."
"Resurge, v., Gònạre","Revise, v., Tushi."
"Resurgence, n., Nạregò.","Revolt, v., Sa kangara."
"Resurrect, v., Nạkiṇsun.","Revolt, n., Kangara."
"Resurrection, n., Ekiṇnạsun.","Revolution, n., Kangarako."
"Retainer, n., Bara.","Revolve, v., Danyi."
"Retaliate, v., Danlo.","Revolver, n., Eyidanci."
"Retarded, adj., Da.","Revolver (gun), n., Danyidanyigi."
"Retch, v., Yi kpwarwa.","Revolving fund, n., Dashi; Adashi."
"Reticent, adj., Sonyạgbàṇ.","Reward, n., Èrèta."
"Retina, n., Sayé; Esayé; Esa eyé.","Reward, v., Tarè."
"Retinal, n., Sayéci.","Rheumatic fever, n., Egun kansanagi"
"Retire, v., Cinfa.","Rheumatism, n., Wulegi."
