"Rhythm, n., Naje.","Rigorousness, n., Tantana."
"Rhythmic, adj., Najegi.","Rim, n., Kangba."
"Riata, n., Karifazuru.","Rind, v., Lia"
"Rib, n., Bangi.","Ring, n., Ruka."
"Ribbon, n., Ekpa; Ekpagi; Èdě kpagi.","Ring (sound), v., Sáṇ."
"Rib cage, n., Kpada.","Ring (bell), v., Zhe."
"Rice, n., Zhìkaba.","Ring (give a bell), v., Cefin."
"Rice (a cultivar), n., Mamudugi.","Ringleader, n., Tswana."
"Rice (a cultivar), n., Edzògi.","Ringworm, n., Èká."
"Rice (a cultivar), n., Edzòkó.","Ringworm plant, n., Gungoroko."
"Rice (a cultivar), n., Zhiànto.","Rinse, v., Dzáṇ."
"Rich, adj., Dewo.","Rinse (mouth), v., Tsumi."
"Riches, n., Wode.","Riot, n., Ewunko."
"Rich person, n., Wodeci; Ewodeci.","Riot police, n.,Gbadzagi;"
"Rick, v., Bandogo; Ban dogo.","Gbadzankawungi;"
"Rick, n., Gbema.","Gbadzankawun."
"Rick (sprain), v., Bà.","Rip, v., Lè."
"Ride, v., Tu.","Ripe, v., adj., Kó."
"Ridge (farm), n., Ewo.","Ripeness, n., Èkó."
"Ridgepole, n., Kòka.","Rippen, v., Do."
"Ridicule, v., Lami.","Ripple, n.,Wogba; Ewogba."
"Ridicule, n., Emila.","Ripple, v., Dogba."
"Riddle (sieve), n., Cǐsàn.","Rise, v., Nạshè."
"Rife, adj., Berekete; Barikate.","Risk, take, v., Takpatsun;"
"Rifle, n., Àkpárà.","Takpatsuncici."
"Right (not left), adj., n., Gwalò.","Risk, n., Kpatsunta."
"Right (not wrong), adj., v., Mábó.","Rival, n., Tsudo."
"Right (human rights, etc.), n., Ebó.","River, n., Èlà."
"Right away, adv., Vianyi.","Riverine, adj., Làgi."
"Righteous person, n., Eza gaskiya.","River Niger, n., Ndaduma; Edu."
"Righteousness, n., Gaskiyajin.","Riverside, n., Danpà."
"Rightful, n., Alali.","Rivet, n., Yeka."
"Right hand, n., Egwa gwalo.","Rivulet, n., Diyé."
"Right now, adv., Gbaniana.","Roach, n., Eyigi"
"Rigid, adj., Tsaku.","Road, n., Ekpa."
"Rigorous, adj.,.","Roadblock, n., Ekpazun; Ekpazuntu."
