"Acriflavine, n., Yaràntsàró.","Actinomycin, n., Kuruginạyèrè."
"Acrimonious, adj., Bibátsàri.","Actinomycosis, n., Kurutánnạyèrè."
"Acrimony, n., Bátsàri.","Actinopterygian, n.,"
"Acrivastine, n., Mitsàróga.","Gwankạnnạyèrè."
"Acro-, prefix, -kpáká.","Actinouranium, n., Kófìṇginạyèrè."
"Acrobat, n., Kìtìtsàci.","Action, n., Jiṇjiṇgàn."
"Acrobatics, n., Kìtìtsà.","Action figure, n., Yétsa jiṇjiṇgàn."
"Acrocentric, adj., Tàcìṇkpáká.","Action game, n., Kìtǐdzǒ jiṇjiṇgàn."
"Acrocephaly, n., Etíkpáká.","Action group, n., Nàmi jiṇjiṇgàn."
"Acrodont, n., Nyíkànkpáká.","Action item, n., Nyạkàn jiṇjiṇgàn."
"Acrodynia, n., Etáṇkpáká.","Action man, n., Ndǎ jiṇjiṇgàn."
"Acrolect, n., Edǐkpáká.","Action movie, n., Kiánkiági"
"Acrolein, n., Mitsàroó.","jiṇjiṇgàn."
"Acrolith, n., Tákùnkpáká.","Action officer, n., Zàtuṇbà jiṇjiṇgàn."
"Acrocyanosis, n., Dòfakákpáká.","Action-packed, adj., jiṇjiṇgàn"
"Across, adv., Dankpan; Dankpan","èkpopaci."
"dozhi o.","Action painting, n., Karo jiṇjiṇgàn."
"Acrylic, n., adj., Mitsàrógi.","Action potential, n., Kpówǒgi"
"Acrylic acid, n., Tsàrìgi mitsàrógi.","jiṇjiṇgàn."
"Acrylic resin, n., Cìṇbuṇnú","Action replay, n., Edzǒmàbe"
"mitsàrógi.","jiṇjiṇgàn."
"Act, v., Jiṇgàn.","Action spectrum, n., Bósàṇ"
"Act, n., Egànjiṇ.","jiṇjiṇgàn."
"Actaeon, n., Akitényiṇ.","Action stations, n., Kiṇnigíbàzhì"
"Actin, n., Jiṇgiṇ.","jiṇjiṇgàn."
"Actin-,prefix, - Jiṇgiṇ.","Action to quiet title, n., jiṇjiṇgàn nạ"
"Actinal, adj., Nạyèrènạ.","a ga koti tici na."
"Acting (temporary), adj., Gòsuṇgwa.","Actionable, adj., Jiṇjiṇgànwǒ."
"Actinian, n., Shinạyèrè.","Actioner, n., Jiṇjiṇgànci."
"Actinic, adj., Nạyèrèkàn.","Activate, v., Nạjiṇgàn."
"Actinide, n., Lesónạyèrè.","Active, adj., Bá."
"Actino-,prefix, -nạyèrèmi.","Activeness, n., Bibá."
"Actinolite, n., Tákùnnạyèrè.","Activity, n., Bibákàn."
"Actinometre, n., Dǎmuginạyèrè.","Act of contrition, n., Egànjiṇ nyá"
"Actinomorphic, n., Miyénạyèrè.","nînzùṇ."
"Actinomycete, n., Kurunạyèrè.","Act of faith, n., Egànjiṇ nyá yiyakpe."
