"Roadside, n., Ekpamisun.","Rot (fruit), v., Bo."
"Roar, v., Kpinye.","Rot (wood), v., Giko."
"Roast, v., Po.","Rot, n., Èkó; Kódo."
"Rob, v., Dágará.","Rotate, v., Zhina."
"Robbery, n., Garádá.","Rotten, adj., Vo."
"Robber, n., Garádáci.","Rotund, adj., Gbianyi."
"Robust, adj., Pimpinyi.","Rough (surface), n., Kari."
"Roc, n., Luko.","Rough, adj., Gbórogbòro."
"Rock, n., Tákùṇkó.","Rough-and-tumble, n.,"
"Rock (dance), v., Tsaṇ nyà.","Dzombodzombo."
"Rock and roll, n., Tsaṇyà pinyà.","Round (circular), adj., Kala."
"Rock salt, n., Esankpaku.","Round (sphere), adj., Rubu."
"Rod, n., Kwǎkwǎgúṇ.","Round (fat), adj., Dannyi."
"Rodent, n., Kugbere.","Routine, n., Ekagi."
"Rodomontade, v., Shemi.","Row (line), n., Elo."
"Rodomontade, n., Emishe.","Row (quarrel), n., Kotoma."
"Roll, v., Piṇ.","Row (quarrel), v., Ma koto."
"Roll, n., Èpiṇ.","Rowboat, n., Eya parongi."
"Roly-poly, adj., Bankoyi.","Royalty, n., Lǒwàṇ."
"Roof, n., Patanti.","Rub (apply), v., Tan."
"Roof, v., Zun; Zunba.","Rub (softly), v., Zun."
"Roofing, n., Ebazun.","Rub (actively), v., Gbo."
"Rooftop, n., Katangbeti.","Rubber, n., Ètegi."
"Room, n., Kata.","Rubber tree, n., Cigbàṇ ete."
"Rooster, n., Bishebako.","Rubbish, n., Gbǎtì."
"Root, n., Gbèrè.","Rubbish(filth), n., Enya."
"Root (origin), n., Asali.","Rubbish, v., Jin enya."
"Rope, n., Egban.","Rubicund, adj., Bébé."
"Rope maker, n., Egbanpinci.","Ruby, n., Tangangi; Tangantangangi."
"Rosary beads, n., Tasabi.","Ruffled, adj., Wulawula."
"Rose, n., Kodzûn; Korodzûndzûn.","Rug, n., Pocè."
"Rose imperial, n., Gombara bagi.","Rugged, adj., Dzaga."
"Roselle, n., Emagi.","Ruggedness, n., Dzagadzaga."
"Rosewood, n., Zanci.","Ruin, v., Nyinye."
"Rot, v., Kó.","Ruin, n., Yenyi."
"Rot (cloth), v., Mu.","Ruin (building), n., Gusa."
