"Scissors, n., Makashi; Sizosi.","Scripture, n.,Litafi"
"Scoff, v., Kpègè.","Scrotum, n., Tsugbadun."
"Scoff, n., Ègè.","Scrubland, n., Pǔlú."
"Scold, v., Nawun.","Scruffy, adj., Kpalà."
"Scolding, n., Ewunna.","Scum, n., Kodo."
"Scoop, n., Kpantoro.","Scurvy, n., Gbesan."
"Scope, n., Làgǎṇ.","Scythe, n., Goke; Ego ke."
"Scorch, v., Vunna.","Sea, n., Èlà."
"Scorching, adj., Sudanyi.","Seal, v., Tè."
"Scorchingly, adv.,Sudasudanyi","Seal (stamp), n., Tèguṇ; Ètè eguṇ."
"Score (twenty), n., Eshi.","Seal (ocean mammal), n., Shìdùsạn;"
"Score (notch), n., Ègwà.","Eshì edùsạn."
"Scorn, v., Lafi.","Seaman, n., Ndǎdù; Ndǎ edù."
"Scorn, n., Efila.","Search, v., Waza."
"Scorpion, n., Kínkèrè.","Searing, adj., Gaganyi."
"Scorpion (sand scorpion), n., Napísí.","Seasoning, n., Ninyạ."
"Scoundrel, n., Zebi.","Seat, n., Cetsùṇ."
"Scour (search), v., Kpinba za.","Seat (in a canoe), n., Èko."
"Scout, v., Màtswá.","Second, adj., Bàci."
"Scout, n., Tswàmà.","Secondary, adj., Bàcikun."
"Scouting, n., Tsutswàmà.","Second nature, n., Gborogbozhin."
"Scowl, v.,Beyeba.","Seconds (food), n., Yegi katsan."
"Scowl, n., Yebe; Eyebe.","Secours, n., Sanban."
"Scrabble, v., Gigwa.","Secret, n., Efiá."
"Scraggy, adj., Kazhianyi.","Secret, adj., Fiá."
"Scramble, v., Gigwako.","Secretly, adv., Fiányi."
"Scramble (for), v., Díṇ.","Secretary, n., Egwakóba."
"Scrap, n., Kùtùgi.","Secretary, n., Egitunba."
"Scrape, v., Wa.","Sect, n., Wurùmi."
"Scratch, v., Wa; Wa vundunnu.","Section, n., Swagi; Eswagi."
"Scratch (itching), v., Le.","Sedge, n., Ceyi."
"Scream, v., Tiwu.","Sedge (for perfume), n., Efákó."
"Screech, v., Sawu.","Sediment, n., Gbwàdwà."
"Screw, n., Kàṇtsa.","See, v., Leye."
"Screw, v., Pa kàṇtsa.","Seed, n., Edzò."
"Script, n., Rubutu.","Seedling, n., Gbegbe."
