"Seeing, n., Yele.","Sepulcher, n., Ruwo."
"Seek, v., Tìṇ.","Serf, n., Fenú."
"Seem, adv., adj., Ke.","Serious, adj., Luye; Lu eye."
"Seer, n., Ebaboci.","Seriousness, n., Yelu; Eyelu."
"See you later! Interj., Wun a zhe","Serpent, n., Duwa."
"kandoci!","Serpentwood, n., Lialiagi."
"Segment, n., Bisa.","Serum, n., Ègbàṇ."
"Seism, n., Kishe; Kinshekpe.","Serval, n., Èmàṇgi."
"Seize, v., Bò; Bòlò.","Servant, n., Zàwun."
"Seizure, n., Bibò.","Serval, n., Emagi."
"Select, v., Tsà.","Serve (work for), v., Wun."
"Selection, n., Tsitsà.","Serve (food), v., Fi."
"Self, n., Eyê.","Service, n., Wunwun."
"Self-effacing, adj.,Soye.","Service (religious), n., Ibada"
"Self-important, adj., Tu kunti.","Sesame, n., Eso."
"Self-importance, n., Tinkun.","Set, n., Eda."
"Self-important, adj., Kunti.","Set aside, v., Wa ka."
"Selfish, adj., Wòye.","Set down, v., La shishi."
"Selfishness, n., Yèwo.","Set free, v., Jin ceto."
"Sell, v., Kun.","Set on fire, v., Dan na."
"Seller, n., Nyakunci.","Settle (camp), v., Wando"
"Selvage, n., Tukpati.","Settle (sediment), v., Shi."
"Semen, n., Yence.","Settle (conclude), v.,Ekpankpe"
"Semisolid, adj., Dàbò.","Settlement (camp), n., Edo; Edowan."
"Send, v., Tun; Tuntun.","Settlings, n., Tiatia."
"Senescence, n.,Datidzo","Setup, n., Gbúlú."
"Senile, adj., Jin nusako; Nusako.","Seven, n., Gutwaba."
"Senior, n., Nugùṇci.","Seventh, adj., Twabaci."
"Senna, n., Filasiko.","Seventy, n., Adwani."
"Senna (tea), n., Gabaruwan kasa.","Sever, v., Te; Dzá."
"Sense, n., Egbáṇ; Gbáṇro.","Severe, adj., Tsanan."
"Senseless, adj., Ṇámù.","Severity, n., Natsan; Enatsan."
"Sensible, adj., v., Gbáṇ.","Sew, v., Kin."
"Separate, adj., Kanyi.","Sew (stitch), v., Gun."
"Separate, v., Gan.","Sex, v., Ciṇ."
"Separately, adv., Kakanyi.","Sex, n., Ecin."
