"Sex (gender), n., Ciṇkuṇ.","Shea, n., Eko kpara."
"Shabby, adj., Swakun.","Shea butter, n., Míkòte; Mǔkòte."
"Shackle, n., Kurù.","Shea fruit, n., Kòmbó."
"Shackle, v., Dan kurù.","Shea kernel, n., Kporo."
"Shade, n., Wùrù.","Shea nut, n., Ekò."
"Shades (ancestors), n., Koyì.","Shea tree, n., Kòci."
"Shadow, n., Fìfíṇgi.","Shea tree (hard one), n., Kéré."
"Shaft, n., Mícìṇ.","Sheaf, n., Yipa; Eyipa; Epa."
"Shaggy, adj., Furagi.","Shear, v., Mu; Muya."
"Shake, v., Du.","Shears, n., Alumakashi."
"Shake (tremble), v., Kùn.","Sheath, n., Efa."
"Shake (body parts), v., She.","Sheave, n., Yìga."
"Shake down, v., Kundan.","Shed, n., Rufa."
"Shake hands, v., Yagwa.","Shed (skin), v., Wafa."
"Shake head, v., Pan ti.","Sheep, n., Ěkin; Kingbagba."
"Shake off, v., Kunya; Kun ya.","Sheep (general term for sheep and),"
"Shake out, v., Miya.","n., Nangi."
"Shake up, v., She; Shekpe.","Sheer, adj., adv., Tsaba."
"Shall, aux., Gà; ’à.","Sheet, n., Fere; Feregi"
"Shallow, adj., Piaria.","Sheikh, n., Shéwù."
"Sham, n., Kulelegi.","Shelf, n., Kpiakpia."
"Shame, n., Gbinkó.","Shell, v., Yě."
"Shanty, n., Tokpe.","Shellfish, n., Kange."
"Shape, n., Nayì.","Shelter, n., Efûn."
"Share, v., Gáṇ tònto.","Shepherd, n., Nạkàṇci; Enạkàṇci."
"Share, n., Tònto.","Sheriff, n., Olokpa"
"Shares, n., Tòntozhì.","Sherd, n., Vonkpara."
"Sharp, adj., Gi.","Shield, n., Wògiri."
"Sharp (quick-witted), adj., Gbódzú.","Shield (face shield), n., Kpátá."
"Sharp (keen), adj., Nu.","Shield(hand shield), n., Kùkélè."
"Sharpen, v., Lè.","Shiftiness, n., Ekugi."
"Shatter, v., Sa; Saya.","Shifty, n., De ekugi."
"Shave, v., Jin giaria.","Shilling, n., Sule."
"Shavings, n., Cikara.","Shilling (silver), n., Liyan."
"Shawl, n., Fangi.","Shin, n., Rogbó."
"She, pron., U; Wun.","Shine, v., Banna."
