"Shingles, n., Enayeshi.","Shoulder, n., Ekpá."
"Shingle wood, n., Eji.","Should in case, conj., Abeke."
"Shining, n., Enaban.","Shout, v., Kpogun."
"Ship, n., Mạnda.","Shove, v., Kunlo."
"Shirr, v., Tuṇba.","Shovel, n., Katampa."
"Shirt, n., Èwò.","Shovelful, n., Ebo."
"Shiver, v., Kun.","Show, v., Wú; Lawú."
"Shiver, n., Kunkun.","Show, n., Èwú."
"Shoal, n., Yara.","Showcase, v., Wúgwa."
"Shock, v., Do; Li do.","Showing, n., Wúwú."
"Shock, n., Doli.","Shower, v., Shedù."
"Shocked, adj., Lido.","Shower, n., Dùshe; Èdùshe."
"Shockheaded, n., Gizo.","Show off, v., Loye."
"Shoddy, adj., Twatwan.","Showing off, n., Eyelo; Yelo."
"Shoe, n., Èdà.","Shred, n., Sankoro."
"Shoe (cover shoe), n., Wufi.","Shrew, n., Gàdànjì."
"Shoe lace, n., Dàdìṇ.","Shrewd, adj., Gbodzu."
"Shoe last, n., Cigban kubuta.","Shriek, v., Kowu."
"Shoemaker, n., Èdàkinci.","Shrimp, n., Katsagi."
"Shoe, put on, Dạn èdà.","Shrine, n., Gunnuba."
"Shoot, v., Ce.","Shrink, v., Gbǎ."
"Shoot (gun),v., Ke nạtso.","Shrink (cloth), v., Fù; Fùba."
"Shooting star, n., Tswangi ceperegi.","Shrink (decrease), v., Yìkú."
"Shop, n., Edagi.","Shriveled, adj., Gegere."
"Shore, n., Kákpạn.","Shroud, n., Gántárìgǐ."
"Short, adj., adv., Gba.","Shrub, n., Enu."
"Short (person), adj., Kukurugi; Eza","Shuck, n., Kparagi"
"kukurugi.","Shudder, v., Kpakakpaka."
"Short (thing), adj., Kolu.","Shun, v., Dakia."
"Shorten, v., Koke.","Shush, v., Fa."
"Shortsighted, adj., Jin mishi.","Shut, v., Tsu; Kpe."
"Shortsightedness, n., Mishi.","Shutter, n., Shegi; Eshegi."
"Shotgun, n., Nạtsoke; Nạtsokùṇ keci.","Shuttle, n., Yikaci."
"Should, aux., Gà; ’à..","Shuttlecock, n., Koshiya."
"Should, imp., Gá.","Shy, adj., v., Sunzùṇyě."
"Should (in case), v., Abeke.","Shyness, n., Zùṇyěsuṇ."
