"Sit, v., Fedun.","Slag, n., Tswambi."
"Sit down, v., Yashì.","Slander, v., Kobo."
"Site, n., Ḍàṇà.","Slant, v., Zhèká."
"Sitting, n., Edunfe.","Slap, v., Gbádzú."
"Sitting room, n., Bòkùn.","Slap, n., Edzú."
"Situate (locate), v., Le.","Slat, n., Kpako."
"Situation (location), n., Ele.","Slate, n., Èlǒ."
"Six, n., Gutswanyi.","Slaughter, v., Zun."
"Six hundred, n., Kpota.","Slave, n., Wuzhi."
"Six thousand, n., Gbota.","Slavery, n., Dzannajin."
"Six pence, n., Shishì.","Slay, v., Kponu."
"Sizable, adj., Kpadza.","Slayer, n., Kponujinci."
"Size, n., Kímạ.","Slaying, n., Kponu."
"Size up, v., Payeku.","Sledge, n., Etsuko"
"Sizzling, adj., Susunyi.","Sleek, adj., Talo."
"Skein, n., Èkwági.","Sleep, v., Lele."
"Skeleton, n., Bango.","Sleep, n., Ele; Elele."
"Sketch, v., Jin take.","Sleeping sickness, n., Kpatsungi."
"Sketchy, adj., Takegi.","Sleeve, n., Ewogwa."
"Skewer, n., Tsukun soya.","Sleeveless, n., Marahanu."
"Skewered meat, n., Soya; Tsire.","Slender, adj., Kpelegi."
"Skill, n., Egbá.","Slice, v., Fáṇ."
"Skilled, adj., Gbáci; Egbáci.","Slick, adj., Nwanwanyi."
"Skim, v., Fan.","Slide, v., Taya; Ta."
"Skin, n., Epa.","Slight, v., Gbaye."
"Skin, v., Fè.","Slight, n., Yegba."
"Skin headed, adj., Etikpanna.","Slight, adj., Fiagi."
"Skinhead, n., Etikpannagi.","Slightly, adv., Fiaginyǐ."
"Skinny, adj., Gáṇgúgǐ.","Slim, adj., Waragi; Wuriagi."
"Skirt, n., Yari.","Slime, n., Gbwarwagi."
"Skulk, v., Ṃàbàrà.","Slimy, adj., Gbwàrwà."
"Skull, n., Tunko.","Sling, n., Gbạnjèrè."
"Skunk, n., Bisagi; Nyaka bisagi.","Sling, v., Cé gbạnjèrè."
"Sky, n., Èshè.","Slip, v., Ta; Taya."
"Slab, n., Gundin; Egun din.","Slip (through hand), v., Fan… gwa."
"Slacken, adj., n., Fià.","Slipper, n., Papagi; Eda papagi."
