"Slippery, adj., v., Ta.","Smell, v., Mwatswan."
"Slipshod, adj., Mulamulanyi.","Smell, to feel, v., Wotswan."
"Sliver, n., Ekan.","Smelt, v., Dandu."
"Slog, n., Buta.","Smelter(furnace), n., Èdù."
"Slog, v., Jin buta.","Smelter (worker), n., ; Edudanci."
"Slope, n., Gbodo.","Smidgen, n., Bege."
"Sloppy, adj., Petepetegi.","Smile, v., Yiman."
"Slothful, adj., n., Songia.","Smile, n., Yiyiman."
"Slouch, v., Jin wawawanyi.","Smith, n., Tswaci."
"Slouch, adj., Wawawanyi.","Smithy, n., Dokodza."
"Slouch, n., Wawawanyigi.","Smog, n., Girigizi."
"Slough, v., Zhefa.","Smoke, n., Nạwú."
"Slovenly, adj., Boye.","Smoke (cigarette), v., Fíṇ nạwúngi."
"Slow, v., adv., Sò.","Smoker, n., Nạwúngifíṇci."
"Slow, adj., Tàci.","Smolder, v., Nyàna."
"Sludge, n., Boshin.","Smooth, adj., Bòlǒ."
"Sluggish, adj., Bìfo.","Smother, v., Shina."
"Slumber, v., Gùnle.","Smudge, n.,Cankia"
"Slumber, n., Elegùn; Elegùn.","Smudgy, adj., Cankia."
"Slur, v., Kpakpe.","Smut, n., Kuṇwàwà."
"Slur, n., Kpikpakpe.","Smutty, adj., Gbiangbannyi."
"Slut (prostitute), n., Nangba.","Snag, n., Jindzara."
"Sly, adj., De Kisa.","Snail, n., Ekpa; Egikpa."
"Slyness, n., Kisa.","Snail (edible one), n., Kpankuru."
"Smack, v., Zhela.","Snake, n., Ewa."
"Small, adj., Gigi.","Snake (on palm trees), n., Jǎsò."
"Small (roundish), n., Cakurugi.","Snake (small one), n., Fiṇdzùṇgi."
"Small, too, adj., adv., Gbàgbà.","Snakebird, n., Wangi."
"Small intestine, n., Edzungi tetengi.","Snake charmer, n., Ewakuci."
"Smallpox, n., Tsakpanna.","Snap, v., Kpin."
"Smarmy, adj., Manyi.","Snare, n., Èkò."
"Smart, v., Ya.","Snatch, v., Ke; Kegwo."
"Smart, adj., Fanye.","Sneak, v.,Mada."
"Smash, v., Ban.","Sneeze, v., Cincin."
"Smear, v., Ciṇ.","Sneeze, n., Ecincin."
"Smell, n., Etswan.","Sniff, v., Kutswan."
