"Sometime, adv., Kandoci.","Space, n., Egbé."
"Son, n., Núgùn.","Spade, n., Kantarako."
"Song, n., Èlò.","Spain, n., Sipeni."
"Songster, n., Lǒló.","Span, v., Zunkpan."
"Songstress, n., Lǒló.","Span (measurement), n., Kami."
"Son-of-a-bitch, interj, Egishi!","Spang, adv., Totoro."
"Soon, adv., Tsotso.","Spanish, adj., Sipenici."
"Soot, n., Nawupata.","Spank, v., lapin."
"Sop, adj., Tsu.","Spank, n., Èpin."
"Sorcerer, n., Nyagèci.","Spar, v., Ṃạkò."
"Sorcery, n., Nyagè.","Sparge, v., Bèmí."
"Sordid, adj., Bonya.","Sparging, n., Èmíbè."
"Sore, v., Tan.","Sparing, adj., Dinboye."
"Sore (wound), n., Ecî.","Sparrow, n., Tswarwangi."
"Sore throat, n., Berepa.","Spark, n., Èdzwàn."
"Sorghum, n.,Dundorogi","Spasm, n.,Mani"
"Sorrel, n., Èmaṇ; Èmaṇgi.","Spat, v., Dinbati."
"Sorrel seed, n., Eda.","Spattered, adj., Kpatakpata."
"Sorrow, n., Lugu.","Speak, v., Gàṇ; gạngàṇ."
"Sorrow, v., Tanyagbàṇn.","Spear, n., Èkwà."
"Sort, n., Yirigi.","Spear grass, n., Eto."
"Sort out, v., Tun yekan.","Special, adj., Yiringi."
"Soul, n., Egbàṇ; Sagban.","Specialization, n., Nàgì."
"Sound, n., Èwó.","Specialize, v., Gìnà."
"Sound, adj., Pǐ.","Specialist, n., Nàgìci."
"Soup, n., Eni; Ningbana.","Specie, n., Lirika."
"Sour, adj., Bá; Báká.","Specific, adj., Gwafìngi."
"Source, n., Dzòdzò.","Specifically, adv., Gwafìnginyi."
"Soused, adj., To; Toya","Specify, v., Fìngwa."
"Souvenir, n., Kùmbushi.","Speck, n., Ebitswa."
"South, n., Tàkò.","Spectacles, n., Bàyěleye."
"Sovereign, n., Esa.","Spectrum, n., Bósàṇ."
"Sovereignty, n., Sǎgì.","Speculate, v., Sosoko."
"Sow, v., Ka; Dzo.","Speculation, n., Sokoso."
"Sow (broadcast), v., Mi.","Specter, n.,Yékinya."
"Soybean, n., Soyabin.","Speech, n., Emigan."
