"Speed, v., Ze; Zeci.","Spittle, n., Èní."
"Speed, n., Zeze.","Splash, v., Cenuwan."
"Spellbound, adj., Shì.","Spleen, n., Gbángbárà; Malan"
"Spend (money), v., Lowo.","shempa."
"Spending, n., Wolo; Ewolo.","Splice, v., Fin."
"Spendthrift, n., Ewowuci.","Splint, n., Èlà."
"Sperm, n., Tìgì.","Splinter, n., Èka."
"Sphere, n., Buru.","Split (burst), v., La; Lafi."
"Spherical, adj., Burutugi.","Split (break), v., Kpin; Kpinfi."
"Spice, n., Tsunfiania.","Split (disperse), v., Sakpa."
"Spider, n., Edzu; Edzuluko.","Split up, v., She."
"Spider (large, hairy type), n.,","Splutter, v., Ta gutwanitwani."
"Kpiáriàgǐ.","Spoil, v., Nyi; Nyiya."
"Spider flower, n., Eya kapangi.","Spoil (booty), n., Lekun; Elekun; Ele"
"Spider lily (crinum), n., Kpěgí.","ekun."
"Spider tree, n., Kulanci.","Spoiled (child), adj., Deba."
"Spike, n., Bidan.","Sponge, n., Soso."
"Spill, v., Zheya.","Spongy, adj., Fùtù."
"Spin, v., Jè.","Spongy (soft), adj., Bwadwa."
"Spin (cotton), v., Píṇ.","Spontoon, n., Ekwamashi."
"Spin (top), v., Cekpa.","Spoon, n., Ewògi."
"Spinach, n., Tsunfiannia.","Spoon (dessertspoon), n., Kòzhiya."
"Spinach (water spinach), n., Danma.","Spoon (tablespoon), n., Kangi."
"Spinal column, n., Bala.","Spoon (teaspoon), n., Kóyí."
"Spine, n., Koto.","Spoor, n., Ebi."
"Spindle, n., Kwạkwạrwạgún.","Spore, n., Eso."
"Spindle (large), n., Kokoro.","Sport, n., Kìlǐsa."
"Spinner, n., Lupíṇci; Lulupíṇci.","Sport, v., Sakìlǐ."
"Spiny amaranth, n., Ekan","Spotted, adj., Gayere."
"shanshangi","Spouse, n., Yebaci."
"Spirit, n., Guzhe.","Sprain, adj., Yé."
"Spirit (late), n., Kuci.","Spray, v., Shefè."
"Spiritual, Adj., Guzhegi.","Spread, v., Là; Làkpe."
"Spit, v., Shakin.","Spreadeagle, adj., Kpe para."
"Spit (saliva), v., Gbin micinni.","Sprig, n., Egba."
"Spite, v., Shìtú.","Spring (season), n., Sạngiká."
