"Spring (water), n., Sạngi.","Squint, v., Yeye."
"Spring (fluid), v., Ti.","Squirm, adj., Nagban."
"Spring (jump), v., Nyanya.","Squirrel, n., Dungi; Edungi."
"Sprinkle, v., Mí.","Squirrel (tree-squirrel), n., Èpiági."
"Sprinkle(the ground), v., She.","Stab, v., Tunbi."
"Sprint, v., Baci; Ba ci.","Stable, n., Gbodo."
"Sprout, v., Dzwa; Dzwaye.","Stable yard, n., Dokomba."
"Spur, v., Cegbandoro.","Stabling, n., Dokomba."
"Spur, n., Gbandorogi.","Stack, n., Dangurasa."
"Spur (for horsemen), n., Kạyimi.","Stack, v., Kpaje."
"Spurge, n., Lowugi.","Stacked (breast), adj., Jekun."
"Spurn, v., Toce.","Staff, n.,."
"Spurn, n., Eceto.","Stag beetle, n., Gbingbianniaku."
"Spurtle, n., Jèbanci.","Stage, n., Kpedà."
"Spry, adj., Papanyi.","Stage, v., Jin dami."
"Spy, v., Túlè.","Stagger, v., Jin jigajiganyi."
"Spy, n., Èletúci.","Stain, n.,Shiaka."
"Spying, n., Èletú.","Stair, n., Dàguṇ."
"Squabble, v., Tami.","Stake, n., Kàṇgàri."
"Squander (money), v., Wuwo.","Stale, adj., v., Jin dokandokan."
"Squandering, n., Ewowu.","Staleness, n., Dokandokan."
"Square, n., Patapa; Pata pata.","Stalk (plant), n., Kpace."
"Square, n., Gunnimi; Pàta; Pàta","Stalk (of leaf), n., Biyegi."
"swạrwạ.","Stalk, v., Gbe."
"Square (village square, town square),","Stalk, v., Badà."
"n., Egban.","Stalk, n., Edàba."
"Squash, v., Bo.","Stalker, n., Egbeci."
"Squash, n., Ebeshe.","Stall, n., Rufa."
"Squashy, adj., Nyama.","Stall (seat), n., Esadunfe."
"Squat, v., Foforo.","Stamen, n., Dulia."
"Squat, n., Forofo.","Stamina, n., Kodagi."
"Squat (short), adj., Piatiagi.","Stammer, v., Ta kokoba; Ta"
"Squeal, n., Fiakuṇ.","kokobamba."
"Squid, n., Nadzwagwa; Ena","Stammer, n., Kokomba."
"dzwagwa.","Stamp, n., Mipa."
"Squidgy, adj., Dzwagwa.","Stamp, v., Pami; Pa emi."
