"Stand, v., Dingbaro.","Steadfast, adj., Gimì."
"Stand (endure), v., Jin kaliko.","Steadfastness, n., Mìgi."
"Standard, n., Tsàfàkùṇ.","Steady, adj., Warawaranyi."
"Standing, n., Gbarodin.","Steal, v., Yi."
"Standstill, v., Gikinni.","Stealth, v., Bada."
"Stand up, v., Nakin.","Steam, n., Ruru; Ruru yipa."
"Staple, n., Gbangban.","Steamer, n., Eya ruru."
"Stapler, n., Gbangbangi.","Steamy, adj., Dzwandzwanyi."
"Star, n., Kpàshì; Tswangi.","Steel, n., Léfà."
"Star bur, n., Kashiyawo.","Steep, adj., To."
"Starch, n., Efun.","Steer, v., Tsò."
"Stare, v.,","Steerer, n., Tsótsógi."
"Stare, n., .","Steering, n., Tsutsò."
"Starer, n., Eyelaci.","Steering wheel, n., ."
"Stargaze, v., Ceyetu etswa.","Stem, n., Gbokoci."
"Stargazing, n., Eyecetu etswa.","Stem, v., Sa gbokoci."
"Stark-naked, adj., Kolómbó.","Stench, n., Èyǎ; Etswáṇyǎ."
"Start, v., Yá.","Stench, give, v., Ya; Yatswáṇ."
"Start, n., Yákun.","Step, v., Kpedà."
"Starting, n., Yiya.","Step, n., Dàguṇ."
"Starting point, n., Yaba; Yiyaba.","Stepladder, n., Ela."
"Startle, v., Wado.","Step out, v., Kpe bici."
"Startled, adj., Wado","Steps, n., ekpa."
"Starve, v., Wu madan.","Stern (of boat), n., Yazùṇ."
"Starvation, n., Madanwu.","Sternum, n., Gutsukun."
"Starved person, n., Madawunci.","Stew, n., Eni yikpara."
"State (say), v., Cinmi.","Stew, v., To; Toni; To eni."
"State (condition), n., Kiṇnigí.","Steward, n., Edzubapaci."
"State (government), n., Kinmishi.","Stick, n., Tsùkùṇ."
"Statement, n., Gàṇmi.","Stick (adhere), v., Temà."
"Station, n., Kiṇnigíbà.","Sticky, adj., Temà."
"Station master, n.,Ndǎ kiṇnigíbà;","Stiff, adj., Gbadi."
"Ashamu.","Stifle, v., Niko."
"Statue, n., Wushi.","Still (not moving), adj., Kpìn."
"Status, n., Kiṇnigíró.","Still, adv., Tosuṇ."
"Statutory, n., Adimu; Dimu.","Stillbirth, n., Dzanagi."
