"Stretch, v., Gìn.","Student, n., Egi makanta."
"Stretch (blow), v., Be; Bele.","Sturdy, adj., Nyidin"
"Stretch, v., Gin.","Studies, n., Katun; Karatun."
"Strew, v., Ga.","Study (studies), v., Jin katun."
"Stride, n., Ètà.","Study, n., Katun."
"Stride, v., Satà; Sa età.","Stuffy, adj., Gùsǎ."
"Strife, n., Keya.","Stumble, v., Ni."
"Strike (hit), v., Shikùn.","Stump, n., Tikukuru; Cigban"
"Strike (hitting), n., Èkunshì.","tikukuru."
"Strike (fire), v., Sana.","Stunned, adj., Jin gbarunyi."
"Strike (with sword), v., Ka; ka ebiko.","Stunning, adj., Gbaru."
"Striking, adj., Fanganyi.","Stunt, n., Sisatagi."
"String, n., Gbinni.","Stunt, v., Tasisa."
"Strip, v., Fǎn.","Stunted, adj., Tasisagi."
"Strip, n., Diàrià.","Stupefy, v., Gban."
"Stripe, n., Yèrèngi.","Stupendous, adj., Badada."
"Stripe, v., Tsa yèrè.","Stupid, adj., Cenya."
"Striped, adj., Yèrè.","Stupidity, n., Ènyà."
"Stripping, n., Yèrètsa.","Sturdy, adj., Gbagu."
"Strive, v., Díṇgbàn.","Stutter, v., Ta kòkòbámbǎ."
"Striving, n., Egbàndíṇ.","Style, n., Riga; Ririga."
"Stroll, v., Din bici.","Sub- , n., Ningi."
"Stroll, n., Bicidin.","Subdue, v., Gòtídạn."
"Strong, adj., Gboka.","Subject, v., Botidan."
"Strong person, n., Kagboci.","Subject, n., Bodangi; Tibodangi."
"Structure, n., Kasògi.","Subjection, n., Tibodan; Etibodan."
"Struggle, v., Tsungun.","Submerge, v., Ye nuwan."
"Struggle, n., Gunsun.","Submission, n., Elebe."
"Strut, v., Ta cinwan.","Submit, v., Bele."
"Strutting, n., Cinwanta.","Subscribe, v., Jin ganmi."
"Stubble, n., Ezhê.","Subscription, n., Ganmijin."
"Stubborn, adj., Gbótíka.","Subsequent, adj., Yetu."
"Stubbornness, n., Etígbóka.","Subsequently, adv., Yetunyi."
"Stubby, adj., Dugbạn.","Subside, v., Yagba."
"Stumble, v., Cin bici.","Substance, n., Gbàṇdò."
"Stump, n., Gbigbi.","Substantial, adj., Gbàngbàndò."
