"Support (post), n., Gaṇgaṇ.","Swallow, n., Kpandiadialugi."
"Suppose(if), v., Yegan.","Swamp, n., Bàtà."
"Supposing, conj., Acigan.","Swamp, v., Kota."
"Supposing that, conj., Kabeke.","Swamp dweller, n., Bàtàci."
"Supreme, adj., Kpèsa.","Swamp grass, n., Adinkoro."
"Supremacy, n., Sàkpè.","Swan, n., Lukólukó."
"Sure, interj., Manna.","Swap, v., Doci."
"Sure, for, v., Ladudi.","Swarthy, adj., Zhini; Zhinyi."
"Surfa, n., Gungba.","Swarm, n., Emwa."
"Surface, n., Títú.","Sway, v., Ban."
"Surface, v., Wàtú.","Swear, v., Shín."
"Surfacing, n., Wuwàtú.","Swear (against), v., Bómi."
"Surfeit, n., Danbu.","Swear (swearword), n., Mibó;"
"Surge, v., Nạre.","Emibó."
"Surname, n., Kaye.","Swearer, n., Shínci."
"Surpass, v., Lití.","Swearing, n., Shínshi."
"Surplus, adj., Dùkpe.","Sweat, n., Enùkpa."
"Surprise, v., Dè; Dè… dè.","Sweat, v., Kpanù."
"Surprise, n., Dèdè.","Sweat bee, n., Bìnì."
"Surrender, v., Goto.","Sweat fly, n., Yesunko."
"Surrender, n., Togo; Etogo.","Sweep, v., Fìṇ."
"Surreptitious, adj., Swanyi.","Sweeper, n., Èfìn."
"Surround, v., Makeze.","Sweeping (all), adj., Fannyi."
"Surround, v., Ma goba.","Sweeping (remains), n., Yiko; Eyiko."
"Surroundings, n., Goba; Gobagi.","Sweet, adj., v., Ṃá."
"Suspect, v., Jin Tuma.","Sweet, n., Ṃáṇá; Ṃáṇági."
"Suspense, n., Fòfògan.","Sweet melon, n., Kadan gbani."
"Suspicion, n., Tuma; Tuhuma.","Sweet potato, n., Kúdúndùkú."
"Suspend (hang), v., Ha.","Swell (body), v., Sạn; Sạnba."
"Suya, n., Bàsạnta.","Swelling (sore), v., Wun,"
"Suzerain, n., Dunfia.","Swelter, v., Cinnu."
"Svelte, adj., Daragi.","Sweltering, adj.,Tsutsunyi"
"Swab, n., Rumaka.","Swift, v., Pě."
"Swagger (boast), v., Gigbe.","Swill, n., Vovogi."
"Swagger, n., Gbegi.","Swim, v., Gbin; Gbin nuwon."
"Swallow, v., Nyi.","Swimmer, n., Nuwangbinci."
