"Than, adj., Gan.","Thin(limb), v., Tiáṇ."
"Thank, v., Jin yebo.","Thin, adj., Tiáṇiá; Tiáṇiágǐ."
"Thankful, adj., Jin yebo.","Thin (dilute), adj., Tsaye."
"Thankfulness, n., Yebojin.","Thin (watery), adj., Tsoro."
"Thanking, n., Yebojin.","Thing, n., Enyạ."
"Thank you, interj., Ku be tun i.","Think, v., Kpayè."
"That, adj., Gá.","Thinker, n., Yèkpaci; Eyèkpaci."
"That, pron., Wuncin.","Thinking, n., Yèkpa; Eyèkpa."
"That, vt., Wuṇgá.","Third, adj., Taci."
"Thatch, n., Sàṇkpere.","Thirst, v.. Wo nuwon."
"Theatrical, adj., Mǎṇdzògi.","Thirst, n., Nunwo."
"Theft, n., Yigbe.","Thirty-five, n., Rudin."
"Them, pron., A.","This, adj., Nạnạ; Nnạ; Ǎnạ."
"Themselves, pron., Atso.","Thistledown, n., Kpègèrè."
"Then, adv., Kanga.","Thither, adv., Baga."
"Then, conj., Ci.","Thorn, n., Ekạn."
"Then, conj., Gancin.","Thorn apple, n., Finiga."
"Theorize, v., Bìdì.","Thorough, adv., Nagi."
"Theory, n., Dìbì, Edìbì.","Thoroughly, adv., Naginyi."
"There, adv., Bagá.","Thorough-going, adj., Wuranyi."
"There, prop.,Batsozhi.","Thoroughly, adv., Kokonyi."
"There and then, adv., Edaga o.","Though, conj., Tonạdě; To nạ dě."
"Therefore, adv., Ebógábo.","Thought, n., Yekpa."
"Thick (solid), adj., v., Lekpan","Thought (expect), v.,Yegan; Eye"
"Thick (liquid), adj., v., Kiṇ.","gan."
"Thick (Congealed liquid), adj., Le.","Thousand, n., Kpotsun."
"Thick (mixed liquid), adj., Gbàṇ;","Thrash (flog), v., Wulu."
"Gbàṇnạ.","Thrash (grain), v., Tsu; Tsuyi."
"Thick (clothing), adj., Tifa.","Thrash out, v., Gunmikpango."
"Thick (bushy), adj., Dzugbu.","Thread, n., Lulugi; Lulu."
"Thick and thin, adj., Kpabuniada.","Thread, v., adj., Fu."
"Thickset, adj., Gbokpan.","Threat, n., Basakun."
"Thief, n., Yigbeci","Threaten, v., Nabasakun; Na"
"Thieve, v., Yi.","basakun."
"Thigh, n., Edun.","Three, n., Guta."
"Thimble, n., Pagwadan; Epa gwadan.","Three pence, n., Tóró."
