"Thresh, v., Tsu.","Tickle, v., Mu shiaria"
"Thresher, n., Kantsu.","Tidy, v., Tadzu."
"Threshing floor, n., Finzo.","Tidiness, n., Edzuta"
"Threshold, n., Zògò.","Tidings, n., Rúba."
"Thrill, v., Jin dodonyi.","Tie, v., Pa."
"Thrill, n., Dodogi.","Tie (ends), v., Fíṇ."
"Thriller, n., Dodoci.","Tie (knot), n., Kpigi."
"Throat, n., Robo.","Tie (necktie), n., Ekpako; Èdě kpako."
"Throb, v., Jin bibinyi.","Tiger nut, n., Efá."
"Throne, n., Ebe.","Tight, adj., Gbáṇnyi."
"Throng, v., Kupa.","Tightfisted, adj., Bagwa."
"Throng, n., Epaku.","Tighten, v., Gice."
"Thronging, n., Kukupa.","Tilapia, n., Tsokungi."
"Through, v., Tarú.","Tile, n., Giamạ."
"Throw, v., Ce.","Till, prep., Tunka; Tun eka."
"Throw away, v., Ce ya.","Till, v., Dùṇnu."
"Throw up, v., Jin mazuwa","Tillage, n., Nudùṇ."
"Thud, n., Bàmbà.","Tilt, v., Zheka."
"Thumb, n., Gingiṇniko.","Timber, n., Cínwâ."
"Thumbprint, v., Tungwa.","Time, n., Èká; Kámi."
"Thump, v., Danko.","Time, fix, v., Daka; Da ’ka."
"Thunder, v., Sa kparà.","Time, on, prep., Dada."
"Thunder, n., Kparà; Kparàsa.","Timely, adj., Kpesa."
"Thunderbolt, n., Egba.","Timid, adj., Yesoci; Eyesoci."
"Thunderclap, n., Tsawa; Tsawa","Timid, v., Soye."
"sama.","Timidity, n., Yeso; Eyeso."
"Thunderstroke, n., Sayi.","Tin, n., Kpánù."
"Thunderstruck, adj., Wan sayi.","Tinder, n., Tamu."
"Thursday, n., Fontsuṇ; Efo tsuṇci.","Tingle, v., Fukiariangi."
"Thus, adv., Áníngá.","Tingle, n., Kiariangi."
"Thyself, pron., Wotso; Otso.","Tiny, adj., Fiakangi."
"Tick (flea), n., Kótì.","Tiny, adj., Cáriàgǐ."
"Tick (cattle), n., Gbiṇgbiaṇia.","Tip, n., Etigi."
"Tick (deer), n., Kopá.","Tip, v., Zhegba."
"Tick (sound), v., Ti kenkennyi.","Tiptoe, v., Din piampia."
"Ticket, n., Labagi.","Tire (tyre), n., Karangba."
