"Tired, adj., v., Bo.","Too, adv., Mạ."
"Tiredness, n., Ebo.","Too much, adv., Gangan."
"Tissue, n., Bògi.","Tooth, n., Nyika."
"Titanic, adj., Gbagalasa.","Toothpick, n., Gonginni."
"Titillate, v., Fwa.","Top, n., Kpěshè."
"Title, n., Tíci.","Top (cover), Kpegi."
"Title-holder, n., Tícigíci.","Topsoil, n., Nyạkán."
"To, prep., Ya; Nyi.","Torah, n., Ataura."
"Toad, n., Tankpolo.","Torch, n., Nạvùṇ."
"Toadstool, n., Munu tànkpóló.","Torment, v., Gun fani."
"Toady, v., Jin fadanci.","Torment, n., Fani."
"Toadying, n., Fadanci.","Torrid, adj., Nyanyanyanyi."
"To and fro, adv., Elo be ezhin i.","Tortoise, n., Nyanda."
"Tobacco, n., Tábà.","Tortoise (a type), n., Kúkpáká."
"Tobacco flower, n., Fure.","Tortoise (land one), n., Dùkú."
"Tobacco leaf, n., Sankara.","Tortoise (musk tortoise), n., Nyálà."
"Tobacco pipe, n., Èfà.","Torture, v., Pena."
"Today, n., Nyina.","Torture, n., Nape."
"Toe, n., Tintigi.","Toss (in sleep), v., Sagara."
"Toe, big, n., Tintiko.","Total, adj., Gangari."
"Toe nail, n., Vùndùṇnù tintigi.","Touch, v.. To; Togwa."
"Together, adv., Gani, Gangani.","Tough (substance), n., Gbǎdi."
"Toilet, n., Shikpata.","Tough(hardy person), adj., Guzunma."
"Tolerate, v., Go; Go…wo.","Towel, n., Taweli."
"Tomahawk, n., Gbakun.","Tower, n., Kakogá; Kata kogá."
"Tomato, n., Bonro; Bonrwarwa.","Towering, adj., Dododo."
"Tomb, n., Gbìngò.","Town, n., Ezhì."
"Tome, n., Tadanreshi.","Toxin, n., Nạncé."
"Tomorrow, n., Èsuṇ.","Trace, v., Gba."
"Tom-tom, n., Tsari.","Trachea, n., Èshǎ."
"Toner, n., Zafaran.","Track, n., Ènǔ."
"Tongs, n., Emuko.","Track (pursue), v., Fekpe."
"Tongue, n., Gintara.","Trade, v., Cewo."
"Tongue-tied, adj., Kadikadi.","Trade, n., Woce."
"Tonic, n., Ègbo.","Trader, n.., Wocececi."
"Tonsure, n., Kpìkpì.","Tradition, n., Kùnnú."
