"Traffic, n., Rongípá.","Trash, n., Tutu."
"Traffic, v., Párongí.","Trauma, n., Tìntáṇ; Etìn ètáṇ."
"Tragacanth, n., Nyici kuso.","Travel, v., Dalèngi; da lèngi."
"Trail, v., Lamikpe.","Travel, n., Lèngi."
"Trail, n., Enu.","Traveler, n., Lèngidaci."
"Train, n., Eyakin.","Traverse, v.,Zuntu"
"Train, v., Tǎ.","Trawl, v., Magbe."
"Trainee, n., Zatǎ.","Trawler, n., Gbemaci."
"Trainer, n., Tǎci.","Trawl net, n., Ědân."
"Training, n., Ètǎ.","Tray, n., Votia; Evotia."
"Traitor, n., Ṃàṇà.","Treachery, n., Zamba."
"Tramp, n., Èko.","Tread, v., Nibo."
"Trample, v., Pabici.","Tread, n., Eboni."
"Tranquil, adj., Bàfè.","Treasurer, n., Zadzufan."
"Transact, v., Zhegwa.","Treasury, n., Kata dukiya."
"Transaction, n., Gwazhe.","Treat (extra), n., Ekan."
"Transfer, v., Yishì.","Tree, n., Cigban."
"Transform, v., Shido.","Tree of life, n., Aduruku."
"Transgression, n., Yevungan.","Tree ants, n., Minimini."
"Transient, adj., Finye.","Tree trunk, n., Cigbanshin."
"Translate, v., Gogan.","Tremendous, adj., Cirigi."
"Translation, n., Gugogan.","Tremble, v., Kùn."
"Translator, n., Goganci.","Tremble(old age), v., Jigbe."
"Transplant, v., Mushi.","Trembling, n., Jigbejigbe."
"Transmit, v., Yatsùṇ.","Tremoring, n., Kpelekpelegi."
"Transport, v., Zunkpan.","Trench, n., Kporo."
"Transport, n., Kpanzun; Ekpanzun.","Trespass, v., Gbintu."
"Transportation, n., Zunzunkpan.","Tribal mark, n., Eyesa; Eye sa."
"Transvestite, n., Kóndó.","Tribal mark, have, v., Saye; Sa eye."
"Tranquil, adj., Gupi.","Tribal mark (the two on the face"
"Trap, n., Tangi.","type), n., Gbangúbà."
"Trap (a type for fishing), n., Zhini;","Tribe, n., Zhimi; Ezhimi."
"Ezhin.","Tribesman, n., Zhimici."
"Trap (a type for fishing), n., Lèkpe.","Tributary(river), n., Èdo."
"Trap, set, v., Tso tangi.","Tribute, n.,Tsàkpà."
"Trappings, n., Yayisa.","Trick, v., Lòndzǒ."
