"Trick, n., Lòndzǒgi.","Trumpet, n., Shìmù."
"Trickle, v., Mishi.","Trumpet (wooden), n., Pampami."
"Trickle, n., Mishigi.","Trunk, n., Gbòkò."
"Trifling, adj., Tsagitsagi.","Trunk (box), n., Kunkuru."
"Trigger, n., Dèděngi; Didingi.","Trunk (elephant), n., Elo; Elo tukpa."
"Trillion, n., Wótáwúrú.","Trunk (tree), n., Cigbanshin."
"Trillionaire, n., Zàwótáwúrú.","Trunkfish, n., Dogbo."
"Trim, v., Twá.","Truss, v., Cekpasa."
"Trim (plants), v., Ma; Ma ya.","Truss, n., Jěngi."
"Trim, adj.,Tia","Trust, v., Kpemà."
"Trimmings, n., Shiaraba.","Trust, n., Èmàkpe."
"Trinclets, n.,Tsanganagi; Sanganagi.","Trust (fund), n., Dashi."
"Trip (stumble), v., Cin bici.","Truth, n., Mǎṇá."
"Tripe, n., Desakuna; Èdě sakun ena.","Try, v., Lǔ."
"Triplet, n., Bàntá.","Trying, n., Lúlǔ."
"Triturate, v., Go ruku.","Tsetse fly, n., Efě."
"Triumph, v., Jin nasara.","Tuareg, n., Buzu."
"Triumph, n., Nasarajin.","Tub, n., Buru."
"Trivial, adj.,Gobogoda.","Tubby, adj., Banga."
"Tropic, adj., Gogo.","Tube, n., Gbangunu; Ewa."
"Tropical, adj., Gogogonyi.","Tuber, n., Èfǐn."
"Trot, v., Sakonya.","Tuberculosis, n., Kpiankiáriá;"
"Trot, n., Konyasa.","Kpiankiáriági."
"Trouble, n., Emusun.","Tuck in, v., Kafi."
"Trouble, v., Sunmu.","Tuesday, n., Fontá; Efo táci; Tàlǎtà."
"Troublemaker, n.,Emusunci.","Tuft, n., Ganawasa."
"Troublemaking, n., Musunwa.","Tug, v., Godin."
"Troublesome, adj., Musunkan.","Tulip tree, n., Dagba pamboci."
"Trough, n., Ekpan.","Tune, n., Dáwà."
"Trousers, n., Tsaka; Tsanka.","Turban, n., Tswàfa."
"Trousers, put on, v., Dạn tsaka.","Turkey, n., Ezûṇ."
"True, adj., Gàṇmǎṇá.","Tumble, v., Gbězhé."
"Truancy, n., Nạngǎ.","Turbulent, v., Gbôlo."
"Truant, n., Kpanka.","Turmeric, n., Turi."
"Truck, n., Gongoro.","Turn, v., Zhe."
"Truly, adv., Maso.","Turn aside, v., Sa; Sakasan."
