"Turn around, v., Zheye.","Type, v., Zhe beyi."
"Turn back, v., Kezhe.","Tyrannize, v., Jin zwalunci"
"Turn (on side), v., Zhekasan.","Tyranny, n., Zwalunci."
"Turnover, v., Zhèkpe.","Tyrant, n., Azwalumi."
"Turnover, n., Zhizhèkpe.","Tyre (tire), n., Kònkárá."
"Turnip, n., Banfya.",""
"Turquoise, n., Dongoro.",""
"Turtle, n., Tatà.",""
"Turtle (large one), n., Yǎyi.",""
"Turtle dove, n., Lùkóbǒkùṇgi.",""
"Tusk, n., Nyikan dagba.",""
"Tusk (boar), n., Gara gbakun.",""
"Tutor, v., Danyewu; Danye wu.",""
"Tutor, n., Nwu.",""
"Tuyere, n., Ewa.",""
"Tweak, v., Ko vundunnu",""
"Twelve hundred, n., Kpotswanyi.",""
"Twelve thousand, n., Gbotswanyi.",""
"Twenty, n., Eshi.",""
"Twenty thousand, n., adj., Gura.",""
"Twig, n., Diariagi.",""
"Twin, n., Èbà; Èbàkombà;",""
"Bàkonbàgi.",""
"Twine, n., Tsàkpà.",""
"Twinkling, n., Yeba.",""
"Twinlet, n., Èpò.",""
"Twins, n., Ebazhi; Bakombagizhi.",""
"Twist, v., Tswani.",""
"Twitch, v., Jin kokonyi.",""
"Twitch the nose, v., Sheye.",""
"Two, n., Gúbà.",""
"Two hundred, n., Kpákó.",""
"Two thousand, n., adj., Gbǎ.",""
"Type, adj., Kpia.",""
"Type, n., Beyî.",""
"Type (Printing press), n., Beyigi.",""
