"Agog, adj., Womáṇro.","Agribusiness, n., Bùcájiṇkânró."
"-agog, suffix, Mishìgi-","Agrichemical, n., Nyạsạgikânrí."
"Agogic, adj., Mishìgùn.","Agricultural, adj., Kânnùgi."
"Agogics, n., Mishìkàn.","Agriculture, n., Kânnù."
"A gogo, adv., Kpo bodo.","Agriculturist, n., Kânnùci."
"-agogue, suffix, Mishìgi-","Agri-food, n., Nyạgícikânrí."
"Agonise, v., Táṇgbáṇ.","Agrimony, n., Túrikạ."
"Agonised, adj., Gbáṇtáṇgạ.","Agriterrorism, n., Eyédzújiṇkânrí."
"Agonising, adj., Táṇgbáṇgạ.","Agro-, prefix, Kânró."
"Agonist, adj., Gbáṇtáṇci.","Agrobiology, n., Kpikenạkânró."
"Agonistic, adj., Gbáṇtáṇkùn.","Agrochemical, n., Nyạsạgikânró."
"Agony, n., Gbáṇtáṇ.","Agrodolce, n., Bákámạnạ."
"Agony aunt, n., Nnặgi gbáṇtáṇ.","Agrofestry, n., Kúsòkùnkânró."
"Agony column, n., Èkpó gbáṇtáṇ.","Agroindustrial, adj.,"
"Agony uncle, n., Ndǎgi gbáṇtáṇ.","Bájiṇtuṇcikânró."
"Agora (Greek), n., Kàṇyedạ.","Agroindustry, n., Bájiṇtuṇkânró."
"Agora (Israeli), n., Wógi.","Agrology, n., Kpikpekânró."
"Agorae, n., Kàṇyedạ.","Agronomic, adj., Kpikpekîṇgạ."
"Agoraphobia, n., Dàṇwǒgạkàṇyedạ.","Agronomics, n., Wóyékpakânró."
"Agorot, n., Wógi.","Agronomy, n., Kîṇgạn."
"Agouti, n., Agúti.","Agrostology, n., Kpikpegó."
"Agra, n., Agúra.","Aground, adj., adv., Kotú."
"Agrahayana, n., Agúráhayánạ.","Agua fresco, n., Nuwaṇdáfègi."
"Agranulocyte, n., Kiáwuṇzhikpórogi.","Aguardiente, n., Nuwaṇnạgi."
"Agrapha, n., Zhìkikáci.","Ague, n., Bàgùṇ."
"Agraphia, n., Zhìnyạká.","Ah! Interj., Áh!"
"Agrarian, n., Kânnùkùn.","Aha! Interj., Àhá!"
"Agrarianism, n., Kânnùkùnjiṇ.","Ahead, adj., adv., Dạyé o."
"Agree, v., Yé; Yégbáṇ.","Ahem! Interj., Nhúṇ."
"Agreeable person, n., Ezàyèkò.","Ahimsa, n., Ràgùṇ."
"Agreement, n., Egbányé.","Ahistory, adj., Zhìtàṇ."
"Agreement of sale, n., Egbányé  nyạ","Ahold, n., Gwasuṇkạn."
"Nyạkún.","Aholehole, n., Gwankạnkạn."
"Agrestal, n., Kúlatí.","-aholic, suffix, Shigi-"
"Agrestic, n., Kúlatíci.","A-horizon, n., Nugúṇfìṇ-A."
"Agri-, prefix, Kânrí.","Ahoy! Interj!, Àháya!"
