"Untie, v., Lo.","Utterly, adv., Pitinyi"
"Until, adv., Dati.","Uttermost, adj., Iyaka."
"Untrue, adj., Bija.",""
"Unwashed, adj., Kashi.",""
"Unwieldy, adj., Gbanga.",""
"Unyielding, adj., Tambo.",""
"Up, adv., Fiti.",""
"Upbraid, v., Nawunfi.",""
"Update, v., Jiba.",""
"Upright, adj., Wara.",""
"Uproar, n., Kasun.",""
"Uproot, v., Mu.",""
"Upset (anger), v., Litsa.",""
"Upset (turn upside down), v.. Zhekpe.",""
"Uptown, n., Nfiti; Ezhifiti.",""
"Uranium, n., Kófìṇgi.",""
"Uranus, n., Kófìṇ; Sòkófìṇ;",""
"Yurenusi.",""
"Urchin, n., Eji.",""
"Urethritis, n., Gibagiba.",""
"Urgent, adj., Kpêkpè.",""
"Urinate, v.,",""
"Urine, n., .",""
"U.S.A., n., U.S.A.",""
"Use, v., Lò.",""
"Use, n., Lulò.",""
"Used coal, n.,Nango",""
"Used to, adj., v., Dáyé.",""
"Useless, adj., Sakpa.",""
"Usual, v., adv., adj., Dáyé",""
"Usury, n., Shiàshià.",""
"Uterus, n., Borowan.",""
"Utilize, v., Wanshi.",""
"Utmost, adj., Gaya.",""
"Utter (say), v., Cinmi.",""
"Utter, adj., Piti",""
