"Velvet, n., Luwagi.","Versatile, adj., Nugbazheci; Nugba"
"Velvety, adj., Luwagi luwagi.","zheci."
"Vendetta, n., Wunào; Ewun kpalo.","Verse, n., Aya."
"Vendor, n., Kunyaci.","Version, n., Nugbazhegi."
"Veneer, n., Keliangi.","Versus, prep., Zhepan."
"Venerable, adj., Gorozo.","Vertebra, n., Tsukunzhe."
"Venerate, v., Gibo","Vertebrate, n., Natsukunzhe; Ena"
"Veneration, n., Ebogi.","tsukunzhe."
"Venereal disease, n., Gbòdòngǐ.","Vertex, n., Patanti."
"Vengeance, n., Gunga.","Vertical, adj., Vinyi."
"Vengeful, adj., Gagun.","Vertigo, n., Eyizhi."
"Vent, v., Kofe.","Very, adv., Sáráṇyí."
"Ventilate, v., Kofeya.","Very, adv., Gaya."
"Ventilation, n., Fekoya; Efekoya.","Very (large), adj., Buduyi."
"Ventilator, n., Fekoyaci.","Vesicle, n., Kónuwạṇgi."
"Ventricle, n., Gbakogi.","Vessel, n., Papa."
"Ventriculus, n., Doncigi.","Vest, n., Tufuwo; Tufuwa ewo."
"Ventriloquism, n., Gbakoswa.","Vestige, n., Gbǐgì."
"Ventriloquiz, v., Swagbako.","Veteran, n., Kurucalia."
"Ventriloquy, n., Gbakoswagi.","Veterinary, n., Nankuku; Ena kuku."
"Venture, n., Zhiacin.","Veto, n., Milakan."
"Venue, n., Gaba.","Vex, v., Gasun."
"Verandah, n., Diádiá.","Via, prep., Bekpa…e."
"Veracity, n., Tutuntu.","Viable, adj., Fenawo."
"Verb, n., Ganke.","Vial, n., Bodangi."
"Verbal, adj., Gankegi.","Vibe, n., Kunsangi."
"Verbatim, adj., Gankeci.","Vibrate, v., Sankun; Sansan kun."
"Verdict, n., Gangba.","Vibration, n., Kunsan."
"Verge, n., Gunti.","Vibrator, n., Kunsanci."
"Verification, n., Tashiruwa.","Vicar, n., Gosuntan; Gosun etan."
"Verify, v., Watashiru.","Vicarious, adj., Gosuntangi."
"Verily, interj., Akika.","Vice, n., Tsaliyi."
"Vermilion, n., Nawun.","Vice, prep., Gòsuṇbá; Gòsuṇ ebá."
"Vermin, n., Kwaniagi.","Vice admiral, n., Amiru gosunba."
"Vernacular, n., Mangikinci; Mangi","Vice chairman, n., Ndasako"
"kinci.","gosunba."
