"Visit, v., Dábǎ.","Voodoo, n., Vudu."
"Visit, n., Ebǎdá.","Voodoo doll, n., Kotogi."
"Visitation (epidemic), n.,Efu","Voracious, v., Gisokpa."
"Visitor, n., Wuwaloci; Wuwabeci.","Voracity, n., Gigisokpa."
"Visual, adj., Yegagi.","Vortex, n., Yizhi."
"Visualize, v., Jin yegagi.","Votary, n., Ezhiku."
"Vital, adj., Luna.","Vote, v., Zhìlì."
"Vitamin, n., Aminilina; Aminili ena.","Vote, n., Lìzhì."
"Vituperate, v., Dan.","Voter, n., Zhìlìci."
"Viva! Interj Rayi kpalo!","Vouch, v., Yinya."
"Vivacious, adj., Sherayikpa.","Voucher, n., Yinyagi."
"Vivacity, n., Rayikpashe.","Vouchsafe, n., Yeyinya."
"Vivid, adj., Fena; Fe ena.","Vow, v., Zhiba."
"Vizier, n., Waziri.","Vow, n., Ebazhi."
"Vocabulary, n., Nyagan.","Vowel, n., Wasali."
"Vocal, adj., Nubere.","Voyage, n., Lengi."
"Vocation, n., Kasagi.","Voyager, n., Nda lengi; Nna lengi."
"Vogue, n., Paro.","Vulcanise, v., Dapatina."
"Voice, n., Bèrè.","Vulcanser, n., Patinadaci."
"Void, adj., Funá.","Vulgar, adj., Daci."
"Void, n., Kondu.","Vulnerable, adj., Lutin; Lu etin."
"Volatile, adj., Funa.","Vulture, n., Gulu."
"Volcano, n., Patina; Pati ena.","Vulva, n., Esun."
"Volley, n., Yefu.",""
"Volleyball, n., Suṇgiyefu;",""
"Esuṇgiyefu.",""
"Volt, n., Vólútì.",""
"Voltage, n., Vólútìgi.",""
"Volume (book), n., Kitabu.",""
"Volume (sound), n.,Gùṇwo; Egùṇwo.",""
"Voluntary, n., Wake; Ewa eke.",""
"Volunteer, adj., Wakeci.",""
"Voluptuary, n., Kùncagi.",""
"Voluptuous, adj., Bebegun.",""
"Vomit, v., Tun; Yi kpwàrwǎ.",""
"Vomitus, n., Kpwàrwǎ.",""
