"Wife, n., Nyimi.","Winter cherry, n., Alasangi."
"Wig, n., Tinyiko.","Wipe, v., Wun."
"Wild, adj., Ṇyàkáṇgi.","Wire, n., Èlègi."
"Wild animal, n., Kúngi; Ekúngi.","Wireless, n., adj., Ralegi."
"Wildcat, n., Dangi lati.","Wiry, adj., Nyídìṇ."
"Wilderness, n., Cikan.","Wiry (emaciated), adj., Kpaganyi."
"Wildfire, n., Nacikan; Ena cikan.","Wisdom, n., Egbáṇ; Lùkóntágbáṇ."
"Wildlife, n., Ena lati.","Wise, adj., Gbáṇ."
"Wild pig, n., Gbakun.","Wise, adv., De Egbáṇ."
"Wile, n., Wurumi.","Wise person, adj., Gbáṇgbáṇci."
"Will, m.v., …á; gá.","Wish, v., De biki."
"Will, v., Gà.","Wish, n., Biki."
"Will, aux., Gà; ’à.","Wit, n., Gbankpe; Egban ekpe."
"Will, n., Gbàṇwù; Egbàṇ wùshì.","Witch, n., Gaci."
"Willful, adj., Sun nyangban.","Witch (head witch), n., Lelú."
"Willfulness, n., Nyạgbàṇsun.","Witchcraft, n., Ega."
"Willing, v., Wa nyạgbàṇ.","Witchcraft, practice, v., Nyaga; Nya"
"Willing, adj., Nyạgbàṇwaci.","ega."
"Willpower, n., Kagbo nyạgbàṇwa.","Witchdoctor, n., Bǒci."
"Wilty, adj., Cemi.","Witch hunt, v., Gacigbe."
"Win, v., Gi.","Witchweed, n., Edo."
"Winch, v., La dakadaka.","With, prep., Be; Be . . . nyi."
"Wind, v., Kan.","Withdraw, v., Dingo."
"Wind, n., Efèkùṇ; Fèkùṇ.","Wither, v., Po."
"Wind (high), n., Kòcegìdì.","Withered, adj., Shà."
"Window, n., Dzufa.","Within, adv., Ninbe."
"Wind up, v., La da kpan.","Without, prep., Bambe . . .nyi."
"Winding up, n., Lila da kpan.","Witless, adj., Gbonyi."
"Wine, n., Duma.","Witness, n., Eri; Erijinci."
"Wing, n., Gwapà.","Witness, v., Jin eri."
"Wink, v., Baye.","Wizard, n., Esheci."
"Winning, n., Etigi.","Wizardry, n., Eshe."
"Winner, n., Tigici.","Wobble, v., Jin nyaganyaganyi."
"Winnow, v., Yitalà.","Woe, n., Càkú."
"Winnower, n., Zhintalà.","Wolf, n., Shigonta; Eshi gonta."
"Winter, n., Làwo.","Woman, n., Nyizagi."
