"Womb, n., Kafa.","Worst, adj., Bita."
"Wonder, n., Wówó.","Worth, adj., Kuṇ."
"Wonder, v., Wó.","Worth, n., Kuṇkuṇké."
"Wood (plank), n., Kpákó.","Worthy, adj., Kuṇké."
"Wood-carver, n., Kpákódinci.","Would, v., Gà."
"Wood-carving, n., Cigbandin.","Would, aux., Gà; ’à."
"Woodland, n., Magan","Wound, n., Etìṇ."
"Woodpecker, n., Egbálúgi.","Wound, v., Gitìn."
"Woods, n., Dzaka.","Wrangle, v., Gimi."
"Woodworker, n., Egbácigbàṇ","Wrap, v.,"
"Woodworm, n., Shiaria.","Wrap, n., Zugu"
"Woof (cloth), n., Èzhe.","Wrap (shawl), n., Edeko."
"Wool, n., Lulugba.","Wrapper, n., Dzapu."
"Woolen, n., Denyin.","Wrap up (finish), v., Wola."
"Word, n., Egan.","Wrath, n., Tsukpa."
"Work, n., Etuṇ; Etuṇlo.","Wreath, n., Korokangi."
"Work, v., Lotuṇ.","Wreathe, v., Kankoro."
"Worker, n., Etuṇloci.","Wreck, v., Vunye."
"Workhand, n., Faci.","Wreckage, n., Yevungi."
"Workmanship, n., Tunlomi; Etunlo","Wrestle, v., Tòbàjiǎ."
"mi.","Wrestle, n., Bàjiǎ."
"Workshop, n., Edagitun.","Wretched, adj., Sakpa."
"Workout, n., Kilisa.","Wriggle, v., Dingban."
"Workplace, n., Tunta; Etunta.","Wring, v., Kan."
"World, n., Yizhè.","Wrinkle, adv., adj., Kari."
"World Bank, n., Emiwo Yizhe.","Wrist, n., Gwankoro; Egwa koro."
"World War, n., Ekun Yizhe.","Wristlet, n., Wanke."
"Worm, n., Ègo; Ègo ègo.","Wristband, n., Gwakagi."
"Worn-out, adj., Gbigì.","Write, v., Ká ; Kányạ."
"Worry, v., Jin damuwa","Writer, n., Nyạkáci."
"Worry, n., Damuwa.","Writing, n., Nyạká."
"Worse, n., Eyebi.","Wrong, n., Èlu."
"Worsen, v., Biye.","Wrong, v., adj., Wùlu."
"Worship, n., Enyạwò.","Wrongdoing, n., Wulujin."
"Worship, v., Wò; Wònyạ.","Wrought iron, n., Nyankpa zhiko."
"Worship (follow), v., Gba.",""
