"Air-cool, vt., Dáfèfè.","Airfreight, n., Kàràdàgifìṇ."
"Air cooler, n., Fèdàgifè.","Air gas, n., Fèvuṇfè."
"Air Corps, n., Nạbàgifè.","Airglow, n., Nạkófè."
"Air corridor, n., Dênpàfè.","Airhead, n., Etífìṇ."
"Air cover, n., Kperèfè.","Air guitar, n., Gìtáfè."
"Aircraft, n., Nyạtswagifìṇ.","Air gun, n., Nạtsofè."
"Aircraft carrier, n., Nyạláci","Air hockey, n., Gòròkùṇfè."
"nyạtswagifìṇ.","Air hole, n., Èfofè."
"Aircraftman, n., Ndǎnyạtswagifìṇ.","Air hostess, n., Gagòyíwófìṇ."
"Aircraftwoman, n.,","Airily, adv., Fèginyi."
"Nnǎnyạtswagifìṇ.","Airing, n., Fètú."
"Aircrew, n., Samàṇfìṇ.","Airing cupboard, n., Pàtàkùṇmạndù"
"Air curtain, n., Děyékàṇfè.","fètú."
"Air cushion, n., Fùtùgifè.","Air intake, n., Gínyifè."
"Air cushion vehicle, n., Kiálági","Airish, adj., Fufè."
"fùtùgifè.","Air jacket, n., Ewògifè."
"Air dam, n., Ègàkófè.","Air-kiss, n., Miyéfè."
"Airdate, n., Fokùṇfè.","Air lane, n., Darafè."
"Air display, n., Dêwúfè.","Air layering, n., Kukókpefè."
"Air division, n., Ègáṇfè.","Airless, adj., Ràfè."
"Air door, n., Kpàkofè.","Air letter, n., Báritsakáfè."
"Airdrome, n., Cibidàfìṇ.","Airlift, n., Èfìṇdzúfìṇ."
"Airdrop, n., Cíṇkùṇfìṇ.","Airline, n., Esùnfìṇ."
"Air-dry, n., Túyifè.","Airliner, n., Esùnfìṇci."
"Airedale, n., Éyadàyilì.","Airlock, n., Fifidạnfè."
"Airer, n., Efètúci.","Airmail, n., Fúfùfìṇ."
"Air embolism, n., Sobábìfè.","Airman, n., Ndǎfìṇ."
"Air exchanger, n., Gwasàṇcifè.","Airman basic, n., Biyékun ezàfìṇ."
"Airfare, n., Zàṇlèfìṇ.","Airman first class, n., Kàmàṇkùṇ"
"Airfield, n., Kânfìṇ; Kân nya èfìṇ.","kpátí ezàfìṇ."
"Airflow, n., Èjèfè.","Air marshal, n., Bǎdòkòfìṇ."
"Airflown, adj., Fufùfìṇci.","Air mass, n., Mạmạfè."
"Airfoil, n., Fénifè.","Air master, n., Ndǎbáfìṇ."
"Air force, n., Ebapàfè.","Air Medal, n., Kpàndzànàfìṇ."
"Air Force One, n., Niní ebapàfè.","Air mile, n., Kpózàṇfè."
"Airframe, n., Ròkòfìṇ.","Air Miles, n., Kpózàṇzhifè."
