"Airmobile, n., Gàkéfè.","Air sign, n., Èlǐfè."
"Air officer, n., Zàtuṇbàfìṇ.","Air sock, n., Dàkùṇfè."
"Airpack, n., Èkpofè.","Airspace, n., Làgǎṇfìṇ."
"Airpark, n., Gamạnfìṇ.","Air sparging, n., Èmíbèfè."
"Airperson, n., Ezàfìṇ.","Air speed, n., Wùshìfè."
"Air pistol, n., Àkùtiàgifè.","Air splint, n., Èlàfè."
"Airplane, n., Pàlàgifìṇ.","Air spray, n., Fèshefè."
"Air plant, n., Sáṇṇáfè.","Air station, n., Kiṇnigíbàfìṇ."
"Airplay, n., Dzǒfè; Èdzǒfè.","Airstream, n., Nunjèfè."
"Air pocket, n., Dzufạnfè.","Air strike, n., Nyạkefìṇ."
"Air police, n., Zhìyěfè.","Airstrip, n., Diàriàfìṇ."
"Air popper, n., Gúgúrúkạncifè.","Air stripping, n., Yèrètsafè."
"Airport, n., Kpàtazúṇfìṇ.","Airt, n., Nǎrurí."
"Airport tax, n., Èdǔ kpàtazúṇfìṇ.","Air tanker, n., Kpạnkòmícifìṇ."
"Airpower, n., Kágbófìṇ.","Air taxi, n., Gòdǔgifìṇ."
"Air pressure, n., Èdzupàfè.","Air terminal, n., Kokobàfìṇ."
"Air print, n., Kpópàgifè.","Air terrorism, n., Eyédzújiṇfìṇ."
"Air pump, n., Jèdìṇfè.","Airtight, n., Fègbáṇnyi."
"Air quality index, n., Gwàtùn","Airtime, n., Èkáfè."
"lírikùṇfè.","Air-to-air, adj., Èfìṇ-ló-’fìṇ."
"Air rage, n., Wùṇpáṇfè.","Air-to-surface, adj., Èfìṇ-zhǐṇ-títú."
"Air raid, n., Èdògífè.","Air traffic, n., Rongípáfìṇ."
"Air-ready, adj., Sajiṇfè.","Air-traffic control, n., Kàṇshì"
"Air rifle, n., Àkpáràfè.","rongípáfìṇ."
"Air rights, n., Ebózhifè.","Air vesicle, n., Kónuwạṇgifè."
"Air roll, n., Èpiṇfè.","Air vice-marshal, n., Bǎdòkò-"
"Air sac, n., Jìga.","gòsuṇbáfè."
"Air Scout, n., Tswàmàfìṇ.","Air walk, n., Ezàṇfè."
"Airscrew, n., Kàṇtsafè.","Airwaves, n., Gbánuwạṇzhìfè."
"Air-sea rescue, n., Bubòya","Airway, n., Yèkódàfè."
"Èdùsạnfìṇ.","Air waybill, n., Guṇtèkayèkódàfè."
"Airship, n., Eyakófìṇ.","Airway hyperactivity, n.,"
"Airshow, n., Èwúfìṇ.","Bibákàncéci."
"Air shower, n., Dùshefè.","Airwoman, n., Nnǎfìṇ."
"Airsickness, n., Gùṇtáṇfìṇ.","Airworthy, adj., Kuṇkéfè."
"Airside, n., Kàṇsàṇfìṇ.","Airy, adj., Fègi."
