"Alaska Highway, n., Keremì","Albino, n., Biabiá."
"Alásiká.","Albion, n., Alìbinyạn."
"Alaska Native, n., Kîṇci Alásiká.","Albite, n.,"
"Alaska Range, n., Lòjèrě Alásiká.","Albumen, n.,Púkùṇgi."
"Alaska Standard Time, n., Èká","Alchemy, n., Nyạsạtuṇ."
"Tsàfàkùṇ Alásiká.","Alcohol, n., Washi."
"Alaskan king crab, n., Karatsu","Alcoholic, adj., Washigi."
"Alásiká.","Aldehyde, n., Geràmạnu; Ege"
"Alaskan malamute, n., Màlámútìci","ràmạnuwạnci."
"Alásiká.","Al dente, adj., Nyíkàṇdugi."
"Alaskan Peninsula, n., Kòsùṇtíkòkó","Aleph, n., Kákânyé."
"Alásiká.","A level, n., Tàràgi A."
"Alastrim, n., Làgwagi.","Alert (notify), v., Tungwa."
"Alate, n., Gwapàkùṇ.","Alert, adj., v., Patí."
"Alb, n., Bǒkùṇwò.","A l’espagnole, adj., Makí Sìpenìci."
"Albacore, n., Bàkúrági.","Al Fatah, n., Alì Fàtáhà."
"Albania, n., Alìbenìnyá.","Alhaji, n., Àlǎzhì."
"Albanian, n., Alìbenìnyáci.","Alien, n., Ezàzhìwuru"
"Albany, n., Alìbánì.","Alien, adj., Zhìwuru."
"Albatross, n. Kiàbǒkùṇ;","Alif, n., Kânyé; Kákânyégi."
"Kuṇkiàcibǒkùṇgi.","Alight, v., Ciṇkîn."
"Albedo, n., Púrádzi.","Alight (descend from up), v., Yá."
"Albeit, conj., Àmâdě.","Alike, adj., adv., Lǒdạn."
"Albendazole, n., Zhìpúnîngi;","Alkali, n., Sankpegi."
"Zhìsuṇpúkùṇnîn.","A list, n., Yèbà A."
"Alberich, n., Alìbéríkì.","Alive, adj., Lòsuṇ; Lò esuṇ."
"Albert, n., Alìbàtì.","Al Jazeera, n., Alì Jàzírá."
"Albert Edward Nyanza, n., Alìbàtì","All, adj., Kpátá."
"Edìwódì Nyạnzà.","Allah, n., Álawù; Állahù."
"Albert, Lake, n., Ewàṇkó Alìbàtì.","Allergy (skin), n., Eshikó."
"Alberta, n., Alìbàtà.","Alleviate, v., Dàkàrà."
"Albertite, n., Alìbàtìci.","Alleviation, n., Kàràdà."
"Albertosaurus, n., Gbǎgbǎlûalìbàtì.","Alley, n., Fopìṇci; Èfo piṇpìṇci."
"Albescent, adj., Púrágà.","Alligator, n., Èyi."
"Albigenses, n., Alìbìcizhì.","All in all, adv., Ṃàṃà tò jànja."
"Albinism, n., Biabiájiṇ.","All-inclusive, adj., Fenyǐ."
