"Chicanery, n., Gí bòshi.","Cholera infantum, n., Gíbiyé."
"Chicken, n., Shensùṇ; Bishensùṇ;","Choleric, adj., Páṇ."
"Bishe suṇsùṇgi.","Choline, n., Gàrikuṇ."
"Chickenpox, n., Tsàkpàṇnǐ.","Chondrite, n., Kpórogi."
"Chief, n., Dzoguṇ.","Choose, v., Li."
"Chief priest, n., Zhìgì dzoguṇ.","Chop, v., Gbe."
"Chigger, n., Gabi.","Chopper, n., Ece."
"Chigoe, n., Bìṇni.","Chop up, v., Woya."
"Child, n., Dzákàṇ; Egi Dzákàṇgi.","Chores, n., Èká."
"Childishness, n., Dzákàṇbó.","Chorus, n., Nímigò; Enímigò."
"Chili pepper, n., Atarubu.","Chorus (group), n., Enímigòcizhi."
"Chill, n., Dzòdzò.","Chorus, v., Gòními."
"Chill, adj., v., Po dzòdzò.","Christ, n., Sakanda."
"Chilled, adj., Wạṇ dzòdzò.","Christendom, n., Sácí."
"Chimpanzee, n., Rogbǒgi.","Christian (Old Nupe), n., Sakandaci."
"Chin, n., Nungbe.","Christian (Middle Nupe), n.,"
"Chink, n., Yerékáṇ.","Anasara."
"Chink, v., Káṇyeré.","Christian (Modern Nupe), n.,"
"Chip, v., Kpegi; Kpebǎ.","Mishan."
"Chip, n., Kpebǎgi.","Christian (Ultra-Modern Nupe), n.,"
"Chip (fried), n., Dìṇdǐ; Dìṇdǐkòlò.","Kristan; Kristici."
"Chip away, v., Kpe ya.","Christine, v., Túgiye."
"Chipmunk, n., Epiági.","Christianity, n., Sakandami."
"Chip off, v., Sá ya.","Christmas, n., Bàtsáyisa; Bàtsá Yisa;"
"Chiral, adj., Gwaci; Egwaci.","Krismasì."
"Chi-Ro, n., Kayíró.","Christmas bush, n., Dzudzwaci."
"Chirp, v., Tí.","Chroma, n., Nuyé; Nuwaṇyé; Nuwaṇ"
"Chisel, n., Táká.","eyé."
"Chloride, n., Gónugici.","Chromatic, adj., Yénu."
"Chlorine, n., Gónugi.","Chromosome, n., Nạkàṇcìṇ; Nạkàṇ"
"Chocolate, n., Dùbákági; Edù báká.","ècìṇgi."
"Choke, v., Tsú.","Chrysalis, n.,Giamatsugi"
"Choking, n., Tsútsú.","Chubby, adj., Rwobwo."
"Chole-,adj., Gàri.","Chuckle, v., Dagan."
"Choler, adj., Gàlukù; Egà lukù.","Chump, n., Zagangan."
"Cholera, n., Egbámạgì.","Chunk, n., Tsóka."
