"Clinic, n., Gùṇcisabà.","Clupeid, n., Bannabannagi."
"Clinician, n.,Gùṇcisaci.","Cluster, n., Ekàṇ."
"Clinker, n.,Ebu","Clutch, v., Gǐfi; Gígwafi."
"Cling, v., Giba.","Coal, n., Eká."
"Cling to, v., Teba.","Coal (ordinary), n., Ezun."
"Clip, v., Twá; Twáya.","Coal (charcoal), n., Ezùṇzhìkò."
"Clipper, n., Etwági.","Coal tar, n., Zhìká; Zhìgbàṇká;"
"Clipping, n., Ètwági.","Zhìgbàṇ Eká."
"Cloak, n., Èfạnkó.","Coarse, adj., Tsàkà."
"Clock, n., Efíṇ.","Coast, n., Gaba."
"Clod, n., Lànkpàkó.","Coat, n., Èwòkó."
"Clog, n., Kátánkpò.","Coat (covering), n., Kotolo."
"Clog, v., Tè.","Coatee, n., Èwògi."
"Close (in place), adj., adv., Tsoba.","Coating, n., Wòfia; Èwò Fiafiagi."
"Close (in time), adv., Tsotso.","Coat of mail, n., Èwòkó wòkpa."
"Close (door), v., Tsu.","Coax, v., Ṇyámù."
"Close (door), lightly, v., Yàba.","Cobra, n., Etsùṇ."
"Close (end), n., Èkpàṇ.","Cobweb, n., Lèndzu; Elè èdzu."
"Close (end work), v., Kpegwa.","Coccyx, n., Kakpi."
"Close, too, adv., Kufi.","Cock, n., Bìshebá."
"Close down, v., Tsu.","Cock (gun), v., Fi nạtso."
"Closet, n., Kodan.","Cock-and-bull story, n., Èsàṇ Gǒyi."
"Clot, n., Èṃǎ.","Cockle(weed), n., Èdo."
"Cloth, n., Èjě.","Cockroach, n., Pimpiáriá."
"Clothe, v., Dzujě.","Cockcrow, n., Làlàzhìn"
"Cloud, n., Ènì.","Cocky, adj., Riga."
"Clout (hit), v., Shìko.","Cocoanut, n., Yìkuṇnu kpótá."
"Clove, n., Kạṇáfùrì.","Cocoyam, n., Konkòrò."
"Clown, n., Tandági.","Code, n., Fínmi; Efínmi."
"Club, n., Rongbo.","Coefficient, n., Gídzàgebà;"
"Club (group), n., Gbèṇyà; Egbè eṇyà.","Gídzàgebàci."
"Club (group), v., Ṇyàgbè.","Coelom, n., Fogbàṇ; Foro egbàṇ."
"Clubfoot, n., Bìcí gbwàṇgbwạ.","Coelomate, n., Fogbàṇci."
"Clump (bunch), n., Cìnga.","Coenzyme, n.,Nímbǒbà; Nímbǒbàci."
"Clumsy, v., Bokì.","Coerce, v., Pàtídạn."
"Clumsily, adv., Bokìbokì.","Coercing, n., Etípàdạn."
