"Concubine, n., Lándạnkata.","Confuse, v., Zhi."
"Concur, v., Jiṇ gami.","Confusion, n., Zhizhi."
"Concurrent, adj.,Cekiri","Confusionist, n. Zazhi."
"Concurrently, adv., Cekiri cekiri","Congeal, v., Le."
"Condemn, v., Figbe.","Congealed, adj., Lele."
"Condense, v., Le tsàṇkuṇ.","Congratulate, v., Sayèbo; Sa yèbo."
"Condensed, adj., Tsàṇkuṇ.","Congratulation, n., Yèbosa."
"Condiment, n., Sankpere.","Congratulation! Interj. Gasayèbo!"
"Condition, n., Dzúfé; Edzúfé.","Congress, v., Yekàṇ."
"Condition, v., Fédzú.","Congress, n., Ekàṇye."
"Conditional, adj., Edzúféci.","Congregate, v., Guṇyekàṇ."
"Conditioner, n., Edzúfégi.","Congregation, n., Guṇguṇyekàṇ."
"Conditioning, n.,Edzúféjiṇ.","Conical, adj., Poro."
"Condole, v., Sambà; Sa mbà.","Conjunctiva, n., Eyepà."
"Condolence, n., Mbàsa.","Conjure, v., Gbǎ."
"Condor, n., Ceku.","Conjuring, n., Gbigbǎ."
"Conduct (Guide), v., Dìṇgwa.","Connect, v., Láguṇ."
"Conductor, n., Gwadìṇci.","Connection, n., Liláguṇ."
"Conduit, n., Payě.","Conscience, n., Nyạgbàṇyagi."
"Cone, n., Porogi.","Conscience, prick, v., Kpátí."
"Confer, v., Swàgàṇ.","Conscious, v., Kpegbạṇ; Kpe egbạṇ."
"Conference, n., Gàṇswà; Egàṇswà.","Consciousness, n., Kpikpegban."
"Confess, v., Yé.","Consecrate, v., Ṇátsátsá; Ṇá tsátsá."
"Confidant, n., Gborigi.","Consecration, n., Tsátsáṇá."
"Confide, v., Lédàṇ.","Consent, v., Lodò."
"Confidence (secret), n., Edàṇlé.","Consider, v., Dúwạṇ."
"Confine, v., Wankpe.","Considerable, adj., Gàgbè."
"Confirm, v., Shìmi.","Consideration, n., Wạṇdú; Ewạṇdú."
"Confiscate, v., Káku.","Console, v., Daba."
"Conflagrate, v., Gina.","Consolation, n., Ebada."
"Conflagration, n., Nagi.","Constable, n., Ndǎècè."
"Conflict, n., Nami.","Constrain, v., Pàgwa; Pà egwa."
"Confound, v., Kayé.","Constraint, n., Gwapà."
"Confounded, adj., Yéka.","Construct, v., Minya."
"Confounding, n., Ezhigí.","Consul, n., Zàdàdạn."
"Confused, adj., Zhi.","Consulate, n., Dàdạngiba."
