"Counting, n., Nyaba.","Craft, v., Teko."
"Countless, adj., Gbawuru.","Craftsman, n., Koteci."
"Country (nation), n., Kinkpò.","Cramp, n., Kpadzá."
"Country (tract of land), n., Latí.","Cramp, v., Wạṇ kpadzákpadzá."
"Couple, v., Kú.","Cranberry, n., Emagi dzúrú."
"Courage, n., Yèpà.","Crane (bird), n., Epa."
"Courageous, adj., Pàyè.","Crane (lifter), n., Dákaláci;"
"Courier, n., Wúshì; Ewúshì.","Dákadáka láci."
"Court (law), n., Galúkó.","Crane (red-billed one), n., Sàgạlú."
"Court (courtship), v., Gezhia.","Cranium, n., Kpokoro; Kpokporogi."
"Courtesan, n.,Shankalagi","Cranky, adj., Fú."
"Courtesy call, pay, Shìmi.","Cranky (irritable), adj., Súṇ."
"Courtesy call, n., Emishì.","Crate, n., Kpátági."
"Courtship, n., Zhiange.","Crater, n., Gboroko."
"Cousin, n., Ṃàgi.","Crave, v., Koyé."
"Covenant, n., Gbèzhì.","Craving, n., Yěko."
"Cover, n., Èkpe.","Craw, n., Gǐfi."
"Cover, v., Kpe.","Crawl, v., Ko."
"Covering, n., Kpikpe.","Crayfish, n.,Fafakun"
"Coverlet, n., Kpèrègi.","Crazy, adj., v., Zhètí."
"Covert, adj., Bòdì.","Crazy person, n., Etízhèci."
"Covet, v., Dạnyé.","Creak, v., Tí."
"Covetousness, n., Eyédạn.","Cream, n., Mínu; Mínuwạṇ; Emí"
"Cow, n., Nạnkó.","nuwạṇ."
"Coward, n., Dàṇwò.","Crease, v., Kápà."
"Cowardice, n., Dàṇwǒ.","Crease, n., Epàká."
"Cowpea, n., Ezo munugi.","Create, v., Tswa."
"Cowrie, n., Wóni; Wónigi; Ewó.","Creation, n., Tswakuṇ."
"Cowry, n., Wóni; Wónigi; Ewó.","Creature, n., Nyạtswangi."
"Coxswain, n., Eyapáci.","Credit (loan), n., Ètǎ."
"Crab, n., Kara.","Credit, take, v., Gitǎ."
"Crack, v., Sáṇfi.","Credit (honour), v., Jìbà."
"Crack, n., Èsán.","Credit (honour), n., Bàjì; Ebàjì."
"Cracked, adj., Sáṇ.","Creed, n., Lǒyàkuṇ."
"Crackle, v., Pò.","Creek, n.,Egáṇ."
"Craft, n., Kote.","Creel, n., Kondò."
