"Creep, v., Sòtǎn.","Crow (boast), v., Petí."
"Crescent, n., Pala.","Crowbar, n., Edági."
"Crest, n., Tsótsógi; Tsótsó.","Crowd, n., Bǎṃbàṇfú."
"Crevice, n., Èbin.","Crowd, v., Múbò."
"Crew, n., Samàṇ; Sa Kàmàṇ.","Crowd around, v., Mubo."
"Cricket (wild), n., Ciṇni.","Crowfoot, n., Abudati."
"Cricket (house), n., Etiáṇgi.","Crown, n., Tíkpetsu."
"Crime, n., Bolá; Ebolá.","Crown (head), n., Dàdà."
"Crime, commit a, v., Lábo.","Crowned crane, n., Gạkúṇ."
"Criminal, n., Bolánci; Ebolánci.","Crown prince, n., Shiábà; Shábà."
"Crimson, n., Kiania.","Crucible, n., Dùkùṇfíṇzhè."
"Crinkle, v., adj., Lugbò.","Crude, adj., Kàmu."
"Crinum (spider lily), n., Kpěgí.","Cruel, adj., Tíbiṇákúṇ."
"Cripple, n., Erwagi.","Cruel person, n., Biṇákúṇtíci."
"Critical (crucial), adj., Sunnya.","Cruelty, n., Biṇákúṇ."
"Criticize, v., Láto.","Cruet, n., Ebò."
"Croaker, n., Dzakpikpinni.","Crumb, n., Wowógi."
"Crocodile, n., Kàsà.","Crumble, v., Bín; Bínya."
"Crock, n., Dangara.","Crumple, v., Kakpe."
"Crooked, adj., Kòtò.","Crummy (inferior), adj., Wàsà."
"Crop (trim), v., Mu.","Crush, v., Bạn; Banya."
"Crop (bird), n., Yiza.","Crush (grind, pound), v., Kǒ."
"Crop up, v., Wata.","Crush (mash), v., Bǒ."
"Cross, v., Zhetú.","Crust, n., Típági; Etípági."
"Cross (intersect), v., adj., Zhèbǔ.","Cry, v., Tígí."
"Cross, n., Èbǔzhè.","Cry, n., Egítí."
"Cross (Christianity), n., Zundu.","Crying, n., Egítí."
"Cross-eye, n., Eyékạndạn.","Cryptic, adj., Gàbòdì."
"Cross-eyed, adj., Eyékạnci.","Crystal, n., Ṇàgạngi."
"Crossing, n., Zhizhetú.","Crystal clear, adj., Ṇàgạnṇàgạn."
"Cross-legged, adj., Dàkaka.","Crystaline, adj., Ṇàgạnnyǐ."
"Cross over, v., Da kpàṇ.","Cubit, n., Gwaka."
"Crotch, n., Ezùṇ.","Cucumber, n., Gbiàja."
"Crotchet, n., Bubwạrwạ.","Cud, n., Bita."
"Crow, n., Kwankwa.","Cudgel, n., Rongbogi."
"Crow, v., Ceku.","Cuff, n., Gbogbo."
