"Cuff, v., Dạngbogbo.","Curve, v., Kạntó."
"Cull, v., Fu.","Curved, adj., Kạntó."
"Cult, n., Elo.","Curvy (plump), adj., Kúdúgǐ."
"Cultivar (maize), n., Ejègi.","Cushion, n., Fùtùgi."
"Cultivar (millet), n., Kúyi.","Cushion, v., Fufùtù."
"Cultivar (okra), n., Kpạṇmi roko;","Cushy, adj., Fùtù."
"Kpanmi enaguru.","Custard apple, n., Ishenebobo."
"Cultivar, n., Edzògi.","Custody, n., Edzúba."
"Cultivar (yam), n., Efiagi.","Custody, keep in, v., Badzú."
"Cultivate, v., Vuṇnu.","Custom (culture), n., Zhìzhì."
"Culture, n., Dạndạn.","Custom (duties), n., Wódǔ; Ewó edǔ."
"Cumbersome, adj., Gagagugu.","Customer, n., Shinyạ."
"Cunning, n., Kinibibi.","Cut, v., Ba."
"Cunt, n., Gòlò.","Cut (mow), v., Gbě."
"Cup, n., Dárogi.","Cute, adj., Dzombagi."
"Cup, v., Kugià.","Cutlass, n., Pinya."
"Cupboard, n., Pàtàkùṇmạndù.","Cutting, n., Etsa."
"Cupping, n., Giàku; Egiàku.","Cut up, v., Dzwa."
"Curb (bridle), n., Tsàkì.","Cyan, n., Zuba"
"Curb, v., Dạntsàkì; Dạn tsàkì.","Cyanosis, n., Dòfaká."
"Cure, n., Esa.","Cycle, n., Kalà."
"Cure, v., Sagùṇ.","Cycle, v., Shikalà."
"Curl, v., Kpǐn.","Cyst, n., Ewogi."
"Curl (of hair), n., Gbongà.","Cyte, n., Kiáwuṇkùṇ."
"Currency (money), n., Zhìntóró.",""
"Current (fluid), n., Èjè.",""
"Current (fire, electric), n., Nạguṇ.",""
"Curse, v., Cekîn. Cf. Swear.",""
"Curse, n., Ekîn.",""
"Cursor, n., Edzwǎngi.",""
"Cursory, adj., Dzwǎndzwǎnyi.",""
"Curry (locust fruit), n., Kúlà.",""
"Curtail, v., Dágwa.",""
"Curtain, n., Děyékàṇ; Èdě yékàṇ.",""
"Curtsy, v., Yakun.",""
"Curve, n., Tókạn; Tó kạn.",""
