"Deadened, adj., Tayinyǐ.","Decree, n., Efíṇ."
"Deaf, adj., v., Tètukpa.","Decrepit, adj., adj., Gbàncàlià."
"Deaf, n., Tukpatènci.","Dedication, n., Nyagbandan."
"Deafness, n., Tukpatè.","Deduct, v., Liké."
"Dealer, n., Zàshì.","Deed, n., Èjiṇ."
"Dear, adj., Ṃábó.","Deem, v., Dùyé."
"Dearness, n., Bóṃákuṇ.","Deeming, n., Yédù."
"Dearth, n., Cisân.","Deep, adj., Shìko."
"Death, n., Tsutsu.","Deep (water), adj., adv., v., Shìdù."
"Debilitated, adj., Gbògun.","Deep fry, v., Cian."
"Debt, n., Gbàtà.","Deep-set, adj., Kolo."
"Debt, pay, v., Wò gbàtà.","Deer, n., Èké; Èkégi."
"Debtee, n., Gbàtàci.","Deer (red), n., Kungi."
"Debtor, n., Gbàtàgíci.","Deer (small), n., Kuriangi."
"Debt payer, n., Gbàtàwòci.","Defame, v., Jiṇbà; Jiṇ bà."
"Decay, v., Vò.","Defamation, n., Ebàjiṇ."
"Decay (cloth), v., Mu.","Defeat, v., Gíyé; Gí eyé."
"Decay, n., Gàvò.","Defeat, n., Eyégí."
"Deceased, adj., Zabǐ.","Defecate, v., Tsabi."
"Decease, v., Bǐ.","Defecation, n., Ebitsa."
"Deceit, n., Kòcě.","Defense, n., Gùnle."
"Deceive, v., Cěkò.","Defend, v., Legùṇ."
"Deceiver, n., Kòcěgi.","Defer, v., Kógbạṇ."
"Deception, n., Kòcěkun.","Deferment, n., Gbạṇkógi."
"Decide, v., Lìjiṇ.","Deficiency, n., Díṇdíṇké."
"Decision, n., Lìlìjiṇ.","Deficient, adj., Díṇké."
"Deck (of ship), n., Yagbàta.","Define, v., Mànye."
"Decker (for decking floor), n., Luba.","Defraud, v., gibòshí."
"Declare, v., Nàmi.","Degree, n., Bìtà."
"Declivity, n., Gagágí.","Dehusk, v., Bó."
"Decompose, v., Gíko.","Dehydrated, adj., Kágé."
"Decomposition, n., Ekogí.","Dehydrogenated, adj.,"
"Decorate, v., Togèza.","Díṇmạnuwạnci."
"Decoration, n., Gèza.","Deity, n., Eshan."
"Decoy, n., Lovo.","Deject, v., Te nyạgbàn"
"Decrease, v., Ké.","Dejection, n., Nyạgbànte."
