"Diffuse, vt., Sǎsǎ.","Disband, v., Gáṇsan."
"Dig, v., Gbà.","Disburden, v., Dákàrà."
"Dig (break up the ground), v., Dzú.","Disburdenment, n., Kàràdá."
"Digest, v., Gínîn; Gí nîn.","Disc, n., Feferí."
"Digestion, n., Nîng.","Disciple, n., Gǔṇniạtùgi."
"Digit, n., Bòni.","Discipline, n., Gǔṇniạtù."
"Dilapidated, adj., Dzogo.","Discipline, v., Tùgǔṇniạ."
"Diligence, n., Nyạgbàṇgidan.","Disconcerted, adj., Sakunyi."
"Diligent, v., Ginyạgbàṇdan.","Discount, n., Wódíṇ."
"Dilemma, n., Kpere.","Discount, v., Díṇwó; Díṇ ewó."
"Dilute, v., adj., Tsayé.","Discourage, v., Lòtí."
"Dim, adj., Cin.","Discouragement, n., Etílò."
"Diminish, v., Yífí.","Discover, v., Kpéyékpé."
"Diminutive, adj., Wuria.","Discovery, n., Yékpékpé."
"Dimly, adv., Zhìkòzhìnyǐ","Discreet, adj., Bèrènyǐ."
"Dimness, n., Zhìkòzhì.","Discrepant, adj., Késá."
"Diminutive, adj., Kpiàkpiàgi.","Discrete, n., Dakidaki."
"Dim-witted, adj., Tòtò.","Discretion, n., Bèrè."
"Dine, v., Gishè; Gi èshè.","Discuss, v., Bàzà."
"Dinner, n., Èshè.","Discussion, n., Èzàbà."
"Dinosaur, n.,Gbǎgbǎlû.","Disease, n., Cíṇgùṇ."
"Dip (rinse), vt., Tsú.","Diseased, adj., Jiṇ cíṇgùṇ."
"Dipper, n., Káṇtóra.","Disgrace, v., Gbàmi."
"Direct, adj., Nǎruró.","Disgrace, n., Migbà."
"Direct, v., Shigwa.","Disguise, v., Sóbàṇ."
"Direction, n., Nǎru.","Disgust, v., Suṇgó."
"Director, n., Gwashici.","Disgust, n., Egósuṇ."
"Dirt, n., Shíkàṇ.","Dish, n., Evo."
"Dirty, adj., Shíshíkàṇ.","Disheveled, adj., Watawata."
"Disadvantage, n., Wobi.","Dish out, v., Kó."
"Disappear, v., Pàtsùṇ.","Disjointed, adj., Tentente."
"Disappoint, v., Gí ràtsà.","Disjointedly, adv., Tententenyǐ."
"Disappointment, n., Ràtsà.","Disk, n., Fefe."
"Disappointment, excl., Kash!","Diskette, n., Fefegi."
"Disarray, adj., Dzúgúdzúgú.","Dislike, v., Nunu."
"Disaster, n., Bannạ.","Dislocate (bone), v., Yé."
