"Dismember, v., Nyibàgúṇ.","Distribute, v., Nǎ."
"Dismemberment, n., Bàgúṇnyi.","Distribution, n., Ninǎ."
"Dismiss, v., Túmi.","District, n., Kázhì; Eká ezhì."
"Disobey, v., Ṇàgàṇṇàvǒ.","District head, n., Kázhìtí."
"Disobedience, n., Egàṇṇàvǒ.","Distrust, n., Shiaka."
"Disorder, n., Wubiwubi.","Distrust, v., De shiaka."
"Disparage, v., Sázhì.","Disturb, v., Gạnsuṇ"
"Disparagement, n., Ezhìsá.","Disturbance, n., Suṇgạn; Esuṇgạn."
"Disparate, adj., Kpákpankuru.","Ditch, n., Edáṇ."
"Dispatch, n., Gèrě.","Ditty, n., Dzagadzaga."
"Disperse, v., Sakpa.","Dive, v., Kiàkuṇ."
"Display, v., Wúdê.","Dive, n., Kuṇkià."
"Display, n., Dêwú.","Diver, n., Kuṇkiàci."
"Dispute, v., Gbóyé.","Diverge, v., Sá Kpàlàkà."
"Dispute, n., Yégbó.","Divergence, n., Kpàlàkà."
"Disrespect, n., Yègbà.","Diverse, adj., Jin titi."
"Disrespect, v., Gbàye.","Diversity, n., Titititi."
"Dissident, n., Wútí.","Divert, v., Cetu."
"Dissolve, v., Zhǐṇyé.","Divide, v., Gáṇ"
"Dissolve, v., Kpò.","Dividend, n., Gigáṇrǐ."
"Dissolve, v., Le.","Dividing, n., Gigáṇ."
"Distaff, n., Esa.","Division, n., Ègáṇ."
"Distance, n., Kpámà.","Divination, n., Ebasạn."
"Distant, adj., Màkpá.","Divination (in sand), n., Kurân."
"Distend, v., adj., Dzaga.","Divination kit, n., Eba."
"Distension, n., Kpiambia.","Divine, adj., Tsátsági."
"Distill, v., Sàṇto.","Divine, n., Zàtsátsá."
"Distillation, n., Sàṇsàṇto.","Divine(general term), v., Sạnba."
"Distinct, adj., Béré.","Divine, v., Sạnkpiàkpiâ."
"Distinctly, adv., Bérébéré.","Divine (in sand), v., Sạnjìkàṇà."
"Distinguish, v., Wakà.","Divine (on board), v., Sạnkpàkogi."
"Distinguished, adj., Kàwaci;","Diviner, n., Ebasạnci."
"Ekàwaci.","Divorce, v., La yàwǒ."
"Distract, v., Dìṇyé.","Divorce, n., Yàwǒla."
"Distress, n., Nyạgbàṇsá.","Divorcee, n., Mulawugi."
"Distressed, adj., Sányạgbàṇ.","Divulge, v., Yítǎ."
