"Dizzy, adj., adv., Kuyì.","Double, n., Zabà."
"Do, v., Jiṇ.","Double-cross, v., Kiàvo."
"Doctor, n., Májiṇ.","Double cross, n., Evokià."
"Doctor (medical), n., Májiṇ cigbè.","Double crosser, n., Vokiàci."
"Dodder (plant), n., Soko cecengi.","Double-dealer, n., Tàvo."
"Dodder (old age), v., Gbènyǐ.","Double-dealing, n., Votà; Evotà."
"Doddering, adj., Gbèngbènyǐ.","Double-jointed, adj., Wa binnì."
"Dodge, v., Ya.","Double jointed person, n., Binnì."
"Doer, n., Jiṇci; ejiṇci.","Double-jointedness, n., Binnìwa."
"Doff, v., Liǎ.","Double up, v., Pàgúbà."
"Dog, n., Eshìgi.","Doubt, n., Kómbèke."
"Dogmatic, adj., Kpètǔ.","Doubt, v., Jiṇ kómbèke."
"Doily, n., Kpankaragi.","Doubtless, adv., Kómbèkemạ à."
"Doing, n., Jiṇjiṇ.","Dough, n., Kàmù."
"Dole, n., Kóngi.","Doughy, adj., Kàmù kàmù."
"Dole out, v., Kó kóngi.","Dove, n., Lùkó; Lùkóngi."
"Doll, n., Gidzǒ; Egi èdzǒ.","Dove (wild), n., Dàbà."
"Dollar, n., Dalà.","Dowel, n.,Kpakoso"
"Domestic animal, n., Nankpa.","Down, adj., Shìta."
"Dominate, v., Gítídạn; Gí etí dạn.","Down (fluffy), adj., Bàrà."
"Domination, n., Tídạngí.","Down-and-outer, n., Dandalukugi."
"Donate, v., Cewo.","Downfall, n., Kinzun."
"Donation, n., Woce.","Downtown, n., Ntàkò; Ezhìtàkò."
"Done, adj., Génạ.","Downy (hairy), n., Dùsùnyǐ."
"Donkey, n., Kiátiá; Kiátiági.","Downy (fluffy), adv., adj., Bàràwa."
"Doom (palm), n., Gòrǐba.","Downright, adj., Fem."
"Door, n., Kpàko.","Downpour, (rain), v., Dùswà; Ele dù"
"Doorkeeper, n., Kpàkopaci.","swàswànyǐ."
"Doormat, n., Kpàkotsu.","Dowry, n., Yéle."
"Doormat, n., Sáṇyìwa.","Doze, v., Tàyìgbě."
"Doormat, n.,","Doze, n., Yìgbě; Yìgbětà."
"Doorplate, n., Gwazúṇkpàko.","Drab, adj.,Dòkan"
"Doorway, n., Yǎkǔṇmisuṇ.","Drag, v., Gbá."
"Dormouse, n., Dùṇtsú.","Dragnet, n., Sạngbàrà."
"Dot, n., Shiadan.","Dragon, n., Duwa."
"Double, v., Pà zabà.","Dragonfly, n., Dìnderegi."
