"Drafts, n., Eshì; Ezhegi.","Drinking, n., Nyạfíṇ."
"Drain, n., Lèjègi.","Drip, v., Tò."
"Drain, v., Jèlè.","Drip, n., Tògi; Etògi."
"Drainage, n., Lènjè.","Drive (vehicle), v., Pá."
"Drama, n., Dzòròngi.","Drive (animals), v., Kàṇ."
"Dramatize, v., Dzòrò.","Drive away, v., Ṇyáya."
"Drape, v., Kpebà.","Drivel, n., Vunna."
"Drape, n., Bàkpegi.","Drive off, v., Sanya."
"Draw, v., Dìṇ.","Driving, n., Pipá."
"Draw (image), v., Sàṇnyạ.","Drizzle, v., Kpà."
"Draw (water), v., Shé.","Drizzle, n., Kpàngi; Elekpàngi."
"Drawer, n., Dìṇshéci.","-drome, suffix, Cibidà-"
"Drawing (image), n., Nyasan.","Dromedary, n., Cibidàkuṇ."
"Drawstring (trousers), n., Ègbạṇ","Drone (bee), n., Dànkǒ."
"tsàká.","Drought, n., Èdǎ."
"Drawn (haggard), adj., Gboro.","Droop, v., Rǐkpe."
"Dread, n., Danwo.","Drop, v., Cíṇ."
"Dread, v., adj., Wodan.","Drop, n., Ècíṇ."
"Dreadlock, n., Gbegbenyì.","Drop (fluid), v., Tò."
"Dream, n., Ènạ.","Drop (fluid), n., Etò."
"Dream, v., Ṇánạ.","Drop off, v., Cíṇya."
"Dreamer, n., Ènạṇáci.","Drop out, v., Wa ya."
"Dreary, adj.,Nampata","Dropout, n., Wayagi."
"Dregs, n., Cèki.","Drought, n., Èdǎ."
"Drenched, adj., Tsàbànyǐ.","Drown, v., Gbin."
"Dress, n., Èdě.","Drudge, n., Wunci."
"Dress, v., Dzu èdě.","Drug, n., Èrwà."
"Dress down (scold), v., Dzàṇya.","Drum, n., Eṇyà."
"Dressing, n., Děkùn; Èděkùn.","Drum (pot drum), n., Dùṃà."
"Dressmaker, n., Jangún.","Drum, v., Nìṇyà."
"Dribble (saliva), v., Tò micíṇní.","Drum (a type carried under the arm),"
"Drift, v., Fia.","n., Kàṇàṇgǔ."
"Drill (bore hole), v., Tsúfo.","Drummer, n., Èdzạn."
"Drink, v., Fíṇ.","Drumstick, n., Kòngǒ."
"Drink, n., Nyạfíṇci.","Drunk, adj., Pege."
"Drink (a sour type), n., Kúdó.","Drunk, n., Pegegi."
