"Drunkard, n., Egepeci.","Dwarfed, adj., v., Tiàgǔṇniạ."
"Dry, adj., Wo.","Dwelling, n., Emìlébà."
"Dry, v., Túyi; Túyigídí.","Dwindle, v., Yìké."
"Dry season, n., Yikéré.","Dye, n., Ècìṇ."
"Duck, n., Gbàngbǎ.","Dye, v., Dạncìṇ."
"Duck (wild one), n., Kạkạ.","Dye pit, n., Shìṇbò."
"Dugout, n., Eya cigbàṇ.","Dye pot, n., Mạncìṇ."
"Duiker, n., Kungiá.","Dyer, n., Ecìṇdạnci."
"Dull (numb), adj., Tsùn; Tsùnmi.","Dyke, n., Gúbàṇ."
"Dull (boring), adj., Dannyi.","Dynamite, n., Ègba."
"Dum palm, n., Gòrǐba.","Dynast, n., Dwalegi."
"Dumb person, n., Edigi; Edi.","Dynasty, n., Dwale."
"Dumbfounded, adj., Wạṇgi.","Dysentery, n., Átuṇ."
"Dump, v., Zhèya.",""
"Dunce, n., Didini.",""
"Dung, n., Bití; Ebi tí.",""
"Dung beetle, n., Pibimpibi.",""
"Dunghill, n., Bitíta.",""
"Dunk, v., Gi.",""
"Dupe, v., Lovo.",""
"Dupe, n., Lovogi.",""
"Duping, n., Volo.",""
"Duplicate, n., Sạngúbà.",""
"Duplication, n., Gúbàsạn.",""
"Duplicitous, adj., Bagúbà.",""
"Duplicity, n., Gúbàba.",""
"Durable, adj., Geréwú.",""
"Dusk, n., Fùnkpě.",""
"Dusky (dark), adj., Tílà.",""
"Dust, n., Rǔngbǎ.",""
"Dust, v., Píṇya; Píṇ rǔngbǎ ya.",""
"Dustbin, n., Vonkpárá.",""
"Dustpan, n., Kàshíkó nyạsáṇ.",""
"Dusty, adj., Jiṇ rǔngbǎ.",""
"Duty (tax), n., Fito.",""
"Dwarf, n., Gǔṇniạ.",""
