"Effuse, v., Kpà.","Elevated, adj., Makpa."
"Egg, n., Ezhì.","Elevation, n., Kpama; Ekpama."
"Eggplant, n., Kekú.","Eleven, n., Gúwo bè ení."
"Ego, n., Ebò.","Elicit, v., Dìṇḅátì."
"Ego, have, v., Gibò.","Eliminate, v., Wutí."
"Egotism, n., Bògi; Ebògi.","Elimination, n., Etíwu."
"Egret, n., Elú bǒkùṇ.","Ell, n., Kàmi."
"Egret (cattle), n., Elúngǒyì.","Elongated, adj., Gara."
"Egypt, n., Masarì.","Else, adv.,Kóṇ."
"Eh, interj., E.","Elucidate, v., Kpégàṇ."
"Eid, n., Yídí.","Elucidation, n., Gàṇkpé."
"Eid ul-Adha, n., Sálakó.","Emaciate, v., Kékúṇ."
"Eid ul-Fitr, n., Sálagi.","Emaciation, n., Ekúṇké."
"Eight, n., Gútotá.","Emancipate, v., Sá wuzhì."
"Eighteen, n., Eshí díṇ gúbà.","Emancipation, n., Wuzhìsá."
"Eighth, n., Totáci.","Embalm, v., Mǐ."
"Eight hundred, n., Kpáguṇni.","Embankment, n., Banti."
"Eighty, n., Shini.","Embark, v., Dzunzan."
"Either, conj., Kómạ","Embassy, n., Gbakînbà; Ègbakîn bà."
"Elastic, adj., Panyi.","Ember, n., Nạkan."
"Elbow, n., Gwakpa; Egwa kpa.","Embezzle, v., Gíwó; Gí ewó."
"Elbow, v., Kàṇgwakpa.","Embezzlement, n., Ewógí."
"Elder, n., Nusa.","Emblem, n.,Sobági."
"Elect, v., Lìwá.","Embolism, n., Sobábì."
"Election, n., Lìlìwá.","Embrace, v., Bade."
"Electric, adj., Doyi.","Embrace, n., Edeba."
"Electric eel, n., Dowú.","Embroider, v., Luṇà; Lu eṇà."
"Electric fish, n., Dìṇdoró.","Embroiderer, n., Eṇàluci."
"Electricity, n., Doró.","Embroidery, n., Ṇàlu; Eṇàlu."
"Electron, n., Nạdìndo.","Embroidaery (a particular design),"
"Electronic, adj., Dorógi.","n., Gáfià."
"Elegance, n., Nyǐgùn.","Emerge, v., Dzùṇbě."
"Element, n., Ginigi.","Emergence, n., Dzùṇdzùṇbě."
"Elephant, n., Dagba.","Emergency, n., Dzùṇdzùṇběgà."
"Elephant grass, n., Cebisan.","Emetic, n., Nyatun."
"Elephantine, adj., Gerentě.","Eminent, adj., Gogonyi."
